,Topic,Document,Probability
0,6,CODA (2021 film),0.26226749646715514
1,-1,Peyton Place (film),0.2636481639850675
2,10,The Good Earth (film),0.24052238911844612
3,-1,Crossfire (film),0.2583169631389086
4,2,Black Panther (film),1.0
5,-1,The Favourite,0.5672965512917549
6,-1,Les Misérables (1935 film),0.49041998577294676
7,-1,Barry Lyndon,0.5411102628307619
8,10,Heaven Can Wait (1978 film),1.0
9,0,Extremely Loud & Incredibly Close (film),0.15441884099592895
10,-1,Boys Town (film),0.13989023769313946
11,11,Dunkirk (2017 film),0.09200515748159616
12,0,"Three Billboards Outside Ebbing, Missouri",1.0
13,-1,The Bridge on the River Kwai,0.12649474571925268
14,-1,America America,0.5210943584277116
15,-1,Philomena (film),0.08659412022121726
16,11,Mutiny on the Bounty (1962 film),1.0
17,3,Hacksaw Ridge,1.0
18,7,Three Smart Girls,1.0
19,0,Crash (2004 film),1.0
20,1,Nicholas and Alexandra,0.1710495648554173
21,-1,Jerry Maguire,0.3818404380359063
22,-1,Bugsy,0.3901237464482151
23,1,A Tale of Two Cities (1935 film),0.10271373900238
24,7,One Hundred Men and a Girl,1.0
25,-1,Five Star Final,0.08871091934253339
26,-1,The Accidental Tourist (film),0.08957640272098577
27,1,William Shakespeare's Julius Caesar,1.0
28,-1,The Towering Inferno,0.5050610014401015
29,2,In Old Chicago,0.13666105036139384
30,12,Mr. Smith Goes to Washington,1.0
31,8,Midnight Cowboy,1.0
32,-1,Hell or High Water (film),0.508236050653216
33,-1,Marty (film),0.6167269432356484
34,-1,Out of Africa (film),0.4988766257570626
35,2,The Godfather Part II,0.1603394759074463
36,-1,Wuthering Heights (1939 film),0.38922438164018314
37,5,The Broadway Melody,1.0
38,0,Spotlight (film),0.14713417602369042
39,-1,Il Postino: The Postman,0.3634267819309779
40,-1,Field of Dreams,0.5773803108996426
41,-1,Witness (1985 film),0.12831680575267257
42,-1,Seabiscuit (film),0.6260429779768114
43,7,Kramer vs. Kramer,0.15011524926739983
44,0,Michael Clayton,0.13275015399215645
45,6,Babe (film),0.17987128622757068
