,Topic,Name,Representation
0,6,6_juno_sammy_festival_deaf,"['juno', 'sammy', 'festival', 'deaf', 'cassie', '2021', 'samantha', 'awards', '2020', 'miles']"
1,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
2,10,10_gehrig_woody_jordan_joe,"['gehrig', 'woody', 'jordan', 'joe', 'yankees', 'stevens', 'fred', 'guthrie', 'sinatra', 'homer']"
3,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
4,2,2_coppola_godfather_panther_spielberg,"['coppola', 'godfather', 'panther', 'spielberg', 'film', 'corleone', 'schindler', 'films', 'wakanda', 'dune']"
5,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
6,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
7,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
8,10,10_gehrig_woody_jordan_joe,"['gehrig', 'woody', 'jordan', 'joe', 'yankees', 'stevens', 'fred', 'guthrie', 'sinatra', 'homer']"
9,0,0_tarantino_forrest_exorcist_pulp,"['tarantino', 'forrest', 'exorcist', 'pulp', 'film', 'gump', 'scene', 'woodroof', 'director', 'critics']"
10,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
11,11,11_mutiny_captain_robin_dunkirk,"['mutiny', 'captain', 'robin', 'dunkirk', 'braveheart', 'slave', 'flynn', 'navy', 'crew', 'mcqueen']"
12,0,0_tarantino_forrest_exorcist_pulp,"['tarantino', 'forrest', 'exorcist', 'pulp', 'film', 'gump', 'scene', 'woodroof', 'director', 'critics']"
13,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
14,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
15,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
16,11,11_mutiny_captain_robin_dunkirk,"['mutiny', 'captain', 'robin', 'dunkirk', 'braveheart', 'slave', 'flynn', 'navy', 'crew', 'mcqueen']"
17,3,3_chaplin_patton_soldiers_casablanca,"['chaplin', 'patton', 'soldiers', 'casablanca', 'platoon', 'army', 'soldier', 'filming', 'combat', 'vietnam']"
18,7,7_miss_erin_julia_daisy,"['miss', 'erin', 'julia', 'daisy', 'regina', 'lillian', 'minny', 'hepburn', 'laurie', 'women']"
19,0,0_tarantino_forrest_exorcist_pulp,"['tarantino', 'forrest', 'exorcist', 'pulp', 'film', 'gump', 'scene', 'woodroof', 'director', 'critics']"
20,1,1_maximus_cleopatra_shakespeare_queen,"['maximus', 'cleopatra', 'shakespeare', 'queen', 'gladiator', 'hamlet', 'romeo', 'roman', 'juliet', 'antony']"
21,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
22,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
23,1,1_maximus_cleopatra_shakespeare_queen,"['maximus', 'cleopatra', 'shakespeare', 'queen', 'gladiator', 'hamlet', 'romeo', 'roman', 'juliet', 'antony']"
24,7,7_miss_erin_julia_daisy,"['miss', 'erin', 'julia', 'daisy', 'regina', 'lillian', 'minny', 'hepburn', 'laurie', 'women']"
25,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
26,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
27,1,1_maximus_cleopatra_shakespeare_queen,"['maximus', 'cleopatra', 'shakespeare', 'queen', 'gladiator', 'hamlet', 'romeo', 'roman', 'juliet', 'antony']"
28,-1,-1_film_million_said_films,"['film', 'million', 'said', 'films', 'cast', 'awards', 'director', 'movie', 'academy', 'screenplay']"
