,Topic,Probability,Document
0,2,1.0,"In Gloucester, on the northeast coast of Massachusetts, seventeen-year-old Ruby Rossi is the only hearing member of her family; her parents, Frank and Jackie, and older brother, Leo, are all deaf. She assists with the family fishing business and plans to join it full-time after high school. One day at school, Ruby sees her crush, Miles, signing up for choir as his elective, so she signs up too. The music teacher, Mr. Bernardo ""Mr. V"" Villalobos, encourages Ruby to sing more and assigns her to a duet with Miles."
1,2,1.0,"In the New England town of Peyton Place, Paul Cross, fed up with his alcoholic stepfather, Lucas Cross, for his stealing, leaves town. Lucas is the school custodian and his downtrodden wife, Nellie, works as housekeeper for Constance ""Connie"" MacKenzie, a widow who owns a clothing shop. The daughters of both families, Allison MacKenzie and Selena Cross, are best friends and about to graduate from high school. While the MacKenzies live a comfortable life, the Cross family lives in poverty."
2,6,0.05674770302084263,"In pre-World War I northern China, young farmer Wang Lung (Paul Muni) marries O-Lan (Luise Rainer), a slave at the Great House, the residence of the most powerful family in their village. O-Lan proves to be an excellent wife, hard working and uncomplaining. Wang Lung prospers. He buys more land, and O-Lan gives birth to two sons and a daughter. Meanwhile, the Great House begins to decline."
3,-1,0.2120040860360145,"In the opening scene, a man is half-seen beating a Jewish man named Joseph Samuels to death in a hotel room. After the police are called in to investigate his murder, Captain Finlay suspects that the murderer may be among a group of demobilized soldiers who had been with Samuels and his female companion at a hotel bar the night of his death."
4,6,1.0,"Thousands of years ago, five African tribes war over a meteorite containing the metal vibranium. One warrior ingests a ""heart-shaped herb"" affected by the metal and gains superhuman abilities, becoming the first ""Black Panther"". He unites all but the Jabari Tribe to form the nation of Wakanda. Over centuries, the Wakandans use vibranium to develop advanced technologies and isolate themselves from the world by posing as an underdeveloped country. In 1992, Wakanda king T'Chaka visits his brother N'Jobu, who is working undercover in Oakland, California. T'Chaka accuses N'Jobu of assisting black-market arms dealer Ulysses Klaue with stealing vibranium from Wakanda. N'Jobu's partner reveals he is Zuri, another undercover Wakandan, and confirms T'Chaka's suspicions."
5,3,1.0,"In 1705 Great Britain is at war with France. Queen Anne is in poor health; she shows little interest in governing, preferring activities such as playing with her 17 rabbits, surrogates for the children she miscarried or who died in infancy. Her confidante, advisor, and furtive lover Sarah Churchill effectively rules the country through her influence over the Queen. Sarah's efforts to control Anne are undermined by Robert Harley, the Leader of the Opposition. "
6,9,1.0,"Joe Pendleton, a backup quarterback for the National Football League's Los Angeles Rams, is looking forward to leading his team to the Super Bowl. While he is riding his bicycle through a tunnel, an overzealous guardian angel on his first assignment, known only as The Escort, sees a large truck heading into the other end of the tunnel towards Joe. The Escort plucks Joe out of his body early in the mistaken belief that Joe was about to be killed in order to save him from any suffering."
7,-1,0.6064158209782735,"Nine-year-old Oskar Schell is autistic and lives in New York City with his parents Linda and Thomas Schell. He is close to his father, who stimulates him with missions to hunt for clues to New York City's ""lost Sixth Borough"". The tasks he is given force him to explore his surroundings and communicate with other people, which is not easy for him."
8,-1,0.20784120143221363,"A convicted murderer asks to make his confession on the day of his execution. He is visited by an old friend, Father Flanagan, who runs a home for indigent men in Omaha, Nebraska. When the prison officials suggest that the condemned man owes the state a debt, Father Flanagan witnesses the condemned man's diatribe to prison officials and a reporter that describes his awful plight as a homeless and friendless boy who was a ward in state institutions. After the convicted man asks the officials to leave, Father Flanagan provides some comfort and wisdom. On the train back to Omaha, Father Flanagan is transformed in his humanitarian mission by revelations (echoed in the words) imparted by the condemned man's litany of hardships suffered as a child, without friends or family, and a ward of the state."
9,5,1.0,"In 1940, during the Battle of France, Allied soldiers retreat to Dunkirk encircled by the enemy. Tommy flees through the perimeter held by French troops to the beach, where thousands await evacuation, and helps Gibson to bury a body. After Luftwaffe dive-bombers attack, they attempt to board a hospital ship at the single, vulnerable mole available for embarking on deep-draft ships, by rushing a wounded man on a stretcher but are ordered off. They overhear Commander Bolton, Colonel Winnant and a Rear Admiral discuss the best way to get their army evacuated. The ship is sunk by dive bombers; Tommy saves a Highlanders regiment soldier, Alex. The three board a destroyer, but it is hit by a torpedo before it can depart; Gibson saves Tommy and Alex as the ship sinks, and they return to the beach. "
