,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,"Após três anos em campanha, o general Marcus Vinicius retorna a Roma e encontra Lygia, por quem se apaixona. Ela é uma cristã e não quer nenhum envolvimento com um guerreiro. Mas, apesar de ter sido criada como romana, Lygia é a filha adotiva de um general aposentado e, teoricamente, uma refém de Roma. Marcus procura o imperador Nero, para que ela lhe seja dada pelos serviços que ele fez. Lygia se ressente, mas de alguma forma se apaixona por Marcus. Enquanto isso, as atrocidades de Nero são cada vez mais ultrajantes e, quando ele queima Roma e culpa os cristãos, Marcus salva Lygia e a família dela. Nero os atira aos leões mas, no final, Marcus, Lygia e o cristianismo prevalecerão.",3,3_missão_anel_michael_soldados,"['missão', 'anel', 'michael', 'soldados', 'hur', 'nave', 'wikus', 'maverick', 'tripulação', 'miller']","Em 1969, durante a guerra do Vietnã, o Capitão do Exército dos Estados Unidos e veterano das Operações Especiais Benjamin Willard (Martin Sheen) está em um hotel em Saigon, aguardando por uma missão, bebendo muito e pensando sozinho sobre sua vida e casamento fracassado. Depois de uma noite particularmente ruim em que fica alucinando sobre suas missões anteriores no país, é levado à força para uma reunião informal com os oficiais da Inteligência Militar Tenente-General Corman (G. D. Spradlin), o Coronel Lucas (Harrison Ford), e um civil referido apenas como ""Jerry"". Os três avaliam seu passado como membro das Operações Especiais e lhe oferecem uma missão para seguir o rio Nùng em selva remota, encontrar o trapaceiro Coronel Walter E. Kurtz das Forças Especiais se infiltrando em sua tropa e matá-lo, ""encerrando seu comando"". Kurtz aparentemente enlouqueceu e agora comanda sua própria tropa de montanheses dentro do neutro Camboja como um semideus.",missão - anel - michael - soldados - hur - nave - wikus - maverick - tripulação - miller,0.19761900156611364,False
1,"No início do Século XX, a jovem inglesa Lucy viaja pela primeira vez para Florença, na Itália. Lá chegando, ela encontra o excêntrico George Emerson, por quem acaba se apaixonando. Ao retornar a Inglaterra, terá de fazer uma grande escolha em sua vida: casar-se com seu antigo noivo ou seguir seu coração e procurar o recém conhecido George.",-1,-1_elio_hugo_oliver_fera,"['elio', 'hugo', 'oliver', 'fera', 'georges', 'molly', 'schultz', 'castelo', 'waters', 'autômato']","Em 1858, no estado americano do Texas, os irmãos Ace e Dicky Speck conduzem a pé um grupo de escravos negros algemados. Entre eles está Django, vendido e separado de sua esposa Broomhilda von Shaft, uma escrava doméstica que fala alemão e inglês. Eles são parados pelo Dr. King Schultz, um dentista alemão que virou caçador de recompensas que busca comprar Django por conta de seu conhecimento dos três irmãos fora-da-lei Brittle, superintendentes da plantação do proprietário anterior de Django e para quem Schultz tem um mandado. Quando Ace se recusa a vender Django para Schultz e o ameaça com uma arma, Schultz o mata e atira no cavalo de Dicky, fazendo-o cair em cima dele e prendê-lo no chão; ele aconselha os escravos libertos a aproveitarem a oportunidade para se vingar. Schultz oferece a Django sua liberdade e 75 dólares em troca de ajuda para encontrar os Brittles.",elio - hugo - oliver - fera - georges - molly - schultz - castelo - waters - autômato,0.4430815899000292,False
2,"Um marido descuidado tem um caso breve com outra mulher. Sua esposa decide ""dar o troco"", com o melhor amigo dele, mas termina por se envolver com o homem.",2,2_história_nova_mentiras_dez,"['história', 'nova', 'mentiras', 'dez', 'detetive', '1930', 'york', 'rothschild', '1860', 'autobiográfico']","O filme começa em 1909, quando Wilson era presidente da Universidade de Princeton. Em seguida, torna-se governador de Nova Jérsei. Daí para a presidência do país foi um pulo. Na Casa Branca, Wilson perde a primeira esposa, casa-se novamente, entra na Primeira Guerra Mundial a contragosto (após o afundamento do navio britânico RMS Lusitania, que levava muitos americanos a bordo) e luta pela criação da Liga das Nações.",história - nova - mentiras - dez - detetive - 1930 - york - rothschild - 1860 - autobiográfico,0.4725139161214553,False
3,"Em 2001, o jornal The Boston Globe contrata um novo editor, Marty Baron (Liev Schreiber). Baron reúne-se com Walter Robinson (Michael Keaton), editor do time Spotlight (""Holofote""), uma pequena equipe que pesquisa durante meses para produzir artigos investigativos. Baron lê uma coluna sobre um advogado, Mitchell Garabedian (Stanley Tucci), que diz que o Arcebispo de Boston, Cardeal Law (Len Cariou), sabia que o padre John Geoghan estava abusando sexualmente de crianças e não fez nada a respeito; Baron demanda que o time Spotlight investigue o caso. O jornalista Michael Rezendes (Mark Ruffalo) entra em contato com Garabedian, que inicialmente recusa-se a ser entrevistado. Rezendes diz que faz parte de uma equipe investigativa do jornal e pressiona-o a colaborar.",0,0_casa_chris_noite_michael,"['casa', 'chris', 'noite', 'michael', 'mãe', 'após', 'começa', 'daisy', 'george', 'volta']","O filme se inicia no verão de 1963. Jack e Ennis são contratados após procurarem emprego com um rancheiro de ovelhas (Randy Quaid). O trabalho deles é dividido da seguinte forma: enquanto um vigia as ovelhas do alto da montanha (que estão pastando em área de proteção ambiental, e portanto, ilegal), o outro fica na base e é responsável pelos alimentos e pela vigilância daquela área. Os dois se encontram apenas para partilharem as refeições, mas isso não impede com que tornem-se bons amigos. Após uma noite de bebedeira pesada, Ennis decide ficar na base da montanha e dormir em frente à fogueira ao invés de retornar para vigiar as ovelhas. Preocupado com a fria madrugada, Jack convida-o para dormir junto com ele em sua barraca. Ali, eles têm um rápido contato sexual. No dia seguinte, insistem em dizer um ao outro que ""não são gays""; no entanto, antes do fim do verão, o relacionamento emocional e físico deles se aprofunda. Enquanto isso, o rebanho de ovelhas que deveriam vigiar acaba por misturar-se com outro, uma ovelha é abocanhada por um lobo, e várias delas morrem de frio devido a uma tempestade de neve. No último dia de trabalho, as frustrações de ambos (por terem que deixar um ao outro) se manifestam através de uma discussão que acaba evoluindo para uma briga física. Jack faz o nariz de Ennis sangrar, e Ennis esmurra a cara de Jack.",casa - chris - noite - michael - mãe - após - começa - daisy - george - volta,1.0,False
4,"Este filme (baseado numa história real) é sobre uma dupla de jornalistas que, nos anos 70, investiga o escândalo de Watergate para o jornal Washington Post. Descobrem uma rede de espionagem e lavagem de dinheiro, o que acaba por levar à renúncia do então presidente Richard Nixon (que era, naquela mesma época, o presidente dos Estados Unidos).",0,0_casa_chris_noite_michael,"['casa', 'chris', 'noite', 'michael', 'mãe', 'após', 'começa', 'daisy', 'george', 'volta']","O filme se inicia no verão de 1963. Jack e Ennis são contratados após procurarem emprego com um rancheiro de ovelhas (Randy Quaid). O trabalho deles é dividido da seguinte forma: enquanto um vigia as ovelhas do alto da montanha (que estão pastando em área de proteção ambiental, e portanto, ilegal), o outro fica na base e é responsável pelos alimentos e pela vigilância daquela área. Os dois se encontram apenas para partilharem as refeições, mas isso não impede com que tornem-se bons amigos. Após uma noite de bebedeira pesada, Ennis decide ficar na base da montanha e dormir em frente à fogueira ao invés de retornar para vigiar as ovelhas. Preocupado com a fria madrugada, Jack convida-o para dormir junto com ele em sua barraca. Ali, eles têm um rápido contato sexual. No dia seguinte, insistem em dizer um ao outro que ""não são gays""; no entanto, antes do fim do verão, o relacionamento emocional e físico deles se aprofunda. Enquanto isso, o rebanho de ovelhas que deveriam vigiar acaba por misturar-se com outro, uma ovelha é abocanhada por um lobo, e várias delas morrem de frio devido a uma tempestade de neve. No último dia de trabalho, as frustrações de ambos (por terem que deixar um ao outro) se manifestam através de uma discussão que acaba evoluindo para uma briga física. Jack faz o nariz de Ennis sangrar, e Ennis esmurra a cara de Jack.",casa - chris - noite - michael - mãe - após - começa - daisy - george - volta,0.3073226141831014,False
5,"Na primeira parte conhecemos o protagonista, Redmond Barry, um pedante jovem irlandês que se apaixona por sua prima a qual, no entanto, já está comprometida. Irritado, ele desafia o noivo para um duelo e lhe fere mortalmente. Como se tratava de um senhor bem relacionado, o que poderia lhe trazer represálias, Barry decide então abandonar a família e ir refugiar-se em Dublim. No caminho, é vítima de um assalto que o deixa sem qualquer quantia para sua subsistência.",6,6_barry_lyndon_wallace_escoceses,"['barry', 'lyndon', 'wallace', 'escoceses', 'jody', 'redmond', 'orry', 'villa', 'errol', 'nobres']","Em 1689, o ex-soldado, marinheiro e agora médico irlandês Peter Blood (Errol Flynn), agora na Inglaterra, só pensa em continuar a exercer sua profissão pacificamente. Sua vida complica quando ele é chamado para cuidar de um ferido da Rebelião de  Monmouth, o que faz os guardas do Rei James II (Vernon Steele) o prender por traição. Condenado à morte, sua pena é alterada para escravidão quando o rei descobre que faltam trabalhadores em suas colônias. Blood é enviado para Port Royal, na Jamaica, para iniciar uma nova função. O rapaz é enviado para uma plantação após, por um mero capricho, ser comprado por Arabella Bishop (Olivia de Havilland), sobrinha do Coronel Bishop (Lionel Atwill), o cruel chefe militar local. O governador Steed (George Hassell), que sofre de gota, recebe Blood para tratá-lo, mas o Coronel Bishop – que desgosta tanto da companhia do rapaz – acaba por prendê-lo por ajudar um prisioneiro. Nesse momento, piratas espanhóis chegam e bombardeiam a cidade, dando oportunidade a Blood e seus homens de escaparem. Eles capturam um dos navios e salvam a cidade, fugindo depois para o mar, transformando-se também em piratas, que atacam qualquer navio que cruze a sua rota.",barry - lyndon - wallace - escoceses - jody - redmond - orry - villa - errol - nobres,0.5256580097107543,True
6,"O filme começa em 1939 com os alemães iniciando a relocação dos judeus poloneses para o Gueto de Cracóvia, pouco tempo depois do início da Segunda Guerra Mundial. Enquanto isso, Oskar Schindler, um empresário alemão de Morávia, chega na cidade com a esperança de fazer uma fortuna lucrando com a guerra. Schindler, um membro do Partido Nazista, prodigaliza subornos para oficiais da Wehrmacht e da SS em troca de contratos. Patrocinado pelos militares, ele adquire uma fábrica para produzir panelas para o exército. Sem saber muito como comandar a empresa, ele ganha a colaboração de Itzhak Stern, um oficial da Judenrat (Conselho Judeu) de Cracóvia que possui contatos com a comunidade empresária de judeus e os mercadores negros dentro do Gueto. Os empresários judeus emprestam o dinheiro à Schindler para a fábrica em troca de uma pequena parte dos produtos produzidos. Ao abrir a fábrica, Schindler agrada os nazistas, aproveita sua nova fortuna e sua posição como ""Herr Direktor"", enquanto Stern cuida de toda a administração. Schindler contrata judeus poloneses ao invés de poloneses católicos por serem mais baratos (os próprios trabalhadores não recebem nada; os salários são pagos a SS). Os trabalhadores da fábrica recebem permissão para sair do Gueto, e Stern falsifica documentos para garantir que o maior número de pessoas sejam consideradas ""essenciais"" para o esforço de guerra da Alemanha Nazista, que os salva de serem transportados para campos de concentração, ou de serem mortos.",3,3_missão_anel_michael_soldados,"['missão', 'anel', 'michael', 'soldados', 'hur', 'nave', 'wikus', 'maverick', 'tripulação', 'miller']","Em 1969, durante a guerra do Vietnã, o Capitão do Exército dos Estados Unidos e veterano das Operações Especiais Benjamin Willard (Martin Sheen) está em um hotel em Saigon, aguardando por uma missão, bebendo muito e pensando sozinho sobre sua vida e casamento fracassado. Depois de uma noite particularmente ruim em que fica alucinando sobre suas missões anteriores no país, é levado à força para uma reunião informal com os oficiais da Inteligência Militar Tenente-General Corman (G. D. Spradlin), o Coronel Lucas (Harrison Ford), e um civil referido apenas como ""Jerry"". Os três avaliam seu passado como membro das Operações Especiais e lhe oferecem uma missão para seguir o rio Nùng em selva remota, encontrar o trapaceiro Coronel Walter E. Kurtz das Forças Especiais se infiltrando em sua tropa e matá-lo, ""encerrando seu comando"". Kurtz aparentemente enlouqueceu e agora comanda sua própria tropa de montanheses dentro do neutro Camboja como um semideus.",missão - anel - michael - soldados - hur - nave - wikus - maverick - tripulação - miller,1.0,False
7,Brigadista americano perito em explosivos se envolve na guerra civil espanhola e conhece seu grande amor.,2,2_história_nova_mentiras_dez,"['história', 'nova', 'mentiras', 'dez', 'detetive', '1930', 'york', 'rothschild', '1860', 'autobiográfico']","O filme começa em 1909, quando Wilson era presidente da Universidade de Princeton. Em seguida, torna-se governador de Nova Jérsei. Daí para a presidência do país foi um pulo. Na Casa Branca, Wilson perde a primeira esposa, casa-se novamente, entra na Primeira Guerra Mundial a contragosto (após o afundamento do navio britânico RMS Lusitania, que levava muitos americanos a bordo) e luta pela criação da Liga das Nações.",história - nova - mentiras - dez - detetive - 1930 - york - rothschild - 1860 - autobiográfico,0.3874273272468937,False
8,"Em 1890, em Paris, no popular cabaré Moulin Rouge, o jovem artista de família nobre Henri de Toulouse-Lautrec (José Ferrer) bebe uma garrafa de conhaque e esboça desenhos das dançarinas que se apresentam. Ele é amigo de frequentadores habituais e artistas da casa, tais como a cantora Jane Avril (Zsa Zsa Gabor), das dançarinas rivais La Goulue (Katherine Kath), e a argelina Aicha (Muriel Smith), que constatemente brigam, além do proprietário Maurice Joyant (Lee Montague). Joyant faz a proposta de um mês de bebidas grátis para Henri em troca da encomenda de um cartaz publicitário. Henri espera todos os frequentadores saírem da casa antes que ele também saia, pois não quer que as outras pessoas vejam suas pernas, deformadas por um acidente na infância. Ao se dirigir para o seu apartamento em Montmartre, Henri encontra a prostituta Marie Charlet (Colette Marchand), e os dois iniciam um romance. Henri prepara o cartaz que lhe fora encomendado como uma litografia que, apesar de causar estranheza ao proprietário, é aceito.",-1,-1_elio_hugo_oliver_fera,"['elio', 'hugo', 'oliver', 'fera', 'georges', 'molly', 'schultz', 'castelo', 'waters', 'autômato']","Em 1858, no estado americano do Texas, os irmãos Ace e Dicky Speck conduzem a pé um grupo de escravos negros algemados. Entre eles está Django, vendido e separado de sua esposa Broomhilda von Shaft, uma escrava doméstica que fala alemão e inglês. Eles são parados pelo Dr. King Schultz, um dentista alemão que virou caçador de recompensas que busca comprar Django por conta de seu conhecimento dos três irmãos fora-da-lei Brittle, superintendentes da plantação do proprietário anterior de Django e para quem Schultz tem um mandado. Quando Ace se recusa a vender Django para Schultz e o ameaça com uma arma, Schultz o mata e atira no cavalo de Dicky, fazendo-o cair em cima dele e prendê-lo no chão; ele aconselha os escravos libertos a aproveitarem a oportunidade para se vingar. Schultz oferece a Django sua liberdade e 75 dólares em troca de ajuda para encontrar os Brittles.",elio - hugo - oliver - fera - georges - molly - schultz - castelo - waters - autômato,0.16464981395400458,False
9,"Inconformada com a ineficácia da polícia em encontrar o culpado pelo brutal assassinato de sua filha, Mildred Hayes (Frances McDormand) decide chamar atenção para o caso não solucionado alugando três outdoors em uma estrada raramente usada. A inesperada atitude repercute em toda a cidade e suas consequências afetam várias pessoas, especialmente a própria Mildred e o Delegado Willoughby (Woody Harrelson), responsável pela investigação.",-1,-1_elio_hugo_oliver_fera,"['elio', 'hugo', 'oliver', 'fera', 'georges', 'molly', 'schultz', 'castelo', 'waters', 'autômato']","Em 1858, no estado americano do Texas, os irmãos Ace e Dicky Speck conduzem a pé um grupo de escravos negros algemados. Entre eles está Django, vendido e separado de sua esposa Broomhilda von Shaft, uma escrava doméstica que fala alemão e inglês. Eles são parados pelo Dr. King Schultz, um dentista alemão que virou caçador de recompensas que busca comprar Django por conta de seu conhecimento dos três irmãos fora-da-lei Brittle, superintendentes da plantação do proprietário anterior de Django e para quem Schultz tem um mandado. Quando Ace se recusa a vender Django para Schultz e o ameaça com uma arma, Schultz o mata e atira no cavalo de Dicky, fazendo-o cair em cima dele e prendê-lo no chão; ele aconselha os escravos libertos a aproveitarem a oportunidade para se vingar. Schultz oferece a Django sua liberdade e 75 dólares em troca de ajuda para encontrar os Brittles.",elio - hugo - oliver - fera - georges - molly - schultz - castelo - waters - autômato,0.158325705568235,False
