FILME; COMUNIDADE
A Beautiful Mind (film);0
Bad Girl (1931 film);0
Five Star Final;0
Gangs of New York;0
Gosford Park;0
Grand Hotel (1932 film);0
Judgment at Nuremberg;0
Master and Commander: The Far Side of the World;0
Mildred Pierce (film);0
Shanghai Express (film);0
Ship of Fools (film);0
The Aviator (2004 film);0
The Insider (film);0
Airport (1970 film);1
A Passage to India (film);1
Arrival (film);1
Avatar (2009 film);1
Ben-Hur (1959 film);1
Cleopatra (1934 film);1
Cleopatra (1963 film);1
Dark Victory;1
Darling (1965 film);1
District 9;1
Doctor Zhivago (film);1
Dune (2021 film);1
Five Easy Pieces;1
Foreign Correspondent (film);1
Gandhi (film);1
Gone with the Wind (film);1
Goodbye, Mr. Chips (1939 film);1
Great Expectations (1946 film);1
Hello, Dolly! (film);1
Jerry Maguire;1
King Solomon's Mines (1950 film);1
Kings Row;1
Lawrence of Arabia (film);1
Lilies of the Field (1963 film);1
Love Affair (1939 film);1
Love Story (1970 film);1
M*A*S*H (film);1
Mister Roberts (1955 film);1
Mr. Smith Goes to Washington;1
Nicholas and Alexandra;1
Patton (film);1
Phantom Thread;1
Quo Vadis (1951 film);1
Rebecca (1940 film);1
Spellbound (1945 film);1
Star Wars (film);1
The Bridge on the River Kwai;1
The Caine Mutiny (film);1
The Graduate;1
The Hustler;1
The Philadelphia Story (film);1
The Robe (film);1
The Sand Pebbles (film);1
The Sound of Music (film);1
The Ten Commandments (1956 film);1
The Verdict;1
The Wizard of Oz (1939 film);1
Witness (1985 film);1
Wuthering Heights (1939 film);1
A Few Good Men;2
All That Jazz (film);2
A Man for All Seasons (1966 film);2
A Star Is Born (1937 film);2
A Star Is Born (2018 film);2
Beauty and the Beast (1991 film);2
Becket (1964 film);2
Boys Town (film);2
Breaking Away;2
Cabaret (1972 film);2
Chariots of Fire;2
Chicago (2002 film);2
Dangerous Liaisons;2
Dead Poets Society;2
Disraeli (1929 film);2
Doctor Dolittle (1967 film);2
Fiddler on the Roof (film);2
Funny Girl (film);2
In the Heat of the Night (film);2
Jojo Rabbit;2
Lenny (film);2
Mary Poppins (film);2
Missing (1982 film);2
Moulin Rouge!;2
Moulin Rouge (1952 film);2
My Fair Lady (film);2
Oliver! (film);2
Pygmalion (1938 film);2
Quiz Show (film);2
The Big House (1930 film);2
The Champ (1931 film);2
The Great Dictator;2
The Hours (film);2
The Lion in Winter (1968 film);2
The Mission (1986 film);2
The Prince of Tides;2
Up (2009 film);2
12 Angry Men (1957 film);3
1917 (2019 film);3
All Quiet on the Western Front (1930 film);3
All Quiet on the Western Front (2022 film);3
Atonement (2007 film);3
Battleground (film);3
Broadway Melody of 1936;3
Dunkirk (2017 film);3
E.T. the Extra-Terrestrial;3
Forrest Gump;3
From Here to Eternity;3
Ghost (1990 film);3
Good Will Hunting;3
High Noon;3
Ivanhoe (1952 film);3
Johnny Belinda (1948 film);3
Mrs. Miniver;3
On Golden Pond (1981 film);3
Ordinary People;3
Raiders of the Lost Ark;3
Random Harvest (film);3
Roman Holiday;3
Saving Private Ryan;3
Shane (film);3
The Banshees of Inisherin;3
The Broadway Melody;3
The Fabelmans;3
The Greatest Show on Earth (film);3
The Hollywood Revue;3
The Informer (1935 film);3
The More the Merrier;3
The Quiet Man;3
The Sundowners (1960 film);3
The Thin Red Line (1998 film);3
The Treasure of the Sierra Madre (film);3
The Yearling (1946 film);3
To Kill a Mockingbird (film);3
Tootsie;3
Triangle of Sadness;3
War Horse (film);3
A Letter to Three Wives;4
All About Eve;4
All the King's Men (1949 film);4
American Hustle;4
Around the World in 80 Days (1956 film);4
Black Swan (film);4
Born Yesterday (1950 film);4
Captain Phillips (film);4
Double Indemnity;4
Friendly Persuasion (1956 film);4
Gaslight (1944 film);4
Giant (1956 film);4
Going My Way;4
Gravity (2013 film);4
Her (film);4
Hold Back the Dawn;4
Jezebel (1938 film);4
Madame Curie (film);4
Ninotchka;4
Our Town (1940 film);4
Peyton Place (film);4
Since You Went Away;4
Sunset Boulevard (film);4
Suspicion (1941 film);4
The Bells of St. Mary's;4
The Best Years of Our Lives;4
The Color Purple (1985 film);4
The Heiress;4
The King and I (1956 film);4
The Letter (1940 film);4
The Little Foxes (film);4
The Magnificent Ambersons (film);4
The Red Shoes (1948 film);4
The Turning Point (1977 film);4
Wilson (1944 film);4
127 Hours;5
American Beauty (1999 film);5
Anne of the Thousand Days;5
Avatar: The Way of Water;5
Belfast (film);5
Black Panther (film);5
Chinatown (1974 film);5
Cimarron (1931 film);5
Dances with Wolves;5
Drive My Car (film);5
Elizabeth (film);5
Elvis (2022 film);5
Fanny (1961 film);5
Four Weddings and a Funeral;5
How Green Was My Valley (film);5
Inception;5
Jaws (film);5
Juno (film);5
L.A. Confidential (film);5
Lost in Translation (film);5
Mad Max: Fury Road;5
Munich (2005 film);5
No Country for Old Men;5
Prizzi's Honor;5
Romeo and Juliet (1936 film);5
Romeo and Juliet (1968 film);5
Room at the Top (1959 film);5
Scent of a Woman (1992 film);5
Sergeant York (film);5
Shakespeare in Love;5
Slumdog Millionaire;5
Sons and Lovers (film);5
The Apartment;5
The Cider House Rules (film);5
The Exorcist;5
The French Connection (film);5
The Fugitive (1993 film);5
The Full Monty;5
The Help (film);5
The Hurt Locker;5
The King's Speech;5
The Maltese Falcon (1941 film);5
The Power of the Dog (film);5
The Sixth Sense;5
The Social Network;5
The Sting;5
Titanic (1997 film);5
Top Gun: Maverick;5
Toy Story 3;5
True Grit (2010 film);5
Unforgiven;5
Up in the Air (2009 film);5
West Side Story (1961 film);5
West Side Story (2021 film);5
