FILME; COMUNIDADE
Cleopatra (película de 1963); 0
Funny Girl; 0
Hello, Dolly! (película); 0
Los Fabelman; 1
West Side Story (película de 2021); 1
A Place in the Sun; 2
Dodsworth; 2
Broadway Melody of 1936; 3
Melodías de Broadway; 3
A Man for All Seasons; 4
Ben-Hur (película de 1959); 4
Doctor Dolittle (película de 1967); 4
Doctor Zhivago (película); 4
El graduado; 4
El halcón maltés (película de 1941); 4
El león en invierno (película); 4
High Noon; 4
In the Heat of the Night; 4
My Fair Lady (película de 1964); 4
Roman Holiday; 4
Siete novias para siete hermanos; 4
Sin novedad en el frente (película de 1930); 4
The Apartment; 4
The Sand Pebbles; 4
The Sound of Music; 4
West Side Story (película de 1961); 4
Who's Afraid of Virginia Woolf?; 4
Amadeus; 5
A Serious Man; 5
Avatar: The Way of Water; 5
Avatar (película); 5
Dances with Wolves; 5
Driving Miss Daisy; 5
El beso de la mujer araña (película); 5
El último emperador; 5
JFK (película); 5
La fuerza del cariño; 5
No Country for Old Men; 5
Out of Africa; 5
Platoon; 5
Rain Man; 5
There Will Be Blood; 5
The Silence of the Lambs (película); 5
True Grit (película de 2010); 5
All About Eve; 6
All the King's Men; 6
Double Indemnity; 6
El mago de Oz; 6
El puente sobre el río Kwai; 6
Gigi; 6
In Old Chicago; 6
La favorita (película); 6
La La Land (película); 6
Lo que el viento se llevó (película); 6
Madame Curie (película de 1943); 6
Ninotchka; 6
Sunset Boulevard (película); 6
Un americano en París; 6
El cielo puede esperar (película); 7
Here Comes Mr. Jordan; 7
American Graffiti; 8
Apocalypse Now; 8
E.T., el extraterrestre; 8
El color púrpura; 8
El día más largo (película); 8
El diario de Ana Frank (película); 8
El pianista; 8
Forrest Gump (película); 8
Gangs of New York; 8
Joker (película); 8
Kings Row; 8
La lista de Schindler; 8
Licorice Pizza; 8
On Golden Pond; 8
Phantom Thread; 8
Raiders of the Lost Ark; 8
Saving Private Ryan; 8
Star Wars: Episodio IV - Una nueva esperanza; 8
Taxi Driver; 8
The Piano; 8
The Quiet Man; 8
Tiburón (película); 8
Unforgiven (película); 8
Vivir de ilusión; 8
127 horas; 9
12 Years a Slave; 9
Argo (película de 2012); 9
Birdman o (la inesperada virtud de la ignorancia); 9
Black Swan; 9
Bridge of Spies; 9
Darkest Hour (película); 9
El callejón de las almas perdidas (película de 2021); 9
El discurso del rey; 9
El Gran Hotel Budapest; 9
El patriota (película de 1928); 9
El renacido; 9
Extremely Loud and Incredibly Close (película); 9
Green Book (película); 9
La forma del agua; 9
La noche más oscura (película); 9
Lincoln (película); 9
Los descendientes; 9
Moonlight (película); 9
Slumdog Millionaire; 9
Spotlight; 9
The Artist; 9
The Full Monty; 9
The Greatest Show on Earth (película de 1952); 9
The Hurt Locker; 9
The Imitation Game; 9
The Reader; 9
The Turning Point; 9
War Horse; 9
Atracción fatal; 10
Hechizo de luna; 10
Bohemian Rhapsody (película); 11
Frost/Nixon; 11
The Queen; 11
Belfast (película); 12
El poder del perro; 12
District 9; 13
Django Unchained; 13
Drive My Car (película); 13
Dune (película de 2021); 13
Inception; 13
Inglourious Basterds; 13
La llegada; 13
Los miserables (película de 2012); 13
Pulp Fiction; 13
The Post; 13
Todos los hombres del presidente; 13
Toy Story 3; 13
Traffic (película de 2000); 13
Up; 13
American Hustle; 14
Annie Hall; 14
Babel (película); 14
Chariots of Fire; 14
Coming Home (película); 14
Dunkerque (película); 14
El hombre elefante (película); 14
El irlandés; 14
El lobo de Wall Street; 14
Gandhi (película); 14
Goodfellas; 14
Her; 14
Historia de un matrimonio; 14
Kramer vs. Kramer; 14
La gran apuesta; 14
Little Miss Sunshine; 14
Midnight Express; 14
Moneyball; 14
Nacido el cuatro de julio; 14
Network; 14
Ordinary People; 14
Reds; 14
Rocky (película); 14
Silver Linings Playbook; 14
The Deer Hunter; 14
The Departed; 14
The Fighter; 14
The Hustler; 14
Toro salvaje; 14
American Beauty; 15
CODA (película); 15
Everything Everywhere All at Once; 15
Good Will Hunting; 15
Nomadland; 15
Once Upon a Time in Hollywood; 15
Parásitos (película); 15
Seabiscuit; 15
Shakespeare in Love; 15
The Banshees of Inisherin; 15
Three Billboards Outside Ebbing, Missouri; 15
Titanic (película de 1997); 15
Barry Lyndon; 16
Black Panther (película); 16
Butch Cassidy and the Sundance Kid; 16
Cabalgata (película); 16
Call Me by Your Name; 16
El curioso caso de Benjamin Button (película); 16
El exorcista (película); 16
El golpe (película de 1973); 16
El padrino (película); 16
El padrino II; 16
El padrino III; 16
It Happened One Night; 16
La naranja mecánica (película); 16
Midnight Cowboy; 16
Oliver (película); 16
One Flew Over the Cuckoo's Nest; 16
Patton (película); 16
Tarde de perros; 16
The French Connection; 16
The Social Network; 16
A Beautiful Mind; 17
American Sniper (película); 17
Braveheart; 17
Brokeback Mountain; 17
Buenas noches, y buena suerte; 17
Cartas desde Iwo Jima; 17
Chicago (película de 2002); 17
Crash (película de 2004); 17
El aviador; 17
El paciente inglés; 17
El Señor de los Anillos: el retorno del Rey; 17
Gladiator; 17
Million Dollar Baby; 17
Moulin Rouge!; 17
Mystic River; 17
¡Qué verde era mi valle!; 18
Alexander's Ragtime Band (película); 18
Anthony Adverse; 18
Arrowsmith (película); 18
Citizen Kane; 18
El delator; 18
El gran Ziegfeld; 18
La diligencia; 18
Libeled Lady; 18
Love Is a Many-Splendored Thing; 18
Mank (película); 18
Mr. Smith Goes to Washington; 18
Mutiny on the Bounty (película de 1935); 18
One Hundred Men and a Girl; 18
Quiz Show: El dilema; 18
The Adventures of Robin Hood; 18
The Green Mile; 18
The Life of Emile Zola; 18
The Lives of a Bengal Lancer; 18
The Magnificent Ambersons; 18
The Shawshank Redemption; 18
Una noche de amor; 18
You Can't Take It With You; 18
A Star Is Born (película de 2018); 19
The Martian; 19
Casablanca (película); 20
De aquí a la eternidad; 20
Días sin huella; 20
El gran dictador; 20
Espejismo de amor; 20
Foreign Correspondent; 20
Going My Way; 20
Jojo Rabbit; 20
Las campanas de Santa María; 20
La vuelta al mundo en ochenta días (película de 1956); 20
Marty; 20
Mesas separadas; 20
On the Waterfront; 20
Rebecca (película); 20
Sergeant York; 20
Spellbound; 20
The Philadelphia Story; 20
Gosford Park; 21
Grand Hotel (película de 1932); 21
A Room with a View (película de 1985); 22
Pasaje a la India; 22
Gritos y susurros; 23
Il Postino; 23
La vida es bella; 23
Los emigrantes; 23
Wò hǔ cáng lóng; 23
