FILME; COMUNIDADE
Alma em Suplício; 0
Argo (filme); 0
Asas (filme); 0
Bad Girl (filme); 0
Deliverance (filme); 0
Django Unchained; 0
Driving Miss Daisy; 0
Everything Everywhere All at Once; 0
Farrapo Humano; 0
Gigi (filme); 0
Gisaengchung; 0
Gosford Park; 0
Grande Hotel (filme); 0
Green Book; 0
Inglourious Basterds; 0
Marty; 0
O Artista; 0
Platoon; 0
Pulp Fiction; 0
The Deer Hunter; 0
Bridge of Spies; 1
Perdido em Marte; 1
Erin Brockovich (filme); 2
Traffic (filme); 2
Born on the Fourth of July; 3
Coming Home (1978); 3
A Lista de Schindler; 4
American Graffiti; 4
Apocalypse Now; 4
A Rainha; 4
A Teoria de Tudo; 4
Bohemian Rhapsody (filme); 4
Darkest Hour (filme); 4
Extremely Loud and Incredibly Close; 4
Frost/Nixon; 4
O Beijo da Mulher Aranha; 4
O Pianista; 4
Os Canhões de Navarone; 4
Out of Africa; 4
The Conversation; 4
The French Connection; 4
The Goodbye Girl; 4
The Longest Day; 4
The Sting; 4
Tubarão (filme); 4
Z (filme); 4
All This, and Heaven Too; 5
Watch on the Rhine; 5
Blossoms in the Dust; 6
Madame Curie (filme); 6
Ninotchka; 6
Random Harvest; 6
Johnny Belinda; 7
O Tesouro de Sierra Madre; 7
A Carta (1940); 8
Adeus, Mr. Chips; 8
À Espera de um Milagre; 8
A Letter to Three Wives; 8
All About Eve; 8
Annie Hall; 8
A Streetcar Named Desire; 8
A Tale of Two Cities (1935); 8
Ben-Hur; 8
Chariots of Fire; 8
Chicago (filme de 2002); 8
Dark Victory; 8
David Copperfield (1935); 8
E.T. O Extraterrestre; 8
Funny Girl; 8
Gandhi (filme); 8
Gaslight; 8
Gone with the Wind; 8
Hello, Dolly!; 8
Jezebel; 8
La La Land (filme); 8
O Fio da Navalha (1946); 8
O Leão no Inverno (1968); 8
Oliver!; 8
Peyton Place (filme); 8
Raiders of the Lost Ark; 8
Roman Holiday; 8
Room at the Top; 8
Stagecoach (1939); 8
