NOME;LINKS;REFERENCES;CONTENT
Wings (1927 film);323;68;23199
The Racket (1928 film);130;15;3711
7th Heaven (1927 film);160;23;8726
The Broadway Melody;320;21;11528
In Old Arizona;152;16;4174
The Hollywood Revue;210;13;7887
The Patriot (1928 film);92;16;3024
Alibi (1929 film);37;8;2674
All Quiet on the Western Front (1930 film);254;40;13862
The Big House (1930 film);161;14;7717
Disraeli (1929 film);151;18;6348
The Divorcee;231;9;4011
The Love Parade;100;19;4225
Cimarron (1931 film);253;32;10744
East Lynne (1931 film);142;15;3096
The Front Page (1931 film);193;19;6564
Skippy (film);111;8;3816
Trader Horn (1931 film);216;12;3814
Grand Hotel (1932 film);287;23;11337
Arrowsmith (film);263;8;6347
Bad Girl (1931 film);144;20;11592
The Champ (1931 film);214;17;9528
Five Star Final;124;14;6830
One Hour with You;115;11;3464
Shanghai Express (film);76;20;6933
The Smiling Lieutenant;110;8;5290
Cavalcade (1933 film);386;24;9608
A Farewell to Arms (1932 film);294;29;8841
42nd Street (film);392;29;10452
I Am a Fugitive from a Chain Gang;248;39;12605
Lady for a Day;145;13;9942
Little Women (1933 film);176;30;10706
The Private Life of Henry VIII;241;34;10278
She Done Him Wrong;71;30;8198
Smilin' Through (1932 film);167;10;6306
State Fair (1933 film);153;19;2514
It Happened One Night;396;90;17334
The Barretts of Wimpole Street (1934 film);241;19;6875
Cleopatra (1934 film);184;26;8894
Flirtation Walk;168;8;4541
The Gay Divorcee;91;21;7537
Here Comes the Navy;135;12;2996
The House of Rothschild;138;9;8316
Imitation of Life (1934 film);165;31;15059
One Night of Love;169;16;5258
The Thin Man (film);198;46;14895
Viva Villa!;307;18;6630
The White Parade;95;5;1587
Mutiny on the Bounty (1935 film);445;20;15433
Broadway Melody of 1936;119;13;4607
Captain Blood (1935 film);295;34;11972
David Copperfield (1935 film);214;14;7464
Alice Adams (1935 film);119;8;6327
The Informer (1935 film);414;19;7791
Les Misérables (1935 film);249;16;6828
The Lives of a Bengal Lancer (film);177;25;14621
A Midsummer Night's Dream (1935 film);242;29;16665
Naughty Marietta (film);264;15;6692
Ruggles of Red Gap;86;21;7233
Top Hat;257;54;29175
The Great Ziegfeld;407;68;30433
Anthony Adverse;169;20;11773
Libeled Lady;147;16;4630
Dodsworth (film);198;26;9982
Mr. Deeds Goes to Town;327;27;10010
Romeo and Juliet (1936 film);393;22;10119
San Francisco (1936 film);244;22;7440
The Story of Louis Pasteur;148;11;7257
A Tale of Two Cities (1935 film);181;17;9199
Three Smart Girls;88;10;3351
The Life of Emile Zola;401;15;12831
The Awful Truth;199;60;41071
Captains Courageous (1937 film);117;10;7404
Dead End (1937 film);186;15;7962
The Good Earth (film);243;24;9726
In Old Chicago;323;15;7977
Lost Horizon (1937 film);245;52;19635
One Hundred Men and a Girl;92;11;7734
Stage Door;100;18;7681
A Star Is Born (1937 film);277;48;13987
You Can't Take It with You (film);290;21;8599
The Adventures of Robin Hood;534;46;21017
Alexander's Ragtime Band (film);462;16;5463
Boys Town (film);152;13;7629
The Citadel (1938 film);280;26;3818
Four Daughters;229;13;9386
La Grande Illusion;315;70;23127
Jezebel (1938 film);121;24;7231
Pygmalion (1938 film);183;11;9643
Test Pilot (film);108;14;5260
Gone with the Wind (film);613;237;56092
Dark Victory;148;26;11292
Goodbye, Mr. Chips (1939 film);233;30;7852
Love Affair (1939 film);201;72;19072
Mr. Smith Goes to Washington;271;61;20278
Ninotchka;136;30;9755
Of Mice and Men (1939 film);155;15;6017
Stagecoach (1939 film);392;47;15978
The Wizard of Oz (1939 film);783;239;56097
Wuthering Heights (1939 film);397;27;14264
Rebecca (1940 film);348;42;11808
All This, and Heaven Too;87;13;6044
Foreign Correspondent (film);275;26;12816
The Grapes of Wrath (film);729;45;14261
The Great Dictator;313;74;29852
Kitty Foyle (film);146;20;7008
The Letter (1940 film);111;20;8364
The Long Voyage Home;374;17;7528
Our Town (1940 film);171;15;3044
The Philadelphia Story (film);162;61;13288
How Green Was My Valley (film);481;49;9980
Blossoms in the Dust;186;11;5587
Citizen Kane;871;387;108807
Here Comes Mr. Jordan;148;34;10252
Hold Back the Dawn;105;16;6597
The Little Foxes (film);234;22;12958
The Maltese Falcon (1941 film);198;52;17625
One Foot in Heaven;88;20;7601
Sergeant York (film);128;34;6068
Suspicion (1941 film);216;29;14463
Mrs. Miniver;292;54;14088
49th Parallel (film);164;36;13277
Kings Row;208;19;17385
The Magnificent Ambersons (film);249;64;21267
The Pride of the Yankees;609;33;14577
The Pied Piper (1942 film);81;11;4064
Random Harvest (film);208;23;11180
Wake Island (film);150;22;9366
Yankee Doodle Dandy;333;25;14640
Casablanca (film);647;196;52075
For Whom the Bell Tolls (film);355;33;8512
Heaven Can Wait (1943 film);131;27;5656
The Human Comedy (film);125;22;6859
In Which We Serve;360;31;12742
The More the Merrier;117;26;10547
The Ox-Bow Incident;540;28;7539
Madame Curie (film);152;18;6331
The Song of Bernadette (film);311;27;9152
Watch on the Rhine;205;26;11164
Going My Way;518;32;10939
Double Indemnity;268;67;43633
Gaslight (1944 film);164;28;9386
Wilson (1944 film);485;16;6923
Since You Went Away;173;13;7564
The Lost Weekend;393;29;12421
Anchors Aweigh (film);185;13;9256
The Bells of St. Mary's;155;23;10159
Mildred Pierce (film);306;57;16274
Spellbound (1945 film);411;46;16319
The Best Years of Our Lives;486;45;14417
Henry V (1944 film);286;30;15658
It's a Wonderful Life;721;131;46008
The Razor's Edge (1946 film);277;14;14221
The Yearling (1946 film);138;24;8795
Gentleman's Agreement;435;31;9443
The Bishop's Wife;219;33;6148
Crossfire (film);217;29;8274
Great Expectations (1946 film);128;20;12041
Miracle on 34th Street;194;65;15883
Hamlet (1948 film);528;27;22474
Johnny Belinda (1948 film);221;31;7886
The Red Shoes (1948 film);370;68;31468
The Treasure of the Sierra Madre (film);308;42;18195
The Snake Pit;268;27;11091
All the King's Men (1949 film);315;36;12828
Battleground (film);173;22;9063
The Heiress;129;26;9416
A Letter to Three Wives;90;18;9850
All About Eve;688;74;26424
Born Yesterday (1950 film);183;30;12499
Sunset Boulevard (film);658;92;39556
Father of the Bride (1950 film);119;17;8423
King Solomon's Mines (1950 film);140;21;7299
An American in Paris (film);424;39;13621
Decision Before Dawn;81;12;5080
A Place in the Sun (1951 film);285;31;6834
A Streetcar Named Desire (1951 film);350;33;14112
Quo Vadis (1951 film);256;30;22501
The Greatest Show on Earth (film);386;32;14488
High Noon;435;60;23520
Ivanhoe (1952 film);273;18;13918
The Quiet Man;370;49;16411
Moulin Rouge (1952 film);191;27;8322
From Here to Eternity;372;46;14367
The Robe (film);259;46;14660
Roman Holiday;196;71;12501
Shane (film);143;45;13208
William Shakespeare's Julius Caesar;377;25;9161
On the Waterfront;435;57;15322
The Caine Mutiny (film);209;43;17473
The Country Girl (1954 film);120;22;4775
Seven Brides for Seven Brothers;211;37;22301
Three Coins in the Fountain (film);111;18;9373
Marty (film);507;22;7418
Love Is a Many-Splendored Thing (film);196;22;6949
Mister Roberts (1955 film);307;28;10199
Picnic (1955 film);138;28;12061
The Rose Tattoo (film);134;9;5560
Around the World in 80 Days (1956 film);884;40;23612
Friendly Persuasion (1956 film);264;27;13500
The King and I (1956 film);497;34;13177
Giant (1956 film);188;53;14852
The Ten Commandments (1956 film);590;127;39754
The Bridge on the River Kwai;530;133;26646
Peyton Place (film);159;32;12177
Sayonara;172;30;9431
12 Angry Men (1957 film);379;70;19446
Witness for the Prosecution (1957 film);431;18;9290
Gigi (1958 film);428;27;20337
Auntie Mame (film);210;30;10785
Cat on a Hot Tin Roof (1958 film);116;36;10544
The Defiant Ones;300;32;9706
Separate Tables (film);213;15;7355
Ben-Hur (1959 film);634;168;52394
Anatomy of a Murder;364;79;16785
The Diary of Anne Frank (1959 film);198;34;11207
The Nun's Story (film);329;45;14674
Room at the Top (1959 film);236;23;7626
The Apartment;433;55;13518
The Alamo (1960 film);419;34;22560
Elmer Gantry (film);121;15;7908
Sons and Lovers (film);251;28;6563
The Sundowners (1960 film);173;21;8152
West Side Story (1961 film);727;88;20541
Fanny (1961 film);94;22;9742
The Guns of Navarone (film);453;29;15081
The Hustler;237;44;17989
Judgment at Nuremberg;354;52;14845
Lawrence of Arabia (film);620;150;50358
The Longest Day (film);803;54;20367
The Music Man (1962 film);201;38;11015
Mutiny on the Bounty (1962 film);250;52;19496
To Kill a Mockingbird (film);400;83;15146
Tom Jones (1963 film);667;28;7533
America America;168;18;8359
Cleopatra (1963 film);417;96;40244
How the West Was Won (film);494;54;18621
Lilies of the Field (1963 film);163;18;11453
My Fair Lady (film);578;70;17957
Dr. Strangelove;484;174;39919
Becket (1964 film);301;24;10524
Mary Poppins (film);656;140;30693
Zorba the Greek (film);136;33;15100
The Sound of Music (film);570;160;47305
Doctor Zhivago (film);549;104;19243
Ship of Fools (film);142;24;9033
Darling (1965 film);248;33;7250
A Thousand Clowns;74;19;4789
A Man for All Seasons (1966 film);497;36;13107
Alfie (1966 film);256;29;10217
The Russians Are Coming, the Russians Are Coming;242;32;14174
The Sand Pebbles (film);194;41;13721
Who's Afraid of Virginia Woolf? (film);242;65;17321
In the Heat of the Night (film);415;66;18543
Bonnie and Clyde (film);252;108;20795
Doctor Dolittle (1967 film);271;81;25309
The Graduate;441;150;22384
Guess Who's Coming to Dinner;262;83;21103
Oliver! (film);389;46;13961
Funny Girl (film);234;86;18748
The Lion in Winter (1968 film);352;35;12249
Rachel, Rachel;79;10;6213
Romeo and Juliet (1968 film);414;42;11484
Midnight Cowboy;376;80;13590
Anne of the Thousand Days;250;23;11054
Butch Cassidy and the Sundance Kid;539;72;14022
Hello, Dolly! (film);186;39;14099
Z (1969 film);594;45;12725
Patton (film);491;74;21088
Airport (1970 film);210;46;13733
M*A*S*H (film);489;83;20634
Five Easy Pieces;216;56;8021
Love Story (1970 film);616;83;13369
The French Connection (film);433;112;21892
A Clockwork Orange (film);406;168;34939
Fiddler on the Roof (film);382;47;22603
The Last Picture Show;166;37;17037
Nicholas and Alexandra;255;27;11119
The Godfather;660;365;49511
Cabaret (1972 film);581;102;27879
Deliverance;229;57;14712
The Emigrants (film);296;24;11206
Sounder (film);127;30;9976
The Sting;467;99;16230
American Graffiti;539;107;35363
Cries and Whispers;517;98;28250
The Exorcist;835;342;81734
A Touch of Class (film);97;28;7585
The Godfather Part II;404;127;24080
Chinatown (1974 film);347;110;24884
The Conversation;335;51;11239
Lenny (film);155;24;2563
The Towering Inferno;322;79;16487
One Flew Over the Cuckoo's Nest (film);453;68;16844
Barry Lyndon;396;86;25456
Dog Day Afternoon;382;100;36597
Jaws (film);525;321;64468
Nashville (film);483;53;29776
Rocky;595;163;27354
All the President's Men (film);780;100;24922
Bound for Glory (1976 film);140;31;11708
Network (1976 film);350;72;23285
Taxi Driver;528;189;27337
Annie Hall;526;161;38963
The Goodbye Girl;274;27;10857
Julia (1977 film);251;21;9166
Star Wars (film);1266;594;104560
The Turning Point (1977 film);308;21;12357
The Deer Hunter;551;130;52493
Coming Home (1978 film);233;39;11194
Heaven Can Wait (1978 film);362;29;9519
Midnight Express (film);409;61;15622
An Unmarried Woman;113;31;5742
Kramer vs. Kramer;557;46;12227
All That Jazz (film);285;53;14050
Apocalypse Now;776;209;57259
Breaking Away;256;37;11731
Norma Rae;117;31;9615
Ordinary People;355;47;8277
Coal Miner's Daughter (film);396;35;12247
The Elephant Man (film);353;58;17129
Raging Bull;423;141;28975
Tess (1979 film);294;25;8284
Chariots of Fire;625;117;31805
Atlantic City (1980 film);328;37;9344
On Golden Pond (1981 film);224;44;14030
Raiders of the Lost Ark;908;466;72144
Reds (film);410;22;16275
Gandhi (film);701;101;16989
E.T. the Extra-Terrestrial;799;271;48418
Missing (1982 film);328;28;7627
Tootsie;337;52;11988
The Verdict;195;24;11222
Terms of Endearment;415;50;7566
The Big Chill (film);244;27;12953
The Dresser (1983 film);249;20;7064
The Right Stuff (film);390;67;26017
Tender Mercies;243;47;49691
Amadeus (film);608;80;17782
The Killing Fields (film);275;28;10797
A Passage to India (film);557;47;19044
Places in the Heart;167;45;8532
A Soldier's Story;295;15;9054
Out of Africa (film);633;37;16688
The Color Purple (1985 film);539;65;21228
Kiss of the Spider Woman (film);133;22;12503
Prizzi's Honor;310;31;6452
Witness (1985 film);216;34;17342
Platoon (film);420;92;18204
Children of a Lesser God (film);82;29;8787
Hannah and Her Sisters;444;59;14530
The Mission (1986 film);257;56;10811
A Room with a View (1985 film);466;38;14081
The Last Emperor;587;60;15829
Broadcast News (film);263;52;9721
Fatal Attraction;180;119;16405
Hope and Glory (film);340;37;7674
Moonstruck;148;56;7674
Rain Man;626;95;19541
The Accidental Tourist (film);169;26;5566
Dangerous Liaisons;316;80;12134
Mississippi Burning;420;198;34290
Working Girl;243;55;13555
Driving Miss Daisy;428;74;9358
Born on the Fourth of July (film);410;161;24385
Dead Poets Society;382;95;13954
Field of Dreams;762;100;19935
My Left Foot;236;49;5585
