NOME;LINKS;REFERENCES;CONTENT
Wings (1927 film);324;67;22729
The Racket (1928 film);131;14;3720
7th Heaven (1927 film);160;22;8444
The Broadway Melody;320;18;11436
In Old Arizona;152;15;4050
The Hollywood Revue;210;10;7886
The Patriot (1928 film);91;15;2822
Alibi (1929 film);37;7;2673
All Quiet on the Western Front (1930 film);252;39;13736
The Big House (1930 film);161;13;7716
Disraeli (1929 film);151;17;6347
The Divorcee;231;8;4012
Love Parade;149;46;12924
Cimarron (1931 film);253;31;10743
East Lynne (1931 film);142;14;3095
The Front Page (1931 film);193;18;6563
Skippy (film);111;7;3815
Trader Horn (1931 film);216;11;3813
Grand Hotel (1932 film);286;21;11204
Arrowsmith (film);263;7;6435
Bad Girls Club;230;65;15940
The Champ (1931 film);214;16;9527
Five Star Final;123;13;6829
One Hour with You;115;10;3463
Shanghai Express (film);76;19;6932
The Smiling Lieutenant;110;7;5292
Cavalcade (1933 film);386;23;9607
A Farewell to Arms (1932 film);293;29;8841
42nd Street (film);392;28;10183
I Am a Fugitive from a Chain Gang;247;38;12604
Lady for a Day;145;12;10014
Little Men (1934 film);53;3;3408
The Private Life of Henry VIII;241;33;10277
Nanette Newman;84;30;5229
Smilin' Through (1932 film);167;10;6305
State Fair (1933 film);150;14;2471
It Happened One Night;393;87;17177
The Barretts of Wimpole Street (1934 film);241;18;6844
Cleopatra (1934 film);184;25;8907
Flirtation Walk;168;7;4540
The Gay Divorcee;92;20;7649
Here Comes the Navy;135;11;2995
The House of Rothschild;138;8;8315
Imitation of Life (1934 film);165;30;15058
One Night of Love;169;15;5257
The Thin Man;62;10;6931
Viva Villa!;306;15;6629
The White Parade;95;4;1573
Mutiny on the Bounty (1935 film);439;19;15156
Broadway Melody of 1936;119;12;4606
Captain Blood (1935 film);294;34;11993
David Copperfield (1935 film);214;13;7463
Alice Adams (1935 film);119;7;6308
The Informer (2019 film);83;33;6775
Les Misérables;277;55;55958
The Lives of a Bengal Lancer (film);178;25;14726
A Midsummer Night's Dream (1935 film);236;28;16459
Naughty Marietta (film);264;14;6691
Ruggles of Red Gap;86;20;7215
Top hat;880;47;19232
The Great Ziegfeld;407;67;30432
Anthony Adverse;169;19;11772
Libeled Lady;147;15;4629
Dodsworth (film);196;25;9959
Mr. Deeds Goes to Town;326;22;9854
Romeo and Juliet (1936 film);393;21;8596
San Francisco (1936 film);243;16;7296
The Story of Louis Pasteur;148;10;7256
A Tale of Two Cities;276;54;39073
Three Smart Girls;87;9;3350
The Life of Emile Zola;399;14;12830
The Awful Truth;197;59;41027
Captains Courageous (1937 film);117;9;7403
Dead End (1937 film);186;14;7961
The Good Earth (film);243;23;9725
In Old Chicago;323;14;7976
Lost Horizon (1937 film);244;51;19580
One Hundred Men and a Girl;91;10;7733
Stage Door;100;17;7680
A Star Is Born (1937 film);273;47;13867
You Can't Take It with You (film);288;21;8574
The Adventures of Robin Hood;534;45;20996
Alexander's Ragtime Band (film);462;15;5462
Boys Town (film);150;11;7568
The Citadel (1938 film);279;25;3817
Four Daughters;229;12;9385
La Grande Illusion;314;69;23098
Jezebel (1938 film);121;23;7230
Pygmalion (1938 film);183;10;9642
Test Pilot (film);108;13;5250
Gone with the Wind (film);614;236;56098
Dark Victory;148;25;11324
Goodbye, Mr. Chips (1939 film);232;29;8651
Love Affair (1939 film);200;70;19072
Mr. Smith Goes to Washington;268;59;20064
Ninotchka;135;29;9620
Of Mice and Men (1939 film);155;14;6016
Stagecoach (1939 film);390;46;15599
The Wizard of Oz (1939 film);782;234;55752
Wuthering Heights (1939 film);396;26;14263
Rebecca (1940 film);348;41;11813
All This, and Heaven Too;81;12;6043
Foreign Correspondent (film);275;25;12815
The Grapes of Wrath (film);728;44;13712
The Great Dictator;302;72;29727
Kitty Foyle (film);146;20;7007
The Letter (1940 film);111;19;8389
The Long Voyage Home;374;16;7522
Our Town (1940 film);171;14;3043
The Philadelphia Story (film);161;60;13287
How Green Was My Valley (film);481;49;9980
Blossoms in the Dust;186;10;5621
Citizen Kane;871;385;108449
Here Comes Mr. Jordan;145;33;10127
Hold Back the Dawn;105;15;6596
The Little Foxes (film);234;22;12917
The Maltese Falcon (1941 film);198;51;17667
One Foot in Heaven;88;19;7600
Sergeant York (film);129;34;6075
Suspicion (1941 film);216;28;14461
Mrs. Miniver;291;52;14253
49th Parallel (film);163;35;13295
Kings Row;207;18;17384
The Magnificent Ambersons;279;25;4984
The Pride of the Yankees;609;32;14402
The Pied Piper (1942 film);81;10;4063
Random Harvest (film);208;22;11168
Wake Island (film);129;21;9365
Yankee Doodle Dandy;334;24;14625
Casablanca;839;206;44809
For Whom the Bell Tolls;265;42;15196
Heaven Can Wait (1978 film);361;28;9488
The Human Comedy (film);125;22;6859
In Which We Serve;359;31;12742
The More the Merrier;117;26;10547
The Ox-Bow Incident;539;28;7539
Madame Curie (film);158;18;6363
The Song of Bernadette (film);311;27;9152
Watch on the Rhine;204;26;11164
Going My Way;517;30;10753
Double Indemnity;268;65;41980
Gaslight (1944 film);164;28;9478
Wilson (1944 film);484;15;6922
Since You Went Away;170;12;7396
The Lost Weekend;392;28;12485
Anchors Aweigh (film);185;12;9255
The Bells of St. Mary's;155;21;10042
Mildred Pierce (film);306;57;16274
Spellbound (1945 film);410;43;16231
The Best Years of Our Lives;484;44;14338
Henry V (1944 film);285;29;15658
It's a Wonderful Life;714;130;46341
The Razor's Edge (1946 film);277;13;14223
The Yearling (1946 film);138;23;8794
Gentleman's Agreement;434;30;9443
The Bishop's Wife;218;33;6137
Crossfire (film);217;28;8273
Great Expectations (1946 film);128;19;11728
Miracle on 34th Street;188;64;15946
Hamlet (1948 film);528;26;23248
Johnny Belinda (1948 film);221;31;7886
The Red Shoes (1948 film);368;63;31252
The Treasure of the Sierra Madre (film);306;42;18120
The Snake Pit;266;27;10977
All the King's Men (1949 film);300;32;11924
Battleground (film);172;21;9063
The Heiress;125;24;9104
A Letter to Three Wives;90;17;9849
All About Eve;687;73;26434
Born Yesterday (1950 film);183;29;12498
Sunset Boulevard (film);654;91;39506
Father of the Bride (1950 film);119;16;8422
King Solomon's Mines (1950 film);139;20;7298
An American in Paris (film);424;38;13620
Decision Before Dawn;79;11;5080
A Place in the Sun (1951 film);284;30;7176
A Streetcar Named Desire (1995 film);60;11;1156
Quo Vadis (1951 film);256;29;22509
The Greatest Show on Earth (film);384;31;14419
High Noon;431;59;23379
Ivanhoe (1952 film);273;17;13917
The Quiet Man;383;47;16374
Moulin Rouge (1952 film);191;27;8322
From Here to Eternity;369;45;14392
The Robe (film);257;45;14659
Roman Holiday;195;72;13218
Shane (film);143;44;13207
William Shakespeare's Julius Caesar;376;24;9160
On the Waterfront;431;56;15387
The Caine Mutiny (film);209;42;17469
The Country Girl (1954 film);120;21;4774
Seven Brides for Seven Brothers;211;36;20941
Three Coins in the Fountain (film);111;17;9372
Marty (film);539;22;7427
Love Is a Many-Splendored Thing (film);194;20;6651
Mister Roberts (1955 film);307;27;10194
Picnic (1955 film);138;27;12064
The Rose Tattoo (film);134;9;5559
Around the World in 80 Days (1956 film);878;39;23527
Friendly Persuasion (1956 film);261;26;13116
The King and I (1956 film);497;33;13066
Giant (1956 film);188;52;14857
The Ten Commandments (1956 film);587;122;39112
The Bridge on the River Kwai;529;98;26715
Peyton Place (film);157;29;11649
Sayonara;169;28;9297
12 Angry Men (1957 film);377;69;19457
Witness for the Prosecution (1957 film);431;17;9289
Gigi (1958 film);428;26;20336
Auntie Mame (film);206;29;10413
Cat on a Hot Tin Roof (1958 film);116;36;10552
The Defiant Ones;296;31;9643
Separate Tables (film);244;15;7354
Ben-Hur (1959 film);629;136;52313
Anatomy of a Murder;364;78;16784
The Diary of Anne Frank (1959 film);193;34;12591
The Nun's Story (film);328;40;14656
Room at the Top (1959 film);236;23;7626
The Apartment;432;54;13541
The Alamo (1960 film);420;33;22906
Elmer Gantry (film);121;14;7907
Sons and Lovers (film);263;27;6605
The Sundowners (1960 film);173;20;8151
West Side Story (1961 film);718;87;20540
Fanny (1961 film);94;21;9741
The Guns of Navarone (film);453;28;15087
The Hustler;237;43;17987
Judgment at Nuremberg;353;51;14533
Lawrence of Arabia (film);620;145;50251
The Longest Day (film);801;53;20369
The Music Man (1962 film);201;38;11016
Mutiny on the Bounty (1962 film);250;51;19496
To Kill a Mockingbird (film);401;82;15199
Tom Jones (1963 film);666;28;7533
America America;168;17;8358
Cleopatra (1963 film);417;94;39997
How the West Was Won (film);494;53;18604
Lilies of the Field (1963 film);163;17;11452
My Fair Lady (film);578;69;17959
Dr. Strangelove;482;171;39957
Becket (1964 film);310;23;11496
Mary Poppins (film);720;131;30098
Zorba the Greek (film);135;32;14985
The Sound of Music (film);570;157;46269
Doctor Zhivago (film);540;95;19434
Ship of Fools (film);140;22;9032
Darling (1965 film);247;33;7250
A Thousand Clowns;74;18;4788
A Man for All Seasons (1966 film);496;35;13106
Alfie (1966 film);255;29;10385
The Russians Are Coming, the Russians Are Coming;242;31;14173
The Sand Pebbles (film);200;40;12942
Who's Afraid of Virginia Woolf?;410;46;22415
In the Heat of the Night (film);414;65;18542
Bonnie and Clyde (film);251;107;20796
Doctor Dolittle (1967 film);271;80;25308
The Graduate;437;149;22464
Guess Who's Coming to Dinner;251;76;17541
Oliver! (film);387;45;13935
Funny Girl (film);234;76;18571
The Lion in Winter (1968 film);351;28;11118
Rachel, Rachel;79;9;6212
Romeo and Juliet (1968 film);409;42;11360
Midnight Cowboy;371;79;13658
Anne of the Thousand Days;250;22;11053
Butch Cassidy and the Sundance Kid;539;71;14022
Hello, Dolly! (film);184;38;14063
Z (1969 film);593;44;12714
Patton (film);495;73;21500
Airport (1970 film);210;45;13732
M*A*S*H (film);488;83;20246
Five Easy Pieces;212;47;7827
Love Story (1970 film);615;80;13392
The French Connection (film);433;111;21910
A Clockwork Orange (film);403;164;35348
Fiddler on the Roof (film);382;45;22935
The Last Picture Show;167;36;16911
Nicholas and Alexandra;254;26;11118
The Godfather;661;339;49155
Cabaret (1972 film);580;97;28774
Deliverance;228;56;14786
The Emigrants (film);295;23;11205
Sounder (film);124;28;9657
The Sting;464;97;16252
American Graffiti;542;109;35306
Cries and Whispers;515;97;28249
The Exorcist (franchise);278;78;22887
A Touch of Class (film);96;28;7586
The Godfather Part II;408;127;24029
Chinatown (1974 film);339;108;21720
The Conversation;339;50;13233
Lenny (film);148;23;2570
The Towering Inferno;318;78;16565
One Flew Over the Cuckoo's Nest (novel);130;27;19792
Barry Lyndon;391;57;25380
