NOME;LINKS;REFERENCES;CONTENT
Asas (filme);147;42;701
The Racket (1928);105;20;1913
7th Heaven (1927);36;29;846
The Broadway Melody;142;31;1398
In Old Arizona;154;26;2558
The Hollywood Revue of 1929;72;23;7566
The Patriot (filme de 1928);83;12;1884
Alibi (1929);62;21;1276
All Quiet on the Western Front;151;44;1681
The Big House;113;22;2710
Disraeli (1929);164;19;1901
A Divorciada;142;27;1805
The Love Parade;40;24;972
Cimarron (1931);152;29;826
East Lynne (1931);83;2;1562
The Front Page (1931);126;23;2251
Skippy;139;2;1332
Trader Horn;93;20;2257
Grande Hotel (filme);183;50;10591
Arrowsmith (filme);186;24;565
Bad Girl (filme);65;8;1558
O Campeão (filme de 1931);41;32;686
Five Star Final;71;4;1855
Uma Hora Contigo;63;25;962
O Expresso de Xangai;62;35;2389
O Tenente Sedutor;58;30;4767
Cavalgada (filme);170;32;4599
A Farewell to Arms (1932);78;33;1453
Rua 42;261;49;10243
I Am a Fugitive from a Chain Gang;40;35;797
Lady for a Day;59;0;1465
As Quatro Irmãs;105;35;699
The Private Life of Henry VIII;67;31;1302
Uma Loira para Três;74;31;1753
Smilin' Through;84;19;1735
State Fair (1933);40;26;769
It Happened One Night;273;112;16076
The Barretts of Wimpole Street;92;22;1912
Cleópatra (1934);95;48;5018
Flirtation Walk;89;21;1853
A Alegre Divorciada;49;28;1013
Here Comes the Navy;86;3;2143
The House of Rothschild;101;18;1689
Imitation of Life (1934);100;46;11801
One Night of Love;95;30;1655
The Thin Man;44;39;495
Viva Villa!;121;25;2732
The White Parade;66;3;1427
Mutiny on the Bounty (1935);162;41;1212
Broadway Melody of 1936;39;32;1196
O Capitão Blood;106;53;10669
David Copperfield (1935);100;26;814
Alice Adams;41;32;923
The Informer;200;33;611
Les Misérables (1935);167;23;240
Lanceiros da Índia;63;25;1717
Sonho de uma Noite de Verão (1935);105;45;10925
Naughty Marietta;206;23;1968
Ruggles of Red Gap;69;33;1511
Top Hat;64;47;1363
The Great Ziegfeld;260;32;788
Adversidade;88;37;8198
Libeled Lady;36;26;500
Dodsworth;94;27;2251
Mr. Deeds Goes to Town;89;38;1303
Romeo and Juliet (1936);98;32;599
San Francisco (filme);44;7;2785
The Story of Louis Pasteur;135;28;306
A Tale of Two Cities (1935);206;29;1880
Three Smart Girls;142;2;2823
The Life of Emile Zola;233;30;1272
The Awful Truth;91;80;18830
Captains Courageous;55;27;1620
Dead End;137;34;4994
The Good Earth;52;32;1392
In Old Chicago;175;26;5081
Horizonte Perdido (1937);86;32;967
One Hundred Men and a Girl;147;2;2455
Stage Door;26;2;523
A Star Is Born (1937);92;31;5342
You Can't Take It with You;180;37;1703
The Adventures of Robin Hood;149;68;17562
Alexander's Ragtime Band;166;34;582
Boys Town (filme);117;4;2966
The Citadel (filme);28;29;197
Four Daughters;54;23;593
A Grande Ilusão (1937);126;32;706
Jezebel;152;53;6674
Pygmalion;61;26;1499
Test Pilot;80;30;1517
Gone with the Wind;468;206;86816
Dark Victory;147;49;8326
Adeus, Mr. Chips;74;32;1892
Love Affair (1939);51;30;754
Mr. Smith Goes to Washington;94;45;1178
Ninotchka;110;66;6803
Of Mice and Men (1939);35;26;1036
Stagecoach (1939);271;87;9770
The Wizard of Oz (1939);407;163;31160
Wuthering Heights (filme de 1939);105;11;1973
Rebecca (1940);232;40;3716
All This, and Heaven Too;76;34;4603
Foreign Correspondent;131;40;2278
As Vinhas da Ira (filme);211;38;1591
O Grande Ditador;228;82;10721
Kitty Foyle;39;31;1191
A Carta (1940);149;46;5953
The Long Voyage Home;180;27;229
Our Town;87;4;2264
The Philadelphia Story;111;42;1872
How Green Was My Valley;411;50;1149
Blossoms in the Dust;99;3;2037
Citizen Kane;107;57;5782
Here Comes Mr. Jordan;57;30;534
Hold Back the Dawn;73;35;4147
The Little Foxes;87;42;10000
Relíquia Macabra;119;41;1810
One Foot in Heaven;113;25;1807
Sargento York;74;40;2225
Suspeita;121;44;1308
Mrs. Miniver;228;37;2895
49th Parallel;48;36;1605
Em Cada Coração um Pecado;105;29;596
The Magnificent Ambersons (1942);102;34;3037
The Pride of the Yankees;83;3;2316
The Pied Piper;85;2;1880
Random Harvest;93;3;1842
Wake Island;65;28;1597
Yankee Doodle Dandy;63;37;719
Casablanca (filme);199;51;6036
Por Quem os Sinos Dobram (filme);54;39;1595
Heaven Can Wait (1943);108;38;2393
A Comédia Humana (1943);83;7;2024
In Which We Serve;156;27;3369
The More the Merrier;55;29;1365
Consciências Mortas;47;30;1873
Madame Curie (filme);54;31;1669
A Canção de Bernadette;273;37;1128
Watch on the Rhine;90;41;10066
O Bom Pastor (1944);194;36;405
Double Indemnity;92;42;1486
Gaslight;113;39;1262
Wilson (1944);342;26;3209
Since You Went Away;133;29;3195
