Midnight Cowboy;371;79;13658
Anne of the Thousand Days;250;22;11053
Butch Cassidy and the Sundance Kid;539;71;14022
Hello, Dolly! (film);184;38;14063
Z (1969 film);593;44;12714
Patton (film);495;73;21500
Airport (1970 film);210;45;13732
M*A*S*H (film);488;83;20246
Five Easy Pieces;212;47;7827
Love Story (1970 film);615;80;13392
The French Connection (film);433;111;21910
A Clockwork Orange (film);403;164;35348
Fiddler on the Roof (film);382;45;22935
The Last Picture Show;167;36;16911
Nicholas and Alexandra;254;26;11118
The Godfather;661;339;49155
Cabaret (1972 film);580;97;28774
Deliverance;228;56;14786
The Emigrants (film);295;23;11205
Sounder (film);124;28;9657
The Sting;464;97;16252
American Graffiti;542;109;35306
Cries and Whispers;515;97;28249
The Exorcist (franchise);278;78;22887
A Touch of Class (film);96;28;7586
The Godfather Part II;408;127;24029
Chinatown (1974 film);339;108;21720
The Conversation;339;50;13233
Lenny (film);148;23;2570
The Towering Inferno;318;78;16565
Barry Lyndon;391;57;25380
Dog Day Afternoon;381;99;36595
Jaws (film);519;320;63535
Nashville (film);483;52;29762
Rocky;576;161;27354
All the President's Men (film);737;80;15514
Bound for Glory (1976 film);139;31;5835
Network (1976 film);351;71;23359
Taxi Driver;527;187;27095
Annie Hall;523;160;38963
The Goodbye Girl;274;26;10856
Julia (1977 film);250;20;9166
Star Wars (film);1259;587;103260
The Turning Point (1977 film);307;20;12356
The Deer Hunter;533;129;52451
Coming Home (1978 film);221;33;10441
Heaven Can Wait (1978 film);361;28;9488
Midnight Express (film);410;60;15648
An Unmarried Woman;110;31;5742
