American Beauty;167;39;14390
The Cider House Rules;78;18;2613
The Green Mile;124;18;12185
The Insider;79;22;6606
The Sixth Sense;95;58;14121
Gladiator;335;126;43893
Chocolat (película de 2000);78;22;4779
Wò hǔ cáng lóng;82;29;6875
Erin Brockovich (película);88;31;7471
Traffic (película de 2000);171;18;21677
A Beautiful Mind;90;22;6841
Gosford Park;162;56;18440
In the Bedroom (película);54;14;2849
El Señor de los Anillos: la Comunidad del Anillo;179;37;14233
Moulin Rouge!;231;32;8074
Chicago (película de 2002);107;29;18909
Gangs of New York;204;64;24154
Las horas;113;28;5107
El Señor de los Anillos: las dos torres;351;94;34756
El pianista;130;36;11147
El Señor de los Anillos: el retorno del Rey;224;33;27465
Lost in Translation;97;53;9070
Master and Commander: The Far Side of the World;115;15;3069
Mystic River;81;31;6451
Seabiscuit;86;15;8435
Million Dollar Baby;93;32;8402
El aviador;125;21;6682
Finding Neverland;81;26;3141
Ray (película);72;19;7419
Crash (película de 2004);117;34;18183
Brokeback Mountain;118;29;17993
Capote (película);77;18;1384
Buenas noches, y buena suerte;80;21;3433
Múnich (película);79;18;2328
The Departed;189;173;19285
Babel (película);109;39;14000
Cartas desde Iwo Jima;92;29;11405
Little Miss Sunshine;200;152;31928
The Queen;93;24;2751
No Country for Old Men;146;88;29263
Atonement (película);75;28;2893
Juno (película);257;195;31305
Michael Clayton;61;28;1831
There Will Be Blood;103;68;10608
Slumdog Millionaire;111;37;16091
El curioso caso de Benjamin Button (película);92;18;5652
Frost/Nixon;66;21;3519
Milk (película);118;49;14061
The Reader;84;27;9556
