Asas (filme);147;42;701
The Racket (1928);105;20;1913
7th Heaven (1927);36;29;846
The Broadway Melody;142;31;1398
In Old Arizona;154;26;2558
The Hollywood Revue of 1929;72;23;7566
The Patriot (filme de 1928);83;12;1884
Alibi (1929);62;21;1276
All Quiet on the Western Front;151;44;1681
The Big House;113;22;2710
Disraeli (1929);164;19;1901
A Divorciada;142;27;1805
The Love Parade;40;24;972
Cimarron (1931);152;29;826
East Lynne (1931);83;2;1562
The Front Page (1931);126;23;2251
Skippy;139;2;1332
Trader Horn;93;20;2257
Grande Hotel (filme);183;50;10591
Arrowsmith (filme);186;24;565
Bad Girl (filme);65;8;1558
O Campeão (filme de 1931);41;32;686
Five Star Final;71;4;1855
Uma Hora Contigo;63;25;962
O Expresso de Xangai;62;35;2389
O Tenente Sedutor;58;30;4767
Cavalgada (filme);170;32;4599
A Farewell to Arms (1932);78;33;1453
Rua 42;261;49;10243
I Am a Fugitive from a Chain Gang;40;35;797
Lady for a Day;59;0;1465
The Private Life of Henry VIII;67;31;1302
Uma Loira para Três;74;31;1753
Smilin' Through;84;19;1735
State Fair (1933);40;26;769
It Happened One Night;273;112;16076
The Barretts of Wimpole Street;92;22;1912
Cleópatra (1934);95;48;5018
Flirtation Walk;89;21;1853
A Alegre Divorciada;49;28;1013
Here Comes the Navy;86;3;2143
The House of Rothschild;101;18;1689
Imitation of Life (1934);100;46;11801
One Night of Love;95;30;1655
The Thin Man;44;39;495
Viva Villa!;121;25;2732
The White Parade;66;3;1427
Mutiny on the Bounty (1935);162;41;1212
Broadway Melody of 1936;39;32;1196
O Capitão Blood;106;53;10669
David Copperfield (1935);100;26;814
Alice Adams;41;32;923
The Informer;200;33;611
Les Misérables (1935);167;23;240
Lanceiros da Índia;63;25;1717
Sonho de uma Noite de Verão (1935);105;45;10925
Naughty Marietta;206;23;1968
Ruggles of Red Gap;69;33;1511
Top Hat;64;47;1363
The Great Ziegfeld;260;32;788
Adversidade;88;37;8198
Libeled Lady;36;26;500
Dodsworth;94;27;2251
Mr. Deeds Goes to Town;89;38;1303
Romeo and Juliet (1936);98;32;599
San Francisco (filme);44;7;2785
The Story of Louis Pasteur;135;28;306
A Tale of Two Cities (1935);206;29;1880
Three Smart Girls;142;2;2823
The Life of Emile Zola;233;30;1272
The Awful Truth;91;80;18830
Captains Courageous;55;27;1620
Dead End;137;34;4994
The Good Earth;52;32;1392
In Old Chicago;175;26;5081
Horizonte Perdido (1937);86;32;967
One Hundred Men and a Girl;147;2;2455
Stage Door;26;2;523
A Star Is Born (1937);92;31;5342
You Can't Take It with You;180;37;1703
The Adventures of Robin Hood;149;68;17562
Alexander's Ragtime Band;166;34;582
Boys Town (filme);117;4;2966
The Citadel (filme);28;29;197
Four Daughters;54;23;593
A Grande Ilusão (1937);126;32;706
Jezebel;152;53;6674
Pygmalion;61;26;1499
Test Pilot;80;30;1517
