date	views
2002-07-01	
2002-08-01	
2002-09-01	
2002-10-01	
2002-11-01	
2002-12-01	
2003-01-01	
2003-02-01	
2003-03-01	
2003-04-01	
2003-05-01	
2003-06-01	
2003-07-01	
2003-08-01	
2003-09-01	
2003-10-01	
2003-11-01	
2003-12-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	
2004-05-01	
2004-06-01	
2004-07-01	
2004-08-01	
2004-09-01	
2004-10-01	
2004-11-01	
2004-12-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2005-07-01	
2005-08-01	
2005-09-01	
2005-10-01	
2005-11-01	
2005-12-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2006-07-01	
2006-08-01	
2006-09-01	
2006-10-01	
2006-11-01	
2006-12-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2007-07-01	
2007-08-01	
2007-09-01	
2007-10-01	
2007-11-01	
2007-12-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2008-07-01	
2008-08-01	
2008-09-01	
2008-10-01	
2008-11-01	
2008-12-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2009-07-01	
2009-08-01	
2009-09-01	
2009-10-01	
2009-11-01	
2009-12-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2010-07-01	
2010-08-01	
2010-09-01	
2010-10-01	
2010-11-01	
2010-12-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2011-07-01	
2011-08-01	
2011-09-01	
2011-10-01	
2011-11-01	
2011-12-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2012-07-01	
2012-08-01	
2012-09-01	
2012-10-01	
2012-11-01	
2012-12-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2013-07-01	
2013-08-01	
2013-09-01	
2013-10-01	
2013-11-01	
2013-12-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2014-07-01	
2014-08-01	
2014-09-01	
2014-10-01	
2014-11-01	
2014-12-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2015-07-01	374
2015-08-01	382
2015-09-01	363
2015-10-01	416
2015-11-01	313
2015-12-01	621
2016-01-01	362
2016-02-01	509
2016-03-01	356
2016-04-01	346
2016-05-01	378
2016-06-01	480
2016-07-01	374
2016-08-01	829
2016-09-01	522
2016-10-01	461
2016-11-01	398
2016-12-01	426
2017-01-01	348
2017-02-01	472
2017-03-01	472
2017-04-01	1525
2017-05-01	501
2017-06-01	533
2017-07-01	478
2017-08-01	353
2017-09-01	556
2017-10-01	437
2017-11-01	364
2017-12-01	522
2018-01-01	456
2018-02-01	436
2018-03-01	1863
2018-04-01	726
2018-05-01	1070
2018-06-01	5398
2018-07-01	1041
2018-08-01	2003
2018-09-01	12459
2018-10-01	37717
2018-11-01	12458
2018-12-01	7672
2019-01-01	12157
2019-02-01	23435
2019-03-01	16183
2019-04-01	7233
2019-05-01	4876
2019-06-01	7881
2019-07-01	6125
2019-08-01	4676
2019-09-01	3678
2019-10-01	4044
2019-11-01	3919
2019-12-01	3917
2020-01-01	3827
2020-02-01	2896
2020-03-01	2352
2020-04-01	3447
2020-05-01	2889
2020-06-01	3109
2020-07-01	3178
2020-08-01	3036
2020-09-01	5116
2020-10-01	4294
2020-11-01	3323
2020-12-01	3067
2021-01-01	2825
2021-02-01	2512
2021-03-01	3232
2021-04-01	4625
2021-05-01	3107
2021-06-01	2335
2021-07-01	2050
2021-08-01	2652
2021-09-01	2451
2021-10-01	1697
2021-11-01	1663
2021-12-01	3045
2022-01-01	2497
2022-02-01	1463
2022-03-01	1574
2022-04-01	1418
2022-05-01	1176
2022-06-01	1686
2022-07-01	1644
2022-08-01	2008
2022-09-01	1804
2022-10-01	1097
2022-11-01	1191
2022-12-01	1547
2023-01-01	1566
2023-02-01	1369
2023-03-01	2052
2023-04-01	1878
2023-05-01	2001
2023-06-01	3558
2023-07-01	2956
2023-08-01	2679
2023-09-01	2051
2023-10-01	1160
