date	views
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2007-07-01	
2007-08-01	
2007-09-01	
2007-10-01	
2007-11-01	
2007-12-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2008-07-01	
2008-08-01	
2008-09-01	
2008-10-01	
2008-11-01	
2008-12-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2009-07-01	
2009-08-01	
2009-09-01	
2009-10-01	
2009-11-01	
2009-12-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2010-07-01	
2010-08-01	
2010-09-01	
2010-10-01	
2010-11-01	
2010-12-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2011-07-01	
2011-08-01	
2011-09-01	
2011-10-01	
2011-11-01	
2011-12-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2012-07-01	
2012-08-01	
2012-09-01	
2012-10-01	
2012-11-01	
2012-12-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2013-07-01	
2013-08-01	
2013-09-01	
2013-10-01	
2013-11-01	
2013-12-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2014-07-01	
2014-08-01	
2014-09-01	
2014-10-01	
2014-11-01	
2014-12-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2015-07-01	266
2015-08-01	269
2015-09-01	268
2015-10-01	241
2015-11-01	214
2015-12-01	276
2016-01-01	285
2016-02-01	328
2016-03-01	270
2016-04-01	224
2016-05-01	243
2016-06-01	236
2016-07-01	202
2016-08-01	322
2016-09-01	272
2016-10-01	264
2016-11-01	332
2016-12-01	348
2017-01-01	295
2017-02-01	319
2017-03-01	248
2017-04-01	275
2017-05-01	261
2017-06-01	250
2017-07-01	250
2017-08-01	241
2017-09-01	230
2017-10-01	229
2017-11-01	225
2017-12-01	268
2018-01-01	304
2018-02-01	281
2018-03-01	218
2018-04-01	237
2018-05-01	253
2018-06-01	217
2018-07-01	220
2018-08-01	300
2018-09-01	208
2018-10-01	247
2018-11-01	256
2018-12-01	227
2019-01-01	217
2019-02-01	244
2019-03-01	200
2019-04-01	223
2019-05-01	190
2019-06-01	174
2019-07-01	187
2019-08-01	201
2019-09-01	177
2019-10-01	214
2019-11-01	159
2019-12-01	183
2020-01-01	177
2020-02-01	140
2020-03-01	124
2020-04-01	208
2020-05-01	194
2020-06-01	163
2020-07-01	186
2020-08-01	166
2020-09-01	154
2020-10-01	144
2020-11-01	167
2020-12-01	178
2021-01-01	152
2021-02-01	182
2021-03-01	264
2021-04-01	222
2021-05-01	166
2021-06-01	160
2021-07-01	146
2021-08-01	151
2021-09-01	184
2021-10-01	162
2021-11-01	140
2021-12-01	168
2022-01-01	171
2022-02-01	166
2022-03-01	178
2022-04-01	153
2022-05-01	174
2022-06-01	170
2022-07-01	174
2022-08-01	157
2022-09-01	143
2022-10-01	132
2022-11-01	172
2022-12-01	162
2023-01-01	167
2023-02-01	108
2023-03-01	149
2023-04-01	131
2023-05-01	161
2023-06-01	217
2023-07-01	185
2023-08-01	184
2023-09-01	155
2023-10-01	120
