date	views
2020-01-01	1353
2020-02-01	2413
2020-03-01	1019
2020-04-01	1361
2020-05-01	742
2020-06-01	419
2020-07-01	359
2020-08-01	413
2020-09-01	414
2020-10-01	344
2020-11-01	343
2020-12-01	430
2021-01-01	440
2021-02-01	297
2021-03-01	325
2021-04-01	419
2021-05-01	323
2021-06-01	265
2021-07-01	291
2021-08-01	316
2021-09-01	329
2021-10-01	326
2021-11-01	241
2021-12-01	3626
2022-01-01	1042
2022-02-01	269
2022-03-01	813
2022-04-01	4913
2022-05-01	11075
2022-06-01	8949
2022-07-01	10887
2022-08-01	6640
2022-09-01	5354
2022-10-01	4813
2022-11-01	4855
2022-12-01	9412
2023-01-01	13800
2023-02-01	4397
2023-03-01	13360
2023-04-01	3345
2023-05-01	2532
2023-06-01	2303
2023-07-01	2260
2023-08-01	2194
2023-09-01	1557
2023-10-01	1219
