date	views
2004-09-01	
2004-10-01	
2004-11-01	
2004-12-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2005-07-01	
2005-08-01	
2005-09-01	
2005-10-01	
2005-11-01	
2005-12-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2006-07-01	
2006-08-01	
2006-09-01	
2006-10-01	
2006-11-01	
2006-12-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2007-07-01	
2007-08-01	
2007-09-01	
2007-10-01	
2007-11-01	
2007-12-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2008-07-01	
2008-08-01	
2008-09-01	
2008-10-01	
2008-11-01	
2008-12-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2009-07-01	
2009-08-01	
2009-09-01	
2009-10-01	
2009-11-01	
2009-12-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2010-07-01	
2010-08-01	
2010-09-01	
2010-10-01	
2010-11-01	
2010-12-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2011-07-01	
2011-08-01	
2011-09-01	
2011-10-01	
2011-11-01	
2011-12-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2012-07-01	
2012-08-01	
2012-09-01	
2012-10-01	
2012-11-01	
2012-12-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2013-07-01	
2013-08-01	
2013-09-01	
2013-10-01	
2013-11-01	
2013-12-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2014-07-01	
2014-08-01	
2014-09-01	
2014-10-01	
2014-11-01	
2014-12-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2015-07-01	662
2015-08-01	608
2015-09-01	566
2015-10-01	564
2015-11-01	481
2015-12-01	505
2016-01-01	551
2016-02-01	592
2016-03-01	537
2016-04-01	559
2016-05-01	494
2016-06-01	456
2016-07-01	475
2016-08-01	522
2016-09-01	519
2016-10-01	522
2016-11-01	431
2016-12-01	390
2017-01-01	461
2017-02-01	261
2017-03-01	182
2017-04-01	171
2017-05-01	140
2017-06-01	142
2017-07-01	112
2017-08-01	138
2017-09-01	134
2017-10-01	150
2017-11-01	132
2017-12-01	135
2018-01-01	123
2018-02-01	115
2018-03-01	145
2018-04-01	152
2018-05-01	135
2018-06-01	130
2018-07-01	108
2018-08-01	99
2018-09-01	393
2018-10-01	158
2018-11-01	99
2018-12-01	90
2019-01-01	117
2019-02-01	97
2019-03-01	109
2019-04-01	113
2019-05-01	98
2019-06-01	110
2019-07-01	101
2019-08-01	121
2019-09-01	125
2019-10-01	141
2019-11-01	118
2019-12-01	122
2020-01-01	145
2020-02-01	847
2020-03-01	426
2020-04-01	618
2020-05-01	180
2020-06-01	123
2020-07-01	139
2020-08-01	111
2020-09-01	124
2020-10-01	117
2020-11-01	113
2020-12-01	127
2021-01-01	147
2021-02-01	222
2021-03-01	205
2021-04-01	196
2021-05-01	183
2021-06-01	100
2021-07-01	100
2021-08-01	143
2021-09-01	120
2021-10-01	94
2021-11-01	120
2021-12-01	94
2022-01-01	124
2022-02-01	197
2022-03-01	267
2022-04-01	256
2022-05-01	236
2022-06-01	244
2022-07-01	166
2022-08-01	182
2022-09-01	179
2022-10-01	173
2022-11-01	181
2022-12-01	126
2023-01-01	100
2023-02-01	55
2023-03-01	54
2023-04-01	70
2023-05-01	37
2023-06-01	58
2023-07-01	78
2023-08-01	61
2023-09-01	77
2023-10-01	108
