date	views
2001-07-01	
2001-08-01	
2001-09-01	
2001-10-01	
2001-11-01	
2001-12-01	
2002-01-01	
2002-02-01	
2002-03-01	
2002-04-01	
2002-05-01	
2002-06-01	
2002-07-01	
2002-08-01	
2002-09-01	
2002-10-01	
2002-11-01	
2002-12-01	
2003-01-01	
2003-02-01	
2003-03-01	
2003-04-01	
2003-05-01	
2003-06-01	
2003-07-01	
2003-08-01	
2003-09-01	
2003-10-01	
2003-11-01	
2003-12-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	
2004-05-01	
2004-06-01	
2004-07-01	
2004-08-01	
2004-09-01	
2004-10-01	
2004-11-01	
2004-12-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2005-07-01	
2005-08-01	
2005-09-01	
2005-10-01	
2005-11-01	
2005-12-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2006-07-01	
2006-08-01	
2006-09-01	
2006-10-01	
2006-11-01	
2006-12-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2007-07-01	
2007-08-01	
2007-09-01	
2007-10-01	
2007-11-01	
2007-12-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2008-07-01	
2008-08-01	
2008-09-01	
2008-10-01	
2008-11-01	
2008-12-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2009-07-01	
2009-08-01	
2009-09-01	
2009-10-01	
2009-11-01	
2009-12-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2010-07-01	
2010-08-01	
2010-09-01	
2010-10-01	
2010-11-01	
2010-12-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2011-07-01	
2011-08-01	
2011-09-01	
2011-10-01	
2011-11-01	
2011-12-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2012-07-01	
2012-08-01	
2012-09-01	
2012-10-01	
2012-11-01	
2012-12-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2013-07-01	
2013-08-01	
2013-09-01	
2013-10-01	
2013-11-01	
2013-12-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2014-07-01	
2014-08-01	
2014-09-01	
2014-10-01	
2014-11-01	
2014-12-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2015-07-01	114969
2015-08-01	150070
2015-09-01	185678
2015-10-01	195858
2015-11-01	182577
2015-12-01	156203
2016-01-01	162284
2016-02-01	161649
2016-03-01	164333
2016-04-01	210123
2016-05-01	170897
2016-06-01	129940
2016-07-01	119488
2016-08-01	111841
2016-09-01	130667
2016-10-01	149796
2016-11-01	160749
2016-12-01	148287
2017-01-01	164692
2017-02-01	149686
2017-03-01	169293
2017-04-01	151833
2017-05-01	153502
2017-06-01	125103
2017-07-01	122476
2017-08-01	124292
2017-09-01	129337
2017-10-01	151450
2017-11-01	152757
2017-12-01	133645
2018-01-01	158717
2018-02-01	146081
2018-03-01	167917
2018-04-01	169200
2018-05-01	159673
2018-06-01	116847
2018-07-01	113055
2018-08-01	119838
2018-09-01	128911
2018-10-01	140040
2018-11-01	151315
2018-12-01	126115
2019-01-01	132981
2019-02-01	126091
2019-03-01	130341
2019-04-01	133045
2019-05-01	148436
2019-06-01	106694
2019-07-01	159685
2019-08-01	118100
2019-09-01	112513
2019-10-01	123535
2019-11-01	125434
2019-12-01	109361
2020-01-01	120318
2020-02-01	113973
2020-03-01	124057
2020-04-01	147355
2020-05-01	167850
2020-06-01	118772
2020-07-01	101581
2020-08-01	105563
2020-09-01	106684
2020-10-01	121206
2020-11-01	117481
2020-12-01	117318
2021-01-01	126574
2021-02-01	122147
2021-03-01	139823
2021-04-01	137728
2021-05-01	123499
2021-06-01	106626
2021-07-01	145928
2021-08-01	117914
2021-09-01	117714
2021-10-01	141123
2021-11-01	122268
2021-12-01	123887
2022-01-01	152896
2022-02-01	125493
2022-03-01	132273
2022-04-01	155113
2022-05-01	158398
2022-06-01	113394
2022-07-01	102138
2022-08-01	107972
2022-09-01	116644
2022-10-01	134915
2022-11-01	135123
2022-12-01	109087
2023-01-01	128066
2023-02-01	112431
2023-03-01	133423
2023-04-01	116628
2023-05-01	122663
2023-06-01	107137
2023-07-01	104253
2023-08-01	103748
2023-09-01	108251
2023-10-01	85813
