date	views
2002-08-01	
2002-09-01	
2002-10-01	
2002-11-01	
2002-12-01	
2003-01-01	
2003-02-01	
2003-03-01	
2003-04-01	
2003-05-01	
2003-06-01	
2003-07-01	
2003-08-01	
2003-09-01	
2003-10-01	
2003-11-01	
2003-12-01	
2004-01-01	
2004-02-01	
2004-03-01	
2004-04-01	
2004-05-01	
2004-06-01	
2004-07-01	
2004-08-01	
2004-09-01	
2004-10-01	
2004-11-01	
2004-12-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2005-07-01	
2005-08-01	
2005-09-01	
2005-10-01	
2005-11-01	
2005-12-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2006-07-01	
2006-08-01	
2006-09-01	
2006-10-01	
2006-11-01	
2006-12-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2007-07-01	
2007-08-01	
2007-09-01	
2007-10-01	
2007-11-01	
2007-12-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2008-07-01	
2008-08-01	
2008-09-01	
2008-10-01	
2008-11-01	
2008-12-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2009-07-01	
2009-08-01	
2009-09-01	
2009-10-01	
2009-11-01	
2009-12-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2010-07-01	
2010-08-01	
2010-09-01	
2010-10-01	
2010-11-01	
2010-12-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2011-07-01	
2011-08-01	
2011-09-01	
2011-10-01	
2011-11-01	
2011-12-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2012-07-01	
2012-08-01	
2012-09-01	
2012-10-01	
2012-11-01	
2012-12-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2013-07-01	
2013-08-01	
2013-09-01	
2013-10-01	
2013-11-01	
2013-12-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2014-07-01	
2014-08-01	
2014-09-01	
2014-10-01	
2014-11-01	
2014-12-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2015-07-01	4566
2015-08-01	4498
2015-09-01	3997
2015-10-01	4439
2015-11-01	4138
2015-12-01	4233
2016-01-01	4773
2016-02-01	4954
2016-03-01	5803
2016-04-01	4389
2016-05-01	4147
2016-06-01	4772
2016-07-01	24610
2016-08-01	20074
2016-09-01	5618
2016-10-01	12947
2016-11-01	5093
2016-12-01	5605
2017-01-01	5850
2017-02-01	15493
2017-03-01	7198
2017-04-01	7692
2017-05-01	4855
2017-06-01	8291
2017-07-01	6017
2017-08-01	4908
2017-09-01	4171
2017-10-01	5086
2017-11-01	7749
2017-12-01	4722
2018-01-01	17884
2018-02-01	5741
2018-03-01	7423
2018-04-01	5457
2018-05-01	4624
2018-06-01	4387
2018-07-01	5776
2018-08-01	7219
2018-09-01	4206
2018-10-01	4755
2018-11-01	4072
2018-12-01	4949
2019-01-01	5585
2019-02-01	5795
2019-03-01	24038
2019-04-01	7034
2019-05-01	6726
2019-06-01	5304
2019-07-01	16304
2019-08-01	6900
2019-09-01	4931
2019-10-01	4938
2019-11-01	5719
2019-12-01	5277
2020-01-01	5834
2020-02-01	6510
2020-03-01	5810
2020-04-01	7385
2020-05-01	8088
2020-06-01	7354
2020-07-01	31670
2020-08-01	33109
2020-09-01	11580
2020-10-01	8633
2020-11-01	8679
2020-12-01	7699
2021-01-01	30468
2021-02-01	26004
2021-03-01	13733
2021-04-01	24626
2021-05-01	14082
2021-06-01	9015
2021-07-01	17761
2021-08-01	8333
2021-09-01	8213
2021-10-01	14167
2021-11-01	5850
2021-12-01	13241
2022-01-01	6923
2022-02-01	5885
2022-03-01	7700
2022-04-01	6455
2022-05-01	5138
2022-06-01	4954
2022-07-01	7465
2022-08-01	6457
2022-09-01	5533
2022-10-01	6663
2022-11-01	6072
2022-12-01	5264
2023-01-01	6341
2023-02-01	7266
2023-03-01	8010
2023-04-01	7307
2023-05-01	6080
2023-06-01	6102
2023-07-01	6048
2023-08-01	5679
2023-09-01	5399
2023-10-01	9472
