date	views
2006-05-01	
2006-06-01	
2006-07-01	
2006-08-01	
2006-09-01	
2006-10-01	
2006-11-01	
2006-12-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2007-07-01	
2007-08-01	
2007-09-01	
2007-10-01	
2007-11-01	
2007-12-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2008-07-01	
2008-08-01	
2008-09-01	
2008-10-01	
2008-11-01	
2008-12-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2009-07-01	
2009-08-01	
2009-09-01	
2009-10-01	
2009-11-01	
2009-12-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2010-07-01	
2010-08-01	
2010-09-01	
2010-10-01	
2010-11-01	
2010-12-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2011-07-01	
2011-08-01	
2011-09-01	
2011-10-01	
2011-11-01	
2011-12-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2012-07-01	
2012-08-01	
2012-09-01	
2012-10-01	
2012-11-01	
2012-12-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2013-07-01	
2013-08-01	
2013-09-01	
2013-10-01	
2013-11-01	
2013-12-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2014-07-01	
2014-08-01	
2014-09-01	
2014-10-01	
2014-11-01	
2014-12-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2015-07-01	92
2015-08-01	70
2015-09-01	83
2015-10-01	71
2015-11-01	51
2015-12-01	69
2016-01-01	75
2016-02-01	58
2016-03-01	71
2016-04-01	60
2016-05-01	52
2016-06-01	66
2016-07-01	54
2016-08-01	75
2016-09-01	68
2016-10-01	70
2016-11-01	52
2016-12-01	55
2017-01-01	63
2017-02-01	70
2017-03-01	116
2017-04-01	116
2017-05-01	121
2017-06-01	105
2017-07-01	168
2017-08-01	198
2017-09-01	249
2017-10-01	271
2017-11-01	85
2017-12-01	47
2018-01-01	47
2018-02-01	74
2018-03-01	77
2018-04-01	45
2018-05-01	48
2018-06-01	168
2018-07-01	103
2018-08-01	116
2018-09-01	315
2018-10-01	1344
2018-11-01	736
2018-12-01	455
2019-01-01	775
2019-02-01	1117
2019-03-01	955
2019-04-01	446
2019-05-01	494
2019-06-01	378
2019-07-01	357
2019-08-01	460
2019-09-01	446
2019-10-01	342
2019-11-01	210
2019-12-01	298
2020-01-01	378
2020-02-01	349
2020-03-01	220
2020-04-01	246
2020-05-01	275
2020-06-01	692
2020-07-01	218
2020-08-01	186
2020-09-01	231
2020-10-01	244
2020-11-01	1231
2020-12-01	435
2021-01-01	355
2021-02-01	256
2021-03-01	390
2021-04-01	328
2021-05-01	268
2021-06-01	193
2021-07-01	271
2021-08-01	304
2021-09-01	224
2021-10-01	232
2021-11-01	202
2021-12-01	233
2022-01-01	748
2022-02-01	271
2022-03-01	212
2022-04-01	224
2022-05-01	233
2022-06-01	215
2022-07-01	265
2022-08-01	390
2022-09-01	379
2022-10-01	299
2022-11-01	317
2022-12-01	206
2023-01-01	336
2023-02-01	325
2023-03-01	578
2023-04-01	400
2023-05-01	594
2023-06-01	590
2023-07-01	564
2023-08-01	494
2023-09-01	416
2023-10-01	283
