date	views
2006-10-01	
2006-11-01	
2006-12-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2007-07-01	
2007-08-01	
2007-09-01	
2007-10-01	
2007-11-01	
2007-12-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2008-07-01	
2008-08-01	
2008-09-01	
2008-10-01	
2008-11-01	
2008-12-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2009-07-01	
2009-08-01	
2009-09-01	
2009-10-01	
2009-11-01	
2009-12-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2010-07-01	
2010-08-01	
2010-09-01	
2010-10-01	
2010-11-01	
2010-12-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2011-07-01	
2011-08-01	
2011-09-01	
2011-10-01	
2011-11-01	
2011-12-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2012-07-01	
2012-08-01	
2012-09-01	
2012-10-01	
2012-11-01	
2012-12-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2013-07-01	
2013-08-01	
2013-09-01	
2013-10-01	
2013-11-01	
2013-12-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2014-07-01	
2014-08-01	
2014-09-01	
2014-10-01	
2014-11-01	
2014-12-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2015-07-01	217
2015-08-01	201
2015-09-01	197
2015-10-01	199
2015-11-01	197
2015-12-01	176
2016-01-01	194
2016-02-01	113
2016-03-01	250
2016-04-01	117
2016-05-01	87
2016-06-01	122
2016-07-01	178
2016-08-01	725
2016-09-01	260
2016-10-01	86
2016-11-01	103
2016-12-01	176
2017-01-01	114
2017-02-01	104
2017-03-01	92
2017-04-01	89
2017-05-01	155
2017-06-01	154
2017-07-01	67
2017-08-01	72
2017-09-01	52
2017-10-01	51
2017-11-01	50
2017-12-01	60
2018-01-01	67
2018-02-01	52
2018-03-01	67
2018-04-01	65
2018-05-01	60
2018-06-01	43
2018-07-01	54
2018-08-01	70
2018-09-01	33
2018-10-01	20
2018-11-01	17
2018-12-01	23
2019-01-01	24
2019-02-01	11
2019-03-01	10
2019-04-01	22
2019-05-01	13
2019-06-01	11
2019-07-01	27
2019-08-01	12
2019-09-01	15
2019-10-01	10
2019-11-01	10
2019-12-01	5
2020-01-01	9
2020-02-01	12
2020-03-01	9
2020-04-01	13
2020-05-01	28
2020-06-01	69
2020-07-01	27
2020-08-01	21
2020-09-01	18
2020-10-01	22
2020-11-01	24
2020-12-01	50
2021-01-01	24
2021-02-01	16
2021-03-01	20
2021-04-01	28
2021-05-01	32
2021-06-01	19
2021-07-01	18
2021-08-01	15
2021-09-01	16
2021-10-01	15
2021-11-01	25
2021-12-01	12
2022-01-01	17
2022-02-01	15
2022-03-01	22
2022-04-01	26
2022-05-01	15
2022-06-01	20
2022-07-01	31
2022-08-01	21
2022-09-01	17
2022-10-01	22
2022-11-01	21
2022-12-01	30
2023-01-01	28
2023-02-01	20
2023-03-01	13
2023-04-01	19
2023-05-01	23
2023-06-01	24
2023-07-01	20
2023-08-01	20
2023-09-01	14
2023-10-01	9
