date	views
2004-08-01	
2004-09-01	
2004-10-01	
2004-11-01	
2004-12-01	
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2005-07-01	
2005-08-01	
2005-09-01	
2005-10-01	
2005-11-01	
2005-12-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2006-07-01	
2006-08-01	
2006-09-01	
2006-10-01	
2006-11-01	
2006-12-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2007-07-01	
2007-08-01	
2007-09-01	
2007-10-01	
2007-11-01	
2007-12-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2008-07-01	
2008-08-01	
2008-09-01	
2008-10-01	
2008-11-01	
2008-12-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2009-07-01	
2009-08-01	
2009-09-01	
2009-10-01	
2009-11-01	
2009-12-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2010-07-01	
2010-08-01	
2010-09-01	
2010-10-01	
2010-11-01	
2010-12-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2011-07-01	
2011-08-01	
2011-09-01	
2011-10-01	
2011-11-01	
2011-12-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2012-07-01	
2012-08-01	
2012-09-01	
2012-10-01	
2012-11-01	
2012-12-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2013-07-01	
2013-08-01	
2013-09-01	
2013-10-01	
2013-11-01	
2013-12-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2014-07-01	
2014-08-01	
2014-09-01	
2014-10-01	
2014-11-01	
2014-12-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2015-07-01	51587
2015-08-01	48023
2015-09-01	49993
2015-10-01	119849
2015-11-01	191741
2015-12-01	722968
2016-01-01	273535
2016-02-01	74564
2016-03-01	56851
2016-04-01	58792
2016-05-01	53289
2016-06-01	34910
2016-07-01	34040
2016-08-01	32344
2016-09-01	32558
2016-10-01	84085
2016-11-01	65048
2016-12-01	171826
2017-01-01	121988
2017-02-01	44901
2017-03-01	43553
2017-04-01	52885
2017-05-01	49364
2017-06-01	37342
2017-07-01	37411
2017-08-01	32938
2017-09-01	29508
2017-10-01	39912
2017-11-01	61008
2017-12-01	193031
2018-01-01	88564
2018-02-01	41197
2018-03-01	42985
2018-04-01	35719
2018-05-01	64353
2018-06-01	48506
2018-07-01	43163
2018-08-01	37555
2018-09-01	36882
2018-10-01	50674
2018-11-01	45459
2018-12-01	84310
2019-01-01	50765
2019-02-01	68123
2019-03-01	58177
2019-04-01	50790
2019-05-01	60748
2019-06-01	41684
2019-07-01	41571
2019-08-01	42115
2019-09-01	39398
2019-10-01	42458
2019-11-01	50860
2019-12-01	195887
2020-01-01	82808
2020-02-01	46425
2020-03-01	45357
2020-04-01	48847
2020-05-01	82967
2020-06-01	50450
2020-07-01	39019
2020-08-01	36767
2020-09-01	30343
2020-10-01	25361
2020-11-01	53743
2020-12-01	65066
2021-01-01	48494
2021-02-01	29938
2021-03-01	35023
2021-04-01	32820
2021-05-01	33322
2021-06-01	21629
2021-07-01	22376
2021-08-01	19491
2021-09-01	19680
2021-10-01	26179
2021-11-01	23480
2021-12-01	27736
2022-01-01	29710
2022-02-01	24428
2022-03-01	21868
2022-04-01	23346
2022-05-01	38347
2022-06-01	36886
2022-07-01	31336
2022-08-01	30798
2022-09-01	33715
2022-10-01	30211
2022-11-01	31081
2022-12-01	19550
2023-01-01	28957
2023-02-01	30976
2023-03-01	47199
2023-04-01	35916
2023-05-01	61700
2023-06-01	39337
2023-07-01	36294
2023-08-01	36069
2023-09-01	37914
2023-10-01	23056
