date	views
2005-01-01	
2005-02-01	
2005-03-01	
2005-04-01	
2005-05-01	
2005-06-01	
2005-07-01	
2005-08-01	
2005-09-01	
2005-10-01	
2005-11-01	
2005-12-01	
2006-01-01	
2006-02-01	
2006-03-01	
2006-04-01	
2006-05-01	
2006-06-01	
2006-07-01	
2006-08-01	
2006-09-01	
2006-10-01	
2006-11-01	
2006-12-01	
2007-01-01	
2007-02-01	
2007-03-01	
2007-04-01	
2007-05-01	
2007-06-01	
2007-07-01	
2007-08-01	
2007-09-01	
2007-10-01	
2007-11-01	
2007-12-01	
2008-01-01	
2008-02-01	
2008-03-01	
2008-04-01	
2008-05-01	
2008-06-01	
2008-07-01	
2008-08-01	
2008-09-01	
2008-10-01	
2008-11-01	
2008-12-01	
2009-01-01	
2009-02-01	
2009-03-01	
2009-04-01	
2009-05-01	
2009-06-01	
2009-07-01	
2009-08-01	
2009-09-01	
2009-10-01	
2009-11-01	
2009-12-01	
2010-01-01	
2010-02-01	
2010-03-01	
2010-04-01	
2010-05-01	
2010-06-01	
2010-07-01	
2010-08-01	
2010-09-01	
2010-10-01	
2010-11-01	
2010-12-01	
2011-01-01	
2011-02-01	
2011-03-01	
2011-04-01	
2011-05-01	
2011-06-01	
2011-07-01	
2011-08-01	
2011-09-01	
2011-10-01	
2011-11-01	
2011-12-01	
2012-01-01	
2012-02-01	
2012-03-01	
2012-04-01	
2012-05-01	
2012-06-01	
2012-07-01	
2012-08-01	
2012-09-01	
2012-10-01	
2012-11-01	
2012-12-01	
2013-01-01	
2013-02-01	
2013-03-01	
2013-04-01	
2013-05-01	
2013-06-01	
2013-07-01	
2013-08-01	
2013-09-01	
2013-10-01	
2013-11-01	
2013-12-01	
2014-01-01	
2014-02-01	
2014-03-01	
2014-04-01	
2014-05-01	
2014-06-01	
2014-07-01	
2014-08-01	
2014-09-01	
2014-10-01	
2014-11-01	
2014-12-01	
2015-01-01	
2015-02-01	
2015-03-01	
2015-04-01	
2015-05-01	
2015-06-01	
2015-07-01	20648
2015-08-01	18385
2015-09-01	16491
2015-10-01	18487
2015-11-01	17980
2015-12-01	17709
2016-01-01	22596
2016-02-01	18713
2016-03-01	19334
2016-04-01	14502
2016-05-01	17135
2016-06-01	15431
2016-07-01	16507
2016-08-01	13228
2016-09-01	14760
2016-10-01	17303
2016-11-01	14117
2016-12-01	14469
2017-01-01	15315
2017-02-01	11789
2017-03-01	14556
2017-04-01	15416
2017-05-01	16538
2017-06-01	13051
2017-07-01	11940
2017-08-01	12079
2017-09-01	13501
2017-10-01	10347
2017-11-01	10608
2017-12-01	10159
2018-01-01	12431
2018-02-01	10614
2018-03-01	11457
2018-04-01	10231
2018-05-01	10840
2018-06-01	10756
2018-07-01	12041
2018-08-01	12346
2018-09-01	11753
2018-10-01	7824
2018-11-01	8878
2018-12-01	9609
2019-01-01	10820
2019-02-01	10359
2019-03-01	11013
2019-04-01	11243
2019-05-01	9449
2019-06-01	9085
2019-07-01	10678
2019-08-01	12563
2019-09-01	10358
2019-10-01	15942
2019-11-01	15448
2019-12-01	17018
2020-01-01	16013
2020-02-01	13965
2020-03-01	13543
2020-04-01	30229
2020-05-01	28898
2020-06-01	21287
2020-07-01	23424
2020-08-01	19223
2020-09-01	16486
2020-10-01	16322
2020-11-01	17135
2020-12-01	22573
2021-01-01	18077
2021-02-01	15558
2021-03-01	18331
2021-04-01	13557
2021-05-01	12951
2021-06-01	9881
2021-07-01	9005
2021-08-01	8037
2021-09-01	7438
2021-10-01	10514
2021-11-01	7152
2021-12-01	8405
2022-01-01	13682
2022-02-01	7973
2022-03-01	13854
2022-04-01	10882
2022-05-01	15553
2022-06-01	13800
2022-07-01	30239
2022-08-01	20485
2022-09-01	23211
2022-10-01	18556
2022-11-01	22577
2022-12-01	20518
2023-01-01	25921
2023-02-01	26157
2023-03-01	24654
2023-04-01	20615
2023-05-01	26646
2023-06-01	23267
2023-07-01	24961
2023-08-01	30976
2023-09-01	19440
2023-10-01	14131
