ANO;TITULO;VENCEDOR;LINK_EN;LINK_ES;LINK_PT;PAGEID_EN;TITLE_EN;TITLE_ES;PAGEID_ES;TITLE_PT;PAGEID_PT
1929;The Racket (1928 film);Não;https://en.wikipedia.org/wiki/The_Racket_(1928_film);https://es.wikipedia.org/wiki/La_horda;https://pt.wikipedia.org/wiki/The_Racket_(1928);61047;The Racket (1928 film);La horda;1915008.0;The Racket (1928);5612925
1929;7th Heaven (1927 film);Não;https://en.wikipedia.org/wiki/7th_Heaven_(1927_film);https://es.wikipedia.org/wiki/El_séptimo_cielo_(película);https://pt.wikipedia.org/wiki/7th_Heaven_(1927);61049;7th Heaven (1927 film);El séptimo cielo (película);1062451.0;7th Heaven (1927);1494935
1930;The Broadway Melody;Sim;https://en.wikipedia.org/wiki/The_Broadway_Melody;https://es.wikipedia.org/wiki/Melodías_de_Broadway;https://pt.wikipedia.org/wiki/The_Broadway_Melody;61182;The Broadway Melody;Melodías de Broadway;859219.0;The Broadway Melody;464116
1930;In Old Arizona;Não;https://en.wikipedia.org/wiki/In_Old_Arizona;https://es.wikipedia.org/wiki/En_el_viejo_Arizona;https://pt.wikipedia.org/wiki/In_Old_Arizona;44749;In Old Arizona;En el viejo Arizona;2984709.0;In Old Arizona;4204882
1930;The Hollywood Revue;Não;https://en.wikipedia.org/wiki/The_Hollywood_Revue;https://es.wikipedia.org/wiki/The_Hollywood_Revue_of_1929;https://pt.wikipedia.org/wiki/The_Hollywood_Revue_of_1929;44771;The Hollywood Revue;The Hollywood Revue of 1929;9142320.0;The Hollywood Revue of 1929;1687153
1930;The Patriot (1928 film);Não;https://en.wikipedia.org/wiki/The_Patriot_(1928_film);https://es.wikipedia.org/wiki/El_patriota_(película_de_1928);https://pt.wikipedia.org/wiki/The_Patriot_(filme_de_1928);3384253;The Patriot (1928 film);El patriota (película de 1928);7807650.0;The Patriot (filme de 1928);4210401
1930;Alibi (1929 film);Não;https://en.wikipedia.org/wiki/Alibi_(1929_film);;https://pt.wikipedia.org/wiki/Alibi_(1929);61183;Alibi (1929 film);;;Alibi (1929);4200802
1931;All Quiet on the Western Front (1930 film);Sim;https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film);https://es.wikipedia.org/wiki/Sin_novedad_en_el_frente_(película_de_1930);https://pt.wikipedia.org/wiki/All_Quiet_on_the_Western_Front;4592959;All Quiet on the Western Front (1930 film);Sin novedad en el frente (película de 1930);213723.0;All Quiet on the Western Front;1051133
1931;The Big House (1930 film);Não;https://en.wikipedia.org/wiki/The_Big_House_(1930_film);https://es.wikipedia.org/wiki/El_presidio;https://pt.wikipedia.org/wiki/The_Big_House;61186;The Big House (1930 film);El presidio;8444240.0;The Big House;4219850
1931;Disraeli (1929 film);Não;https://en.wikipedia.org/wiki/Disraeli_(1929_film);https://es.wikipedia.org/wiki/Disraeli_(película);https://pt.wikipedia.org/wiki/Disraeli_(1929);61189;Disraeli (1929 film);Disraeli (película);1041687.0;Disraeli (1929);4222542
