ANO;TITULO;VENCEDOR;LINK_EN;LINK_ES;LINK_PT;PAGEID_EN;TITLE_EN;TITLE_ES;PAGEID_ES;TITLE_PT;PAGEID_PT;FILENAME_PT;FILENAME_ES;FILENAME_EN
1929.0;The Racket (1928 film);Não;https://en.wikipedia.org/wiki/The_Racket_(1928_film);https://es.wikipedia.org/wiki/La_horda;https://pt.wikipedia.org/wiki/The_Racket_(1928);61047.0;The Racket (1928 film);La horda;1915008.0;The Racket (1928);5612925.0;The Racket (1928).txt;La horda.txt;The Racket (1928 film).txt
1929.0;7th Heaven (1927 film);Não;https://en.wikipedia.org/wiki/7th_Heaven_(1927_film);https://es.wikipedia.org/wiki/El_séptimo_cielo_(película);https://pt.wikipedia.org/wiki/7th_Heaven_(1927);61049.0;7th Heaven (1927 film);El séptimo cielo (película);1062451.0;7th Heaven (1927);1494935.0;7th Heaven (1927).txt;El séptimo cielo (película).txt;7th Heaven (1927 film).txt
1930.0;The Broadway Melody;Sim;https://en.wikipedia.org/wiki/The_Broadway_Melody;https://es.wikipedia.org/wiki/Melodías_de_Broadway;https://pt.wikipedia.org/wiki/The_Broadway_Melody;61182.0;The Broadway Melody;Melodías de Broadway;859219.0;The Broadway Melody;464116.0;The Broadway Melody.txt;Melodías de Broadway.txt;The Broadway Melody.txt
1930.0;The Patriot (1928 film);Não;https://en.wikipedia.org/wiki/The_Patriot_(1928_film);https://es.wikipedia.org/wiki/El_patriota_(película_de_1928);https://pt.wikipedia.org/wiki/The_Patriot_(filme_de_1928);3384253.0;The Patriot (1928 film);El patriota (película de 1928);7807650.0;The Patriot (filme de 1928);4210401.0;The Patriot (filme de 1928).txt;El patriota (película de 1928).txt;The Patriot (1928 film).txt
1931.0;All Quiet on the Western Front (1930 film);Sim;https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film);https://es.wikipedia.org/wiki/Sin_novedad_en_el_frente_(película_de_1930);https://pt.wikipedia.org/wiki/All_Quiet_on_the_Western_Front;4592959.0;All Quiet on the Western Front (1930 film);Sin novedad en el frente (película de 1930);213723.0;All Quiet on the Western Front;1051133.0;The Big House.txt;El presidio.txt;The Big House (1930 film).txt
1931.0;The Big House (1930 film);Não;https://en.wikipedia.org/wiki/The_Big_House_(1930_film);https://es.wikipedia.org/wiki/El_presidio;https://pt.wikipedia.org/wiki/The_Big_House;61186.0;The Big House (1930 film);El presidio;8444240.0;The Big House;4219850.0;Disraeli (1929).txt;Disraeli (película).txt;Disraeli (1929 film).txt
1931.0;Disraeli (1929 film);Não;https://en.wikipedia.org/wiki/Disraeli_(1929_film);https://es.wikipedia.org/wiki/Disraeli_(película);https://pt.wikipedia.org/wiki/Disraeli_(1929);61189.0;Disraeli (1929 film);Disraeli (película);1041687.0;Disraeli (1929);4222542.0;A Divorciada.txt;La divorciada.txt;The Divorcee.txt
1931.0;The Divorcee;Não;https://en.wikipedia.org/wiki/The_Divorcee;https://es.wikipedia.org/wiki/La_divorciada;https://pt.wikipedia.org/wiki/A_Divorciada;61191.0;The Divorcee;La divorciada;3671504.0;A Divorciada;603426.0;;;
1932.0;Cimarron (1931 film);Sim;https://en.wikipedia.org/wiki/Cimarron_(1931_film);https://es.wikipedia.org/wiki/Cimarrón_(película_de_1931);https://pt.wikipedia.org/wiki/Cimarron_(1931);2410609.0;Cimarron (1931 film);Cimarrón (película de 1931);216533.0;Cimarron (1931);1162254.0;East Lynne (1931).txt;Vidas truncadas (película).txt;East Lynne (1931 film).txt
1932.0;East Lynne (1931 film);Não;https://en.wikipedia.org/wiki/East_Lynne_(1931_film);https://es.wikipedia.org/wiki/Vidas_truncadas_(película);https://pt.wikipedia.org/wiki/East_Lynne_(1931);30083562.0;East Lynne (1931 film);Vidas truncadas (película);9142393.0;East Lynne (1931);4224753.0;The Front Page (1931).txt;Un gran reportaje.txt;The Front Page (1931 film).txt
1932.0;The Front Page (1931 film);Não;https://en.wikipedia.org/wiki/The_Front_Page_(1931_film);https://es.wikipedia.org/wiki/Un_gran_reportaje;https://pt.wikipedia.org/wiki/The_Front_Page_(1931);6554925.0;The Front Page (1931 film);Un gran reportaje;214042.0;The Front Page (1931);4225861.0;Skippy.txt;Skippy.txt;Skippy (film).txt
1932.0;Skippy (film);Não;https://en.wikipedia.org/wiki/Skippy_(film);https://es.wikipedia.org/wiki/Skippy;https://pt.wikipedia.org/wiki/Skippy;61052.0;Skippy (film);Skippy;3530994.0;Skippy;3163470.0;Trader Horn.txt;Trader Horn.txt;Trader Horn (1931 film).txt
1932.0;Trader Horn (1931 film);Não;https://en.wikipedia.org/wiki/Trader_Horn_(1931_film);https://es.wikipedia.org/wiki/Trader_Horn;https://pt.wikipedia.org/wiki/Trader_Horn;61053.0;Trader Horn (1931 film);Trader Horn;9142411.0;Trader Horn;4236039.0;Grande Hotel (filme).txt;Grand Hotel (película de 1932).txt;Grand Hotel (1932 film).txt
1933.0;Grand Hotel (1932 film);Sim;https://en.wikipedia.org/wiki/Grand_Hotel_(1932_film);https://es.wikipedia.org/wiki/Grand_Hotel_(película_de_1932);https://pt.wikipedia.org/wiki/Grande_Hotel_(filme);44752.0;Grand Hotel (1932 film);Grand Hotel (película de 1932);1787305.0;Grande Hotel (filme);119453.0;Arrowsmith (filme).txt;Arrowsmith (película).txt;Arrowsmith (film).txt
1933.0;Arrowsmith (film);Não;https://en.wikipedia.org/wiki/Arrowsmith_(film);https://es.wikipedia.org/wiki/Arrowsmith_(película);https://pt.wikipedia.org/wiki/Arrowsmith_(filme);378439.0;Arrowsmith (film);Arrowsmith (película);5442021.0;Arrowsmith (filme);1126804.0;;;
1933.0;Five Star Final;Não;https://en.wikipedia.org/wiki/Five_Star_Final;https://es.wikipedia.org/wiki/Sed_de_escándalo_(película_de_1931);https://pt.wikipedia.org/wiki/Five_Star_Final;61059.0;Five Star Final;Sed de escándalo (película de 1931);9142434.0;Five Star Final;4238046.0;Uma Hora Contigo.txt;Una hora contigo.txt;One Hour with You.txt
1933.0;One Hour with You;Não;https://en.wikipedia.org/wiki/One_Hour_with_You;https://es.wikipedia.org/wiki/Una_hora_contigo;https://pt.wikipedia.org/wiki/Uma_Hora_Contigo;61060.0;One Hour with You;Una hora contigo;254314.0;Uma Hora Contigo;3172821.0;O Expresso de Xangai.txt;El expreso de Shanghai.txt;Shanghai Express (film).txt
1933.0;Shanghai Express (film);Não;https://en.wikipedia.org/wiki/Shanghai_Express_(film);https://es.wikipedia.org/wiki/El_expreso_de_Shanghai;https://pt.wikipedia.org/wiki/O_Expresso_de_Xangai;61061.0;Shanghai Express (film);El expreso de Shanghai;8821078.0;O Expresso de Xangai;2055324.0;O Tenente Sedutor.txt;El teniente seductor.txt;The Smiling Lieutenant.txt
1933.0;The Smiling Lieutenant;Não;https://en.wikipedia.org/wiki/The_Smiling_Lieutenant;https://es.wikipedia.org/wiki/El_teniente_seductor;https://pt.wikipedia.org/wiki/O_Tenente_Sedutor;61062.0;The Smiling Lieutenant;El teniente seductor;2986815.0;O Tenente Sedutor;3165412.0;Cavalgada (filme).txt;Cabalgata (película).txt;Cavalcade (1933 film).txt
1934.0;Cavalcade (1933 film);Sim;https://en.wikipedia.org/wiki/Cavalcade_(1933_film);https://es.wikipedia.org/wiki/Cabalgata_(película);https://pt.wikipedia.org/wiki/Cavalgada_(filme);3947300.0;Cavalcade (1933 film);Cabalgata (película);1061913.0;Cavalgada (filme);1633389.0;A Farewell to Arms (1932).txt;Adiós a las armas (película de 1932).txt;A Farewell to Arms (1932 film).txt
1934.0;A Farewell to Arms (1932 film);Não;https://en.wikipedia.org/wiki/A_Farewell_to_Arms_(1932_film);https://es.wikipedia.org/wiki/Adiós_a_las_armas_(película_de_1932);https://pt.wikipedia.org/wiki/A_Farewell_to_Arms_(1932);13654305.0;A Farewell to Arms (1932 film);Adiós a las armas (película de 1932);21379.0;A Farewell to Arms (1932);3167721.0;Rua 42.txt;La calle 42.txt;42nd Street (film).txt
1934.0;42nd Street (film);Não;https://en.wikipedia.org/wiki/42nd_Street_(film);https://es.wikipedia.org/wiki/La_calle_42;https://pt.wikipedia.org/wiki/Rua_42;840058.0;42nd Street (film);La calle 42;1337645.0;Rua 42;2463609.0;I Am a Fugitive from a Chain Gang.txt;Soy un fugitivo.txt;I Am a Fugitive from a Chain Gang.txt
1934.0;I Am a Fugitive from a Chain Gang;Não;https://en.wikipedia.org/wiki/I_Am_a_Fugitive_from_a_Chain_Gang;https://es.wikipedia.org/wiki/Soy_un_fugitivo;https://pt.wikipedia.org/wiki/I_Am_a_Fugitive_from_a_Chain_Gang;61070.0;I Am a Fugitive from a Chain Gang;Soy un fugitivo;298845.0;I Am a Fugitive from a Chain Gang;2808876.0;Lady for a Day.txt;Dama por un día.txt;Lady for a Day.txt
1934.0;Lady for a Day;Não;https://en.wikipedia.org/wiki/Lady_for_a_Day;https://es.wikipedia.org/wiki/Dama_por_un_día;https://pt.wikipedia.org/wiki/Lady_for_a_Day;61071.0;Lady for a Day;Dama por un día;3701393.0;Lady for a Day;2070372.0;As Quatro Irmãs.txt;Little Women (película de 1933).txt;Little Women (1933 film).txt
1934.0;Little Women (1933 film);Não;https://en.wikipedia.org/wiki/Little_Women_(1933_film);https://es.wikipedia.org/wiki/Little_Women_(película_de_1933);https://pt.wikipedia.org/wiki/As_Quatro_Irmãs;2175661.0;Little Women (1933 film);Little Women (película de 1933);255984.0;As Quatro Irmãs;2465009.0;The Private Life of Henry VIII.txt;La vida privada de Enrique VIII.txt;The Private Life of Henry VIII.txt
1934.0;The Private Life of Henry VIII;Não;https://en.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII;https://es.wikipedia.org/wiki/La_vida_privada_de_Enrique_VIII;https://pt.wikipedia.org/wiki/The_Private_Life_of_Henry_VIII;61074.0;The Private Life of Henry VIII;La vida privada de Enrique VIII;2987957.0;The Private Life of Henry VIII;1643278.0;Uma Loira para Três.txt;She Done Him Wrong.txt;She Done Him Wrong.txt
1934.0;She Done Him Wrong;Não;https://en.wikipedia.org/wiki/She_Done_Him_Wrong;https://es.wikipedia.org/wiki/She_Done_Him_Wrong;https://pt.wikipedia.org/wiki/Uma_Loira_para_Três;60155.0;She Done Him Wrong;She Done Him Wrong;9892535.0;Uma Loira para Três;3182494.0;;;
1935.0;It Happened One Night;Sim;https://en.wikipedia.org/wiki/It_Happened_One_Night;https://es.wikipedia.org/wiki/It_Happened_One_Night;https://pt.wikipedia.org/wiki/It_Happened_One_Night;44696.0;It Happened One Night;It Happened One Night;27214.0;It Happened One Night;528483.0;The Barretts of Wimpole Street.txt;The Barretts of Wimpole Street.txt;The Barretts of Wimpole Street (1934 film).txt
1935.0;The Barretts of Wimpole Street (1934 film);Não;https://en.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street_(1934_film);https://es.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street;https://pt.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street;61160.0;The Barretts of Wimpole Street (1934 film);The Barretts of Wimpole Street;9419054.0;The Barretts of Wimpole Street;4243072.0;;;
1935.0;Flirtation Walk;Não;https://en.wikipedia.org/wiki/Flirtation_Walk;https://es.wikipedia.org/wiki/Flirtation_Walk;https://pt.wikipedia.org/wiki/Flirtation_Walk;61168.0;Flirtation Walk;Flirtation Walk;9160921.0;Flirtation Walk;4243668.0;;;
1935.0;Imitation of Life;Não;https://en.wikipedia.org/wiki/Imitation_of_Life_(1934_film);https://es.wikipedia.org/wiki/Imitación_de_la_vida;https://pt.wikipedia.org/wiki/Imitation_of_Life_(1934);4731866.0;Imitation of Life (1934 film);Imitación de la vida;9871542.0;Imitation of Life (1934);4247078.0;Viva Villa!.txt;Viva Villa!.txt;Viva Villa!.txt
1935.0;One Night of Love;Não;https://en.wikipedia.org/wiki/One_Night_of_Love;https://es.wikipedia.org/wiki/Una_noche_de_amor;https://pt.wikipedia.org/wiki/One_Night_of_Love;61173.0;One Night of Love;Una noche de amor;4272446.0;One Night of Love;4248250.0;Mutiny on the Bounty (1935).txt;Mutiny on the Bounty (película de 1935).txt;Mutiny on the Bounty (1935 film).txt
1935.0;Viva Villa!;Não;https://en.wikipedia.org/wiki/Viva_Villa!;https://es.wikipedia.org/wiki/Viva_Villa!;https://pt.wikipedia.org/wiki/Viva_Villa!;61176.0;Viva Villa!;Viva Villa!;9160906.0;Viva Villa!;4251435.0;O Capitão Blood.txt;El capitán Blood (película de 1935).txt;Captain Blood (1935 film).txt
1936.0;Mutiny on the Bounty (1935 film);Sim;https://en.wikipedia.org/wiki/Mutiny_on_the_Bounty_(1935_film);https://es.wikipedia.org/wiki/Mutiny_on_the_Bounty_(película_de_1935);https://pt.wikipedia.org/wiki/Mutiny_on_the_Bounty_(1935);3992212.0;Mutiny on the Bounty (1935 film);Mutiny on the Bounty (película de 1935);28161.0;Mutiny on the Bounty (1935);639445.0;Alice Adams.txt;Alice Adams.txt;Alice Adams (1935 film).txt
1936.0;Broadway Melody of 1936;Não;https://en.wikipedia.org/wiki/Broadway_Melody_of_1936;https://es.wikipedia.org/wiki/Broadway_Melody_of_1936;https://pt.wikipedia.org/wiki/Broadway_Melody_of_1936;61480.0;Broadway Melody of 1936;Broadway Melody of 1936;9419067.0;Broadway Melody of 1936;2484676.0;;;
1936.0;Captain Blood (1935 film);Não;https://en.wikipedia.org/wiki/Captain_Blood_(1935_film);https://es.wikipedia.org/wiki/El_capitán_Blood_(película_de_1935);https://pt.wikipedia.org/wiki/O_Capitão_Blood;61481.0;Captain Blood (1935 film);El capitán Blood (película de 1935);2638723.0;O Capitão Blood;2277970.0;Lanceiros da Índia.txt;The Lives of a Bengal Lancer.txt;The Lives of a Bengal Lancer (film).txt
1936.0;David Copperfield (1935 film);Não;https://en.wikipedia.org/wiki/David_Copperfield_(1935_film);https://es.wikipedia.org/wiki/David_Copperfield_(película_de_1935);https://pt.wikipedia.org/wiki/David_Copperfield_(1935);61498.0;David Copperfield (1935 film);David Copperfield (película de 1935);258334.0;David Copperfield (1935);1643152.0;Naughty Marietta.txt;Naughty Marietta.txt;Naughty Marietta (film).txt
1936.0;Alice Adams (1935 film);Não;https://en.wikipedia.org/wiki/Alice_Adams_(1935_film);https://es.wikipedia.org/wiki/Alice_Adams;https://pt.wikipedia.org/wiki/Alice_Adams;7301880.0;Alice Adams (1935 film);Alice Adams;8173247.0;Alice Adams;1051104.0;Top Hat.txt;Sombrero de copa (película).txt;Top Hat.txt
1936.0;The Lives of a Bengal Lancer (film);Não;https://en.wikipedia.org/wiki/The_Lives_of_a_Bengal_Lancer_(film);https://es.wikipedia.org/wiki/The_Lives_of_a_Bengal_Lancer;https://pt.wikipedia.org/wiki/Lanceiros_da_Índia;61484.0;The Lives of a Bengal Lancer (film);The Lives of a Bengal Lancer;229799.0;Lanceiros da Índia;1272722.0;Adversidade.txt;Anthony Adverse.txt;Anthony Adverse.txt
1936.0;Naughty Marietta (film);Não;https://en.wikipedia.org/wiki/Naughty_Marietta_(film);https://es.wikipedia.org/wiki/Naughty_Marietta;https://pt.wikipedia.org/wiki/Naughty_Marietta;61494.0;Naughty Marietta (film);Naughty Marietta;9419085.0;Naughty Marietta;4253438.0;Libeled Lady.txt;Libeled Lady.txt;Libeled Lady.txt
1936.0;Top Hat;Não;https://en.wikipedia.org/wiki/Top_Hat;https://es.wikipedia.org/wiki/Sombrero_de_copa_(película);https://pt.wikipedia.org/wiki/Top_Hat;61501.0;Top Hat;Sombrero de copa (película);1067542.0;Top Hat;719323.0;Mr. Deeds Goes to Town.txt;El secreto de vivir.txt;Mr. Deeds Goes to Town.txt
1937.0;The Great Ziegfeld;Sim;https://en.wikipedia.org/wiki/The_Great_Ziegfeld;https://es.wikipedia.org/wiki/El_gran_Ziegfeld;https://pt.wikipedia.org/wiki/The_Great_Ziegfeld;44437.0;The Great Ziegfeld;El gran Ziegfeld;2989727.0;The Great Ziegfeld;603488.0;;;
1937.0;Anthony Adverse;Não;https://en.wikipedia.org/wiki/Anthony_Adverse;https://es.wikipedia.org/wiki/Anthony_Adverse;https://pt.wikipedia.org/wiki/Adversidade;61505.0;Anthony Adverse;Anthony Adverse;8445472.0;Adversidade;1122609.0;;;
1937.0;Libeled Lady;Não;https://en.wikipedia.org/wiki/Libeled_Lady;https://es.wikipedia.org/wiki/Libeled_Lady;https://pt.wikipedia.org/wiki/Libeled_Lady;61507.0;Libeled Lady;Libeled Lady;9329463.0;Libeled Lady;2497919.0;The Life of Emile Zola.txt;The Life of Emile Zola.txt;The Life of Emile Zola.txt
1937.0;Dodsworth (film);Não;https://en.wikipedia.org/wiki/Dodsworth_(film);https://es.wikipedia.org/wiki/Dodsworth;https://pt.wikipedia.org/wiki/Dodsworth;14576560.0;Dodsworth (film);Dodsworth;10694633.0;Dodsworth;4257392.0;The Awful Truth.txt;The Awful Truth.txt;The Awful Truth.txt
1937.0;Mr. Deeds Goes to Town;Não;https://en.wikipedia.org/wiki/Mr._Deeds_Goes_to_Town;https://es.wikipedia.org/wiki/El_secreto_de_vivir;https://pt.wikipedia.org/wiki/Mr._Deeds_Goes_to_Town;61508.0;Mr. Deeds Goes to Town;El secreto de vivir;3703833.0;Mr. Deeds Goes to Town;2315263.0;Captains Courageous.txt;Capitanes intrépidos.txt;Captains Courageous (1937 film).txt
1938.0;The Life of Emile Zola;Sim;https://en.wikipedia.org/wiki/The_Life_of_Emile_Zola;https://es.wikipedia.org/wiki/The_Life_of_Emile_Zola;https://pt.wikipedia.org/wiki/The_Life_of_Emile_Zola;44210.0;The Life of Emile Zola;The Life of Emile Zola;3497219.0;The Life of Emile Zola;1588474.0;;;
1938.0;The Awful Truth;Não;https://en.wikipedia.org/wiki/The_Awful_Truth;https://es.wikipedia.org/wiki/The_Awful_Truth;https://pt.wikipedia.org/wiki/The_Awful_Truth;61522.0;The Awful Truth;The Awful Truth;28617.0;The Awful Truth;1132336.0;Stage Door.txt;Damas del teatro.txt;Stage Door.txt
1938.0;Captains Courageous (1937 film);Não;https://en.wikipedia.org/wiki/Captains_Courageous_(1937_film);https://es.wikipedia.org/wiki/Capitanes_intrépidos;https://pt.wikipedia.org/wiki/Captains_Courageous;4015188.0;Captains Courageous (1937 film);Capitanes intrépidos;1053754.0;Captains Courageous;2114796.0;A Star Is Born (1937).txt;A Star Is Born (película de 1937).txt;A Star Is Born (1937 film).txt
1938.0;Dead End (1937 film);Não;https://en.wikipedia.org/wiki/Dead_End_(1937_film);https://es.wikipedia.org/wiki/Calle_sin_salida_(película_de_1937);https://pt.wikipedia.org/wiki/Dead_End;61525.0;Dead End (1937 film);Calle sin salida (película de 1937);10299887.0;Dead End;1668882.0;The Adventures of Robin Hood.txt;The Adventures of Robin Hood.txt;The Adventures of Robin Hood.txt
1938.0;The Good Earth (film);Não;https://en.wikipedia.org/wiki/The_Good_Earth_(film);https://es.wikipedia.org/wiki/La_buena_tierra_(película_de_1937);https://pt.wikipedia.org/wiki/The_Good_Earth;60157.0;The Good Earth (film);La buena tierra (película de 1937);9142461.0;The Good Earth;2154985.0;Boys Town (filme).txt;Forja de hombres.txt;Boys Town (film).txt
1938.0;In Old Chicago;Não;https://en.wikipedia.org/wiki/In_Old_Chicago;https://es.wikipedia.org/wiki/In_Old_Chicago;https://pt.wikipedia.org/wiki/In_Old_Chicago;61527.0;In Old Chicago;In Old Chicago;8449254.0;In Old Chicago;1304989.0;;;
1938.0;Lost Horizon (1937 film);Não;https://en.wikipedia.org/wiki/Lost_Horizon_(1937_film);https://es.wikipedia.org/wiki/Horizontes_perdidos_(película_de_1937);https://pt.wikipedia.org/wiki/Horizonte_Perdido_(1937);61529.0;Lost Horizon (1937 film);Horizontes perdidos (película de 1937);1157679.0;Horizonte Perdido (1937);510181.0;A Grande Ilusão (1937).txt;La gran ilusión.txt;La Grande Illusion.txt
1938.0;Stage Door;Não;https://en.wikipedia.org/wiki/Stage_Door;https://es.wikipedia.org/wiki/Damas_del_teatro;https://pt.wikipedia.org/wiki/Stage_Door;61531.0;Stage Door;Damas del teatro;2994874.0;Stage Door;2469032.0;Asas (filme).txt;Alas (película).txt;Wings (1927 film).txt
1938.0;A Star Is Born (1937 film);Não;https://en.wikipedia.org/wiki/A_Star_Is_Born_(1937_film);https://es.wikipedia.org/wiki/A_Star_Is_Born_(película_de_1937);https://pt.wikipedia.org/wiki/A_Star_Is_Born_(1937);3450569.0;A Star Is Born (1937 film);A Star Is Born (película de 1937);255844.0;A Star Is Born (1937);2317982.0;;;
1939.0;The Adventures of Robin Hood;Não;https://en.wikipedia.org/wiki/The_Adventures_of_Robin_Hood;https://es.wikipedia.org/wiki/The_Adventures_of_Robin_Hood;https://pt.wikipedia.org/wiki/The_Adventures_of_Robin_Hood;62084.0;The Adventures of Robin Hood;The Adventures of Robin Hood;28317.0;The Adventures of Robin Hood;627075.0;;;
1939.0;Boys Town (film);Não;https://en.wikipedia.org/wiki/Boys_Town_(film);https://es.wikipedia.org/wiki/Forja_de_hombres;https://pt.wikipedia.org/wiki/Boys_Town_(filme);740989.0;Boys Town (film);Forja de hombres;28265.0;Boys Town (filme);4271531.0;You Can't Take It with You.txt;You Can't Take It With You.txt;You Can't Take It with You (film).txt
1939.0;La Grande Illusion;Não;https://en.wikipedia.org/wiki/La_Grande_Illusion;https://es.wikipedia.org/wiki/La_gran_ilusión;https://pt.wikipedia.org/wiki/A_Grande_Ilusão_(1937);62097.0;La Grande Illusion;La gran ilusión;362548.0;A Grande Ilusão (1937);2077385.0;Pygmalion.txt;Pigmalión (película).txt;Pygmalion (1938 film).txt
2023.0;Women Talking (film);Não;https://en.wikipedia.org/wiki/Women_Talking_(film);https://es.wikipedia.org/wiki/Ellas_hablan;https://pt.wikipedia.org/wiki/Women_Talking;67180462.0;Women Talking (film);Ellas hablan;10400044.0;Women Talking;6957777.0;Test Pilot.txt;Piloto de pruebas (película de 1938).txt;Test Pilot (film).txt
1929.0;Wings (1927 film);Sim;https://en.wikipedia.org/wiki/Wings_(1927_film);https://es.wikipedia.org/wiki/Alas_(película);https://pt.wikipedia.org/wiki/Asas_(filme);61046.0;Wings (1927 film);Alas (película);222723.0;Asas (filme);369538.0;Gone with the Wind.txt;Lo que el viento se llevó (película).txt;Gone with the Wind (film).txt
1939.0;You Can't Take It with You (film);Sim;https://en.wikipedia.org/wiki/You_Can't_Take_It_with_You_(film);https://es.wikipedia.org/wiki/You_Can't_Take_It_With_You;https://pt.wikipedia.org/wiki/You_Can't_Take_It_with_You;18388326.0;You Can't Take It with You (film);You Can't Take It With You;1053698.0;You Can't Take It with You;527421.0;Ninotchka.txt;Ninotchka.txt;Ninotchka.txt
1939.0;Jezebel (1938 film);Não;https://en.wikipedia.org/wiki/Jezebel_(1938_film);https://es.wikipedia.org/wiki/Jezabel_(película_de_1938);https://pt.wikipedia.org/wiki/Jezebel;1396988.0;Jezebel (1938 film);Jezabel (película de 1938);28521.0;Jezebel;1509904.0;Stagecoach (1939).txt;La diligencia.txt;Stagecoach (1939 film).txt
1939.0;Pygmalion (1938 film);Não;https://en.wikipedia.org/wiki/Pygmalion_(1938_film);https://es.wikipedia.org/wiki/Pigmalión_(película);https://pt.wikipedia.org/wiki/Pygmalion;5015052.0;Pygmalion (1938 film);Pigmalión (película);294227.0;Pygmalion;1152150.0;The Wizard of Oz (1939).txt;El mago de Oz.txt;The Wizard of Oz.txt
1939.0;Test Pilot (film);Não;https://en.wikipedia.org/wiki/Test_Pilot_(film);https://es.wikipedia.org/wiki/Piloto_de_pruebas_(película_de_1938);https://pt.wikipedia.org/wiki/Test_Pilot;62110.0;Test Pilot (film);Piloto de pruebas (película de 1938);2994894.0;Test Pilot;4273233.0;Wuthering Heights (filme de 1939).txt;Cumbres Borrascosas (película de 1939).txt;Wuthering Heights (1939 film).txt
1940.0;Gone with the Wind (film);Sim;https://en.wikipedia.org/wiki/Gone_with_the_Wind_(film);https://es.wikipedia.org/wiki/Lo_que_el_viento_se_llevó_(película);https://pt.wikipedia.org/wiki/Gone_with_the_Wind;2804704.0;Gone with the Wind (film);Lo que el viento se llevó (película);132749.0;Gone with the Wind;203853.0;Rebecca (1940).txt;Rebecca (película).txt;Rebecca (1940 film).txt
1940.0;Dark Victory;Não;https://en.wikipedia.org/wiki/Dark_Victory;https://es.wikipedia.org/wiki/Amarga_victoria;https://pt.wikipedia.org/wiki/Dark_Victory;62111.0;Dark Victory;Amarga victoria;1798514.0;Dark Victory;2662903.0;All This, and Heaven Too.txt;El cielo y tú.txt;All This, and Heaven Too.txt
