,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
0,"Thousands of years ago, five African tribes war over a meteorite containing the metal vibranium. One warrior ingests a ""heart-shaped herb"" affected by the metal and gains superhuman abilities, becoming the first ""Black Panther"". He unites all but the Jabari Tribe to form the nation of Wakanda. Over centuries, the Wakandans use vibranium to develop advanced technologies and isolate themselves from the world by posing as an underdeveloped country. In 1992, Wakanda king T'Chaka visits his brother N'Jobu, who is working undercover in Oakland, California. T'Chaka accuses N'Jobu of assisting black-market arms dealer Ulysses Klaue with stealing vibranium from Wakanda. N'Jobu's partner reveals he is Zuri, another undercover Wakandan, and confirms T'Chaka's suspicions.",1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']","In the film, Herbert Marshall appears as W. Somerset Maugham, the story's narrator and an important character who drifts in and out of the lives of the other major players. The opening scene is at a party in the summer of 1919 at a Chicago country club. Elliott Templeton, an expatriate who has been living in France, has returned to the United States to visit his sister, Louisa Bradley, and his niece, Isabel. Isabel is engaged to marry Larry Darrell, recently returned from service as a pilot during the Great War. Elliott disapproves of Larry because he has no money and no interest in getting a job with a future so he can support Isabel properly. Among the party guests are Larry's childhood friend Sophie Nelson and her boyfriend, Bob MacDonald.",jones - van - ace - homer - german - paul - stevens - valjean - darlington - charley,0.7241044661787736,False
1,"In 1943, a contingent of British prisoners of war, led by Colonel Nicholson, arrive at a Japanese prison camp in Thailand. U.S. Navy Commander Shears tells Nicholson that the camp conditions are horrific. Nicholson forbids any escape attempts because headquarters ordered them to surrender. Also, the dense surrounding jungle renders escape virtually impossible.",-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']","In 180 AD, Roman general Maximus Decimus Meridius intends to return home after he leads the Roman army to victory against Germanic tribes near Vindobona. Emperor Marcus Aurelius tells Maximus that his own son, Commodus, is unfit to rule and that he wishes Maximus to succeed him, as regent, to restore the Roman Republic. Angered by this decision, Commodus secretly murders his father.",judah - maximus - marcellus - heathcliff - crew - shelby - roman - nero - governor - demetrius,0.43488274629737855,False
2,"London-based journalist Martin Sixsmith has lost his job as a government adviser. He is approached at a party by the daughter of Philomena Lee. She suggests that he write a story about her mother, who was forced to give up her toddler son Anthony nearly fifty years ago. Though Sixsmith is initially reluctant to write a human interest story, he meets Philomena and decides to investigate her case.",0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']","The story revolves around the life of Celie Harris in early 20th-century rural Hartwell, Georgia. Harris is a teenage African-American girl who is brutally raped and abused by her father. She secretly gives birth to two of his children. After the births, the father quickly takes them from Celie and gives them away. Celie shares a strong bond with her youngest sister Nettie as they play and learn the alphabet together. ",lucy - higgins - eliza - scarlett - henry - shakespeare - turing - irving - juror - family,1.0,False
3,"In the year 1787, the Bounty sets sail from Britain for Tahiti under the command of Captain William Bligh (Trevor Howard). His mission is to collect a shipload of breadfruit saplings and transport them to Jamaica. The government hopes the plants will thrive and provide a cheap source of food for the slaves.",-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']","In 180 AD, Roman general Maximus Decimus Meridius intends to return home after he leads the Roman army to victory against Germanic tribes near Vindobona. Emperor Marcus Aurelius tells Maximus that his own son, Commodus, is unfit to rule and that he wishes Maximus to succeed him, as regent, to restore the Roman Republic. Angered by this decision, Commodus secretly murders his father.",judah - maximus - marcellus - heathcliff - crew - shelby - roman - nero - governor - demetrius,0.3559956144433468,False
4,"Karen Blixen recalls living in Africa, where she moved in 1913 as a wealthy Dane, about to marry.",0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']","The story revolves around the life of Celie Harris in early 20th-century rural Hartwell, Georgia. Harris is a teenage African-American girl who is brutally raped and abused by her father. She secretly gives birth to two of his children. After the births, the father quickly takes them from Celie and gives them away. Celie shares a strong bond with her youngest sister Nettie as they play and learn the alphabet together. ",lucy - higgins - eliza - scarlett - henry - shakespeare - turing - irving - juror - family,0.2705335781832892,False
5,The film interweaves events some time after The Godfather and the early life of Vito Corleone.,2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']","In 1945, the New York City Corleone family don, Vito Corleone, listens to requests during his daughter Connie's wedding to Carlo Rizzi. Vito's youngest son Michael, a Marine who has thus far stayed out of the family business, introduces his girlfriend, Kay Adams, to his family at the reception. Johnny Fontane, a popular singer and Vito's godson, seeks Vito's help in securing a movie role. Vito sends his consigliere, Tom Hagen, to persuade studio president Jack Woltz to offer Johnny the part. Woltz refuses Hagen's request at first, but soon complies after finding the severed head of his prized stud horse in his bed.",michael - vito - sheeran - hoffa - maría - tony - family - laszlo - bernardo - gangs,1.0,True
6,"A traveler named Lockwood is caught in the snow and stays at the estate of Wuthering Heights, despite the cold behavior of his host Heathcliff. Late that night, after being shown into an upstairs room that was once a bridal chamber, Lockwood is awakened by a cold draft and finds the window shutter flapping back and forth. Just as he is about to close it, he feels an icy hand clutching his and hears a woman outside calling, ""Heathcliff, let me in! I'm lost in the moors. It's Cathy!"" Lockwood calls Heathcliff and tells him what he saw, whereupon the enraged Heathcliff throws him out of the room. Once Lockwood is gone, Heathcliff frantically calls out to Cathy and runs down the stairs and into the snowstorm. Ellen, the housekeeper, tells the amazed Lockwood that he has seen the ghost of Cathy Earnshaw, Heathcliff's only great love, who died years ago. When Lockwood says that he doesn't believe in ghosts, Ellen tells him that he might if she told him the story of Cathy, and he asks her to do so, intrigued.",-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']","In 180 AD, Roman general Maximus Decimus Meridius intends to return home after he leads the Roman army to victory against Germanic tribes near Vindobona. Emperor Marcus Aurelius tells Maximus that his own son, Commodus, is unfit to rule and that he wishes Maximus to succeed him, as regent, to restore the Roman Republic. Angered by this decision, Commodus secretly murders his father.",judah - maximus - marcellus - heathcliff - crew - shelby - roman - nero - governor - demetrius,0.3127571712460777,False
7,Mexico storyline,2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']","In 1945, the New York City Corleone family don, Vito Corleone, listens to requests during his daughter Connie's wedding to Carlo Rizzi. Vito's youngest son Michael, a Marine who has thus far stayed out of the family business, introduces his girlfriend, Kay Adams, to his family at the reception. Johnny Fontane, a popular singer and Vito's godson, seeks Vito's help in securing a movie role. Vito sends his consigliere, Tom Hagen, to persuade studio president Jack Woltz to offer Johnny the part. Woltz refuses Hagen's request at first, but soon complies after finding the severed head of his prized stud horse in his bed.",michael - vito - sheeran - hoffa - maría - tony - family - laszlo - bernardo - gangs,1.0,True
8,"During the Spanish Civil War, an American language teacher, Robert Jordan, who lived in Spain during the pre-war period, fights in the International Brigades against Francisco Franco's forces. An experienced dynamiter, Jordan is ordered to travel behind enemy lines and destroy a critical bridge with the aid of a band of local anti-fascist guerrillas. The bridge must be blown up to prevent enemy troops from traveling across it to respond to an upcoming offensive against the fascists.",2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']","In 1945, the New York City Corleone family don, Vito Corleone, listens to requests during his daughter Connie's wedding to Carlo Rizzi. Vito's youngest son Michael, a Marine who has thus far stayed out of the family business, introduces his girlfriend, Kay Adams, to his family at the reception. Johnny Fontane, a popular singer and Vito's godson, seeks Vito's help in securing a movie role. Vito sends his consigliere, Tom Hagen, to persuade studio president Jack Woltz to offer Johnny the part. Woltz refuses Hagen's request at first, but soon complies after finding the severed head of his prized stud horse in his bed.",michael - vito - sheeran - hoffa - maría - tony - family - laszlo - bernardo - gangs,1.0,False
9,"In 1947, Portland, Maine banker Andy Dufresne arrives at Shawshank State Prison to serve two consecutive life sentences for murdering his wife and her lover. He is befriended by Ellis ""Red"" Redding, a contraband smuggler serving a life sentence, who procures a rock hammer and a large poster of Rita Hayworth for Andy. Assigned to work in the prison laundry, Andy is frequently raped by ""the Sisters"" prison gang and their leader, Bogs Diamond. ",0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']","The story revolves around the life of Celie Harris in early 20th-century rural Hartwell, Georgia. Harris is a teenage African-American girl who is brutally raped and abused by her father. She secretly gives birth to two of his children. After the births, the father quickly takes them from Celie and gives them away. Celie shares a strong bond with her youngest sister Nettie as they play and learn the alphabet together. ",lucy - higgins - eliza - scarlett - henry - shakespeare - turing - irving - juror - family,0.2953879575772107,False
