,N,J,V
Peyton Place (film).txt,0.13649851632047477,0.03115727002967359,0.09643916913946587
The Good Earth (film).txt,0.18863636363636363,0.03636363636363636,0.15
Crossfire (film).txt,0.09415121255349501,0.017118402282453638,0.09843081312410841
Black Panther (film).txt,0.1184407796101949,0.01649175412293853,0.08395802098950525
The Favourite.txt,0.16142557651991615,0.029350104821802937,0.15723270440251572
Barry Lyndon.txt,0.13506493506493505,0.02077922077922078,0.06753246753246753
Heaven Can Wait (1978 film).txt,0.1260647359454855,0.03747870528109029,0.10051107325383304
Extremely Loud & Incredibly Close (film).txt,0.10841654778887304,0.02710413694721826,0.09415121255349501
Boys Town (film).txt,0.1371527777777778,0.026041666666666668,0.1076388888888889
Dunkirk (2017 film).txt,0.1337386018237082,0.022796352583586626,0.1033434650455927
"Three Billboards Outside Ebbing, Missouri.txt",0.10984308131241084,0.02710413694721826,0.09843081312410841
The Bridge on the River Kwai.txt,0.1651031894934334,0.039399624765478425,0.11069418386491557
America America.txt,0.0811764705882353,0.03764705882352941,0.0611764705882353
Philomena (film).txt,0.1253731343283582,0.023880597014925373,0.09104477611940298
Mutiny on the Bounty (1962 film).txt,0.1507537688442211,0.031825795644891124,0.09045226130653267
Hacksaw Ridge.txt,0.14791987673343607,0.02773497688751926,0.1016949152542373
Crash (2004 film).txt,0.11602209944751381,0.019889502762430938,0.07292817679558011
Nicholas and Alexandra.txt,0.16666666666666666,0.04326923076923077,0.09455128205128205
Jerry Maguire.txt,0.11543450064850844,0.03501945525291829,0.07782101167315175
Bugsy.txt,0.17889087656529518,0.026833631484794274,0.10554561717352415
Five Star Final.txt,0.13657770800627944,0.02511773940345369,0.10832025117739404
The Accidental Tourist (film).txt,0.09571428571428571,0.03,0.09857142857142857
The Towering Inferno.txt,0.1326676176890157,0.024251069900142655,0.07988587731811697
In Old Chicago.txt,0.12012987012987013,0.024350649350649352,0.10876623376623376
Mr. Smith Goes to Washington.txt,0.1251908396946565,0.042748091603053436,0.08854961832061069
Midnight Cowboy.txt,0.10906515580736544,0.03824362606232295,0.09915014164305949
Marty (film).txt,0.13675213675213677,0.05128205128205128,0.13247863247863248
Out of Africa (film).txt,0.10686015831134564,0.029023746701846966,0.08970976253298153
The Godfather Part II.txt,0.0705596107055961,0.008921330089213302,0.047850770478507706
Wuthering Heights (1939 film).txt,0.08151382823871907,0.021834061135371178,0.08733624454148471
The Broadway Melody.txt,0.09840810419681621,0.024602026049204053,0.08972503617945007
Spotlight (film).txt,0.13946117274167988,0.02694136291600634,0.10618066561014262
Field of Dreams.txt,0.0942350332594235,0.017738359201773836,0.08425720620842572
Witness (1985 film).txt,0.10903873744619799,0.021520803443328552,0.10329985652797705
Seabiscuit (film).txt,0.17223198594024605,0.0492091388400703,0.08611599297012303
Kramer vs. Kramer.txt,0.10919540229885058,0.02586206896551724,0.09626436781609195
