;Damaging and destroying;Fixing and mending;Suitability;Suitable;Caution;Chance, luck;Lucky;Generally kinds, groups, examples;"Particular/general; detail";Detailed;General;Evaluation: Good/bad;"Getting and giving; possession";Getting and possession;Giving;"Open/closed; Hiding/Hidden; Finding; Showing";"Open; Finding; Showing";"Closed; Hiding/Hidden";Safety/Danger;Safe;Danger;Anatomy and physiology;Health and disease;Healthy;Disease;Medicines and medical treatment;Without medical treatment;Cleaning and personal care;Clean;Dirty;Clothes and personal belongings;Arts and crafts;Emotional Actions, States And Processes General;Emotional;Calm/Violent/Angry;Calm;Violent/Angry;Happiness and Contentment;Happy/sad;Happy;Sad;Contentment;Content;Discontent;Bravery and Fear;Bravery;Fear/shock;Worry and confidence;Confident;Worry;Food;Abundance of food;Lack of food;Drinks and alcohol;Excessive drinking;Smoking and non-medical drugs;Smoking and drugs abuse;Non-smoking / no use of drugs;Farming & Horticulture;Government and Politics;Government;Politics;Crime, law and order;Law and order;Lawful;Crime;General ethics;Ethical;Unethical;"Warfare, defence and the army; weapons";Anti-war;Architecture, houses and buildings;Parts of buildings;Areas around or near houses;Residence;Furniture and household fittings;Money generally;Money: Cost and price;Business;Non-commercial;Work and employment;Work and employment: Professionalism;Professional;Industry;Entertainment generally;Music and related activities;Drama, the theatre and show business;Sports and games generally;Sports;Games;Children’s games and toys;Life and living things;Dead;Living creatures: animals, birds, etc.;No living creatures;Plants;Moving, coming and going;Putting, pulling, pushing, transporting;Vehicles and transport on land;Sailing, swimming, etc.;Flying and aircraft;Places;General appearance and physical properties;Judgement of appearance;Judgement of appearance: Beautiful;Judgement of appearance: Ugly;Education in general;"Linguistic Actions, States And Processes; Communication";Paper documents and writing;Telecommunications;The Media;The Media: Books;The Media: Newspapers etc.;The Media: TV, Radio and Cinema;Personality traits;Approachability and Friendliness;Informal/Friendly;Formal/Unfriendly;Avarice;Greedy;Generous;Egoism;Selfish;Politeness;Polite;"Toughness; strong/weak";Tough/strong;Weak;Common sense;Sensible;Foolish;People;People: Female;Not feminine;People: Male;Relationship;Relationship: Intimacy and sex;Relationship: Sexual;Relationship: Asexual;Kin;Groups and affiliation;Belonging to a group;Not part of a group;Obligation and necessity;Power relationship;Power, organizing;In power;Respect;Respected;Competition;Permission;Allowed;Helping/hindering;Helping;Hindering;Religion and the supernatural;Non-religious;The universe;Light;Darkness;Geographical terms;Weather;Green issues;Psychological Actions, States And Processes;Mental actions and processes;Thought, belief;Knowledge;Knowledgeable;Learn;Investigate, examine, test, search;Understand;Expect;Sensory;Interest/boredom/excited/energetic;"Wanting; planning; choosing";Ability and intelligence;Success and failure;Success;Failure;Science and technology in general;Anti-scientific;Information technology and computing;Low-tech;Geographical names
Peyton Place (film).txt;0.020050125313283207;0.0;0.0;0.0;0.0;0.0;0.0;0.020050125313283207;0.0;0.0;0.0;0.002506265664160401;0.0;0.06015037593984962;0.042606516290726815;0.0;0.0;0.0;0.0;0.0;0.0;0.010025062656641603;0.0;0.0;0.010025062656641603;0.005012531328320802;0.0;0.0;0.0;0.0;0.017543859649122806;0.005012531328320802;0.015037593984962405;0.0;0.0;0.005012531328320802;0.06265664160401002;0.0;0.0;0.0;0.005012531328320802;0.0;0.0;0.0;0.0;0.0;0.007518796992481203;0.0;0.0;0.005012531328320802;0.002506265664160401;0.0;0.0;0.020050125313283207;0.0;0.0;0.0;0.0;0.005012531328320802;0.0;0.0;0.005012531328320802;0.0;0.022556390977443608;0.0;0.007518796992481203;0.0;0.002506265664160401;0.020050125313283207;0.0;0.0;0.012531328320802004;0.005012531328320802;0.0;0.020050125313283207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015037593984962405;0.02506265664160401;0.005012531328320802;0.005012531328320802;0.020050125313283207;0.005012531328320802;0.0;0.0;0.017543859649122806;0.0;0.0;0.0;0.047619047619047616;0.02756892230576441;0.007518796992481203;0.002506265664160401;0.0;0.022556390977443608;0.007518796992481203;0.0;0.007518796992481203;0.0;0.02506265664160401;0.0;0.002506265664160401;0.0;0.0;0.017543859649122806;0.0;0.0;0.0;0.0;0.002506265664160401;0.0;0.0;0.002506265664160401;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.042606516290726815;0.0;0.0;0.05513784461152882;0.0;0.005012531328320802;0.020050125313283207;0.0;0.0;0.0;0.007518796992481203;0.0;0.0;0.0;0.0;0.012531328320802004;0.0;0.020050125313283207;0.002506265664160401;0.007518796992481203;0.0;0.0;0.005012531328320802;0.0;0.0;0.002506265664160401;0.0;0.0;0.0;0.017543859649122806;0.0;0.005012531328320802;0.0;0.012531328320802004;0.0;0.0;0.007518796992481203;0.0;0.0;0.0;0.002506265664160401;0.020050125313283207;0.012531328320802004;0.002506265664160401;0.0;0.002506265664160401;0.0;0.05513784461152882
The Good Earth (film).txt;0.004651162790697674;0.0;0.0;0.0;0.0;0.0;0.0;0.004651162790697674;0.0;0.0;0.0;0.0;0.0;0.05116279069767442;0.04186046511627907;0.0;0.0;0.0;0.0;0.0;0.013953488372093023;0.03255813953488372;0.0;0.004651162790697674;0.009302325581395349;0.004651162790697674;0.0;0.0;0.0;0.0;0.013953488372093023;0.013953488372093023;0.004651162790697674;0.0;0.0;0.004651162790697674;0.009302325581395349;0.0;0.0;0.0;0.009302325581395349;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023255813953488372;0.0;0.013953488372093023;0.004651162790697674;0.0;0.0;0.0;0.0;0.023255813953488372;0.0;0.0;0.0;0.0;0.009302325581395349;0.0;0.004651162790697674;0.0;0.0;0.0;0.0;0.0;0.046511627906976744;0.0;0.0;0.013953488372093023;0.0;0.004651162790697674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027906976744186046;0.009302325581395349;0.009302325581395349;0.0;0.013953488372093023;0.0;0.0;0.0;0.013953488372093023;0.018604651162790697;0.0;0.013953488372093023;0.05116279069767442;0.03255813953488372;0.004651162790697674;0.0;0.0;0.037209302325581395;0.004651162790697674;0.0;0.023255813953488372;0.0;0.009302325581395349;0.0;0.0;0.0;0.004651162790697674;0.018604651162790697;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009302325581395349;0.0;0.0;0.004651162790697674;0.0;0.0;0.0;0.0;0.0;0.0;0.013953488372093023;0.0;0.0;0.046511627906976744;0.0;0.009302325581395349;0.0;0.0;0.0;0.0;0.023255813953488372;0.0;0.0;0.0;0.0;0.04186046511627907;0.0;0.013953488372093023;0.0;0.004651162790697674;0.0;0.004651162790697674;0.0;0.0;0.013953488372093023;0.018604651162790697;0.0;0.0;0.0;0.037209302325581395;0.0;0.0;0.0;0.027906976744186046;0.0;0.0;0.004651162790697674;0.0;0.0;0.0;0.0;0.04186046511627907;0.013953488372093023;0.0;0.0;0.0;0.0;0.009302325581395349
Crossfire (film).txt;0.01060070671378092;0.0;0.0;0.007067137809187279;0.0;0.0;0.0;0.0035335689045936395;0.0;0.0176678445229682;0.0;0.0035335689045936395;0.0;0.04946996466431095;0.053003533568904596;0.0;0.0;0.0;0.0035335689045936395;0.0;0.0;0.007067137809187279;0.0;0.0;0.0035335689045936395;0.0176678445229682;0.0;0.0035335689045936395;0.0;0.0;0.0;0.0035335689045936395;0.0;0.0;0.0;0.007067137809187279;0.02120141342756184;0.0;0.0;0.007067137809187279;0.0035335689045936395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0035335689045936395;0.0035335689045936395;0.0;0.0;0.038869257950530034;0.0;0.007067137809187279;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0353356890459364;0.0;0.0;0.0;0.0035335689045936395;0.0035335689045936395;0.0;0.0;0.007067137809187279;0.028268551236749116;0.0;0.01060070671378092;0.0035335689045936395;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024734982332155476;0.0176678445229682;0.0035335689045936395;0.0035335689045936395;0.0035335689045936395;0.0;0.0;0.06007067137809187;0.0;0.0;0.0;0.04240282685512368;0.0353356890459364;0.014134275618374558;0.0;0.0035335689045936395;0.0176678445229682;0.007067137809187279;0.0;0.0;0.0;0.0035335689045936395;0.0;0.03180212014134275;0.007067137809187279;0.01060070671378092;0.0;0.0;0.014134275618374558;0.0;0.0;0.0035335689045936395;0.0;0.0;0.0;0.0;0.0;0.014134275618374558;0.0;0.0;0.0;0.0035335689045936395;0.0;0.0;0.0035335689045936395;0.007067137809187279;0.0;0.007067137809187279;0.0;0.0;0.0;0.0176678445229682;0.0;0.0;0.0176678445229682;0.0;0.0035335689045936395;0.02120141342756184;0.0;0.0;0.0035335689045936395;0.01060070671378092;0.0;0.0;0.0;0.0;0.0;0.0;0.01060070671378092;0.03180212014134275;0.01060070671378092;0.0;0.0;0.0;0.0;0.0;0.007067137809187279;0.0;0.0;0.0;0.02120141342756184;0.0;0.04946996466431095;0.0;0.014134275618374558;0.0;0.0;0.02120141342756184;0.0;0.0;0.0;0.0;0.03180212014134275;0.0;0.0;0.0;0.007067137809187279;0.0;0.014134275618374558
Black Panther (film).txt;0.006042296072507553;0.0;0.0;0.0030211480362537764;0.0;0.0;0.0;0.015105740181268883;0.0;0.0;0.0;0.0;0.0;0.06646525679758308;0.02416918429003021;0.0;0.0;0.0;0.0;0.0;0.0;0.015105740181268883;0.006042296072507553;0.0;0.015105740181268883;0.0634441087613293;0.0;0.0;0.0;0.0;0.012084592145015106;0.015105740181268883;0.012084592145015106;0.0;0.0;0.012084592145015106;0.021148036253776436;0.0;0.0;0.0;0.012084592145015106;0.0;0.0;0.0030211480362537764;0.0;0.0;0.0;0.0;0.0;0.0;0.015105740181268883;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0030211480362537764;0.0;0.0030211480362537764;0.012084592145015106;0.0;0.021148036253776436;0.0;0.0030211480362537764;0.0;0.0;0.006042296072507553;0.0;0.0;0.006042296072507553;0.0;0.0;0.0;0.0;0.006042296072507553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006042296072507553;0.012084592145015106;0.012084592145015106;0.0;0.012084592145015106;0.006042296072507553;0.0;0.0;0.030211480362537766;0.0;0.0;0.00906344410876133;0.045317220543806644;0.03323262839879154;0.006042296072507553;0.0;0.0030211480362537764;0.015105740181268883;0.00906344410876133;0.0;0.0030211480362537764;0.0;0.012084592145015106;0.0;0.006042296072507553;0.0;0.006042296072507553;0.012084592145015106;0.012084592145015106;0.006042296072507553;0.0030211480362537764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006042296072507553;0.0;0.0;0.0;0.0030211480362537764;0.0;0.0;0.0;0.0;0.0030211480362537764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01812688821752266;0.0;0.03323262839879154;0.0;0.0;0.0;0.0;0.027190332326283987;0.0;0.0;0.0030211480362537764;0.0;0.01812688821752266;0.0;0.045317220543806644;0.00906344410876133;0.00906344410876133;0.0;0.01812688821752266;0.0;0.0;0.012084592145015106;0.006042296072507553;0.0030211480362537764;0.0;0.0;0.021148036253776436;0.0;0.0;0.0;0.012084592145015106;0.0;0.0;0.006042296072507553;0.0;0.0;0.0;0.0;0.0030211480362537764;0.0;0.01812688821752266;0.0;0.0;0.0;0.08761329305135952
The Favourite.txt;0.011627906976744186;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05813953488372093;0.027131782945736434;0.0;0.0;0.0;0.0;0.003875968992248062;0.0;0.007751937984496124;0.003875968992248062;0.0;0.027131782945736434;0.0;0.0;0.0;0.0;0.0;0.0;0.007751937984496124;0.003875968992248062;0.0;0.0;0.003875968992248062;0.05813953488372093;0.0;0.0;0.003875968992248062;0.011627906976744186;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011627906976744186;0.0;0.03875968992248062;0.0;0.0;0.007751937984496124;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023255813953488372;0.0;0.0;0.0;0.003875968992248062;0.023255813953488372;0.0;0.003875968992248062;0.0;0.007751937984496124;0.0;0.0;0.007751937984496124;0.011627906976744186;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003875968992248062;0.011627906976744186;0.007751937984496124;0.0;0.007751937984496124;0.01937984496124031;0.0;0.0;0.003875968992248062;0.003875968992248062;0.0;0.0;0.027131782945736434;0.023255813953488372;0.0;0.0;0.0;0.003875968992248062;0.003875968992248062;0.0;0.007751937984496124;0.007751937984496124;0.003875968992248062;0.0;0.023255813953488372;0.0;0.003875968992248062;0.0;0.007751937984496124;0.003875968992248062;0.0;0.0;0.0;0.0;0.0;0.003875968992248062;0.0;0.0;0.0;0.0;0.011627906976744186;0.0;0.003875968992248062;0.0;0.0;0.0;0.0;0.003875968992248062;0.0;0.0;0.0;0.0;0.046511627906976744;0.0;0.0;0.06201550387596899;0.0;0.007751937984496124;0.01937984496124031;0.0;0.0;0.011627906976744186;0.03875968992248062;0.0;0.0;0.015503875968992248;0.0;0.015503875968992248;0.0;0.031007751937984496;0.015503875968992248;0.007751937984496124;0.0;0.0;0.0;0.0;0.007751937984496124;0.0;0.0;0.0;0.0;0.01937984496124031;0.003875968992248062;0.023255813953488372;0.0;0.01937984496124031;0.0;0.0;0.007751937984496124;0.0;0.0;0.0;0.011627906976744186;0.023255813953488372;0.003875968992248062;0.0;0.0;0.0;0.0;0.04263565891472868
Barry Lyndon.txt;0.016304347826086956;0.0;0.0;0.0;0.0;0.0;0.0;0.008152173913043478;0.0;0.002717391304347826;0.0;0.0;0.0;0.04891304347826087;0.035326086956521736;0.0;0.0;0.0;0.0;0.0;0.01358695652173913;0.01358695652173913;0.0;0.005434782608695652;0.010869565217391304;0.008152173913043478;0.0;0.0;0.0;0.0;0.008152173913043478;0.005434782608695652;0.002717391304347826;0.0;0.0;0.008152173913043478;0.059782608695652176;0.0;0.0;0.005434782608695652;0.016304347826086956;0.0;0.005434782608695652;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002717391304347826;0.0;0.0;0.0;0.0;0.005434782608695652;0.0;0.0;0.002717391304347826;0.0;0.0;0.0;0.0;0.01358695652173913;0.0;0.002717391304347826;0.008152173913043478;0.005434782608695652;0.029891304347826088;0.0;0.0;0.0;0.0;0.0;0.010869565217391304;0.0;0.019021739130434784;0.0;0.0;0.0;0.0;0.0;0.002717391304347826;0.0;0.0;0.010869565217391304;0.01358695652173913;0.0;0.010869565217391304;0.005434782608695652;0.0;0.0;0.021739130434782608;0.0;0.0;0.0;0.029891304347826088;0.021739130434782608;0.008152173913043478;0.0;0.0;0.008152173913043478;0.002717391304347826;0.0;0.019021739130434784;0.005434782608695652;0.005434782608695652;0.0;0.008152173913043478;0.0;0.002717391304347826;0.008152173913043478;0.0;0.002717391304347826;0.0;0.0;0.005434782608695652;0.0;0.0;0.005434782608695652;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005434782608695652;0.0;0.0;0.021739130434782608;0.0;0.002717391304347826;0.008152173913043478;0.0;0.0;0.002717391304347826;0.029891304347826088;0.0;0.002717391304347826;0.005434782608695652;0.0;0.010869565217391304;0.0;0.008152173913043478;0.0;0.02717391304347826;0.0;0.0;0.0;0.0;0.010869565217391304;0.0;0.0;0.0;0.0;0.019021739130434784;0.0;0.0;0.0;0.008152173913043478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010869565217391304;0.01358695652173913;0.005434782608695652;0.0;0.0;0.0;0.23369565217391305
Heaven Can Wait (1978 film).txt;0.00964630225080386;0.0;0.0;0.0;0.0;0.0;0.0;0.012861736334405145;0.0;0.0;0.0;0.0;0.0;0.03536977491961415;0.04180064308681672;0.0;0.0;0.0;0.0;0.003215434083601286;0.0;0.028938906752411574;0.0;0.003215434083601286;0.003215434083601286;0.02572347266881029;0.0;0.0;0.0;0.0;0.003215434083601286;0.0;0.003215434083601286;0.0;0.0;0.006430868167202572;0.03215434083601286;0.0;0.0;0.003215434083601286;0.02572347266881029;0.0;0.0;0.003215434083601286;0.0;0.0;0.003215434083601286;0.0;0.0;0.0;0.01607717041800643;0.0;0.0;0.006430868167202572;0.0;0.0;0.0;0.0;0.003215434083601286;0.0;0.0;0.003215434083601286;0.0;0.006430868167202572;0.003215434083601286;0.003215434083601286;0.0;0.006430868167202572;0.003215434083601286;0.0;0.0;0.0;0.003215434083601286;0.0;0.006430868167202572;0.0;0.006430868167202572;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003215434083601286;0.022508038585209004;0.003215434083601286;0.0;0.01607717041800643;0.02572347266881029;0.0;0.003215434083601286;0.028938906752411574;0.006430868167202572;0.0;0.0;0.04180064308681672;0.01607717041800643;0.003215434083601286;0.0;0.0;0.022508038585209004;0.05787781350482315;0.0;0.006430868167202572;0.0;0.003215434083601286;0.0;0.01607717041800643;0.0;0.003215434083601286;0.00964630225080386;0.0;0.028938906752411574;0.006430868167202572;0.0;0.01929260450160772;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022508038585209004;0.0;0.0;0.01929260450160772;0.0;0.006430868167202572;0.012861736334405145;0.0;0.0;0.003215434083601286;0.00964630225080386;0.0;0.003215434083601286;0.0;0.0;0.01929260450160772;0.0;0.022508038585209004;0.003215434083601286;0.02572347266881029;0.0;0.0;0.006430868167202572;0.0;0.012861736334405145;0.0;0.003215434083601286;0.0;0.003215434083601286;0.03536977491961415;0.0;0.022508038585209004;0.0;0.01607717041800643;0.0;0.0;0.006430868167202572;0.0;0.0;0.0;0.0;0.022508038585209004;0.012861736334405145;0.0;0.0;0.006430868167202572;0.0;0.04823151125401929
Extremely Loud & Incredibly Close (film).txt;0.01092896174863388;0.0;0.00273224043715847;0.0;0.0;0.00273224043715847;0.0;0.00546448087431694;0.0;0.00546448087431694;0.0;0.0;0.0;0.040983606557377046;0.03825136612021858;0.0;0.0;0.0;0.0;0.0;0.00273224043715847;0.01092896174863388;0.0;0.0;0.01366120218579235;0.00819672131147541;0.0;0.0;0.0;0.0;0.00273224043715847;0.00546448087431694;0.00273224043715847;0.0;0.0;0.0;0.03551912568306011;0.0;0.0;0.0;0.01366120218579235;0.0;0.0;0.0;0.0;0.0;0.00819672131147541;0.0;0.0;0.01912568306010929;0.0;0.0;0.0;0.01092896174863388;0.0;0.00273224043715847;0.0;0.0;0.0;0.0;0.0;0.00273224043715847;0.0;0.00819672131147541;0.0;0.00273224043715847;0.0;0.0;0.01639344262295082;0.0;0.0;0.01366120218579235;0.00546448087431694;0.0;0.040983606557377046;0.00819672131147541;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00273224043715847;0.0273224043715847;0.00546448087431694;0.0;0.01366120218579235;0.01639344262295082;0.0;0.0;0.03825136612021858;0.00273224043715847;0.0;0.0;0.10109289617486339;0.02185792349726776;0.01366120218579235;0.00273224043715847;0.0;0.00546448087431694;0.0;0.0;0.01092896174863388;0.0;0.01366120218579235;0.0;0.03278688524590164;0.04644808743169399;0.0;0.0;0.00273224043715847;0.01092896174863388;0.00273224043715847;0.0;0.0;0.00273224043715847;0.0;0.0;0.00546448087431694;0.0;0.0;0.0;0.00273224043715847;0.0;0.0;0.0;0.0;0.00273224043715847;0.0;0.0;0.0;0.0;0.0;0.0;0.00273224043715847;0.0;0.0;0.02459016393442623;0.0;0.01366120218579235;0.02185792349726776;0.0;0.0;0.0;0.00819672131147541;0.0;0.00273224043715847;0.0;0.0;0.00273224043715847;0.0;0.00546448087431694;0.0;0.00819672131147541;0.0;0.0;0.0;0.0;0.00819672131147541;0.01366120218579235;0.0;0.0;0.00273224043715847;0.01912568306010929;0.00273224043715847;0.01366120218579235;0.0;0.0273224043715847;0.0;0.0;0.00819672131147541;0.0;0.0;0.0;0.0;0.03551912568306011;0.00819672131147541;0.0;0.0;0.00273224043715847;0.0;0.040983606557377046
Boys Town (film).txt;0.030716723549488054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0034129692832764505;0.0;0.06825938566552901;0.05460750853242321;0.0;0.0;0.0;0.0;0.0;0.0;0.0034129692832764505;0.0;0.0034129692832764505;0.020477815699658702;0.0;0.0;0.0;0.0;0.0;0.0034129692832764505;0.023890784982935155;0.006825938566552901;0.0;0.0;0.0;0.023890784982935155;0.0;0.0;0.0;0.040955631399317405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0034129692832764505;0.0;0.0;0.0;0.0;0.0;0.010238907849829351;0.0;0.06825938566552901;0.0;0.017064846416382253;0.0;0.0;0.006825938566552901;0.0;0.0;0.006825938566552901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0034129692832764505;0.0;0.0;0.0;0.010238907849829351;0.010238907849829351;0.034129692832764506;0.0;0.0;0.0;0.006825938566552901;0.0;0.0;0.0;0.06484641638225255;0.040955631399317405;0.020477815699658702;0.0034129692832764505;0.0034129692832764505;0.020477815699658702;0.010238907849829351;0.0;0.0;0.006825938566552901;0.010238907849829351;0.0;0.0;0.030716723549488054;0.0;0.010238907849829351;0.0;0.0;0.0;0.0;0.0034129692832764505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0034129692832764505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010238907849829351;0.0;0.0;0.023890784982935155;0.0;0.010238907849829351;0.017064846416382253;0.0;0.0;0.0034129692832764505;0.027303754266211604;0.0;0.0;0.0;0.0;0.013651877133105802;0.0;0.006825938566552901;0.0;0.013651877133105802;0.0;0.0;0.0;0.0;0.0034129692832764505;0.0034129692832764505;0.0;0.0;0.0;0.034129692832764506;0.0;0.0034129692832764505;0.0;0.017064846416382253;0.0;0.0;0.017064846416382253;0.0;0.0;0.0;0.0034129692832764505;0.027303754266211604;0.0;0.0;0.0;0.006825938566552901;0.0;0.06825938566552901
Dunkirk (2017 film).txt;0.017204301075268817;0.0;0.0;0.0;0.0;0.0;0.0;0.002150537634408602;0.0;0.0064516129032258064;0.0;0.0;0.0;0.05591397849462366;0.025806451612903226;0.0;0.0;0.0;0.0;0.0;0.0;0.060215053763440864;0.0;0.0;0.017204301075268817;0.021505376344086023;0.0;0.002150537634408602;0.0;0.0;0.002150537634408602;0.0064516129032258064;0.01935483870967742;0.0;0.0;0.004301075268817204;0.03225806451612903;0.0;0.0;0.004301075268817204;0.01935483870967742;0.0;0.002150537634408602;0.0;0.0;0.0;0.008602150537634409;0.0;0.0;0.0;0.004301075268817204;0.0;0.0;0.012903225806451613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0064516129032258064;0.0;0.0064516129032258064;0.0;0.015053763440860216;0.0;0.0;0.0;0.0;0.004301075268817204;0.0;0.0;0.0;0.010752688172043012;0.002150537634408602;0.002150537634408602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002150537634408602;0.002150537634408602;0.002150537634408602;0.0;0.02795698924731183;0.017204301075268817;0.0;0.002150537634408602;0.01935483870967742;0.002150537634408602;0.0;0.008602150537634409;0.10967741935483871;0.03655913978494624;0.008602150537634409;0.021505376344086023;0.008602150537634409;0.008602150537634409;0.010752688172043012;0.0;0.0;0.0;0.008602150537634409;0.0;0.021505376344086023;0.0;0.0;0.002150537634408602;0.004301075268817204;0.008602150537634409;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002150537634408602;0.0;0.0;0.0;0.002150537634408602;0.0;0.0;0.0;0.0;0.0064516129032258064;0.0;0.002150537634408602;0.017204301075268817;0.0;0.008602150537634409;0.010752688172043012;0.0;0.0;0.0;0.008602150537634409;0.0;0.0;0.0;0.0;0.0064516129032258064;0.0;0.030107526881720432;0.017204301075268817;0.021505376344086023;0.0;0.0;0.0;0.0;0.002150537634408602;0.004301075268817204;0.0;0.0;0.0;0.010752688172043012;0.0;0.0;0.0;0.010752688172043012;0.0;0.0;0.004301075268817204;0.0;0.0;0.0;0.0;0.012903225806451613;0.002150537634408602;0.015053763440860216;0.0;0.010752688172043012;0.0;0.08817204301075268
