,NN,NNP,NNS,NNPS,JJ,JJR,JJS,V
Los emigrantes.txt,0.32666666666666666,0.18666666666666668,0.06,0.0,0.06666666666666667,0.006666666666666667,0.0,0.35333333333333333
La canción de Bernadette.txt,0.38461538461538464,0.15384615384615385,0.054945054945054944,0.0,0.054945054945054944,0.0,0.0,0.3516483516483517
El halcón maltés (película de 1941).txt,0.29464285714285715,0.3125,0.044642857142857144,0.008928571428571428,0.07142857142857142,0.0,0.008928571428571428,0.25892857142857145
Atonement (película).txt,0.42990654205607476,0.14018691588785046,0.07476635514018691,0.0,0.056074766355140186,0.0,0.0,0.29906542056074764
Picnic (película).txt,0.3673469387755102,0.15306122448979592,0.07142857142857142,0.0,0.12244897959183673,0.0,0.0,0.2857142857142857
Barry Lyndon.txt,0.3448275862068966,0.18620689655172415,0.06896551724137931,0.006896551724137931,0.07586206896551724,0.0,0.0,0.31724137931034485
La forma del agua.txt,0.3708609271523179,0.152317880794702,0.059602649006622516,0.0,0.09933774834437085,0.0,0.0,0.31788079470198677
Espejismo de amor.txt,0.2727272727272727,0.22727272727272727,0.13636363636363635,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182
Fuego en la nieve (película).txt,0.26666666666666666,0.13333333333333333,0.125,0.0,0.10833333333333334,0.0,0.0,0.36666666666666664
Hugo (película).txt,0.3582089552238806,0.06716417910447761,0.08955223880597014,0.0,0.07462686567164178,0.007462686567164179,0.007462686567164179,0.39552238805970147
"Three Billboards Outside Ebbing, Missouri.txt",0.36231884057971014,0.18115942028985507,0.07971014492753623,0.0,0.07971014492753623,0.0,0.0,0.2971014492753623
Cat on a Hot Tin Roof (película).txt,0.25,0.2916666666666667,0.0625,0.0,0.08333333333333333,0.0,0.020833333333333332,0.2916666666666667
Gladiator.txt,0.3087248322147651,0.18791946308724833,0.087248322147651,0.0,0.10067114093959731,0.0,0.0,0.31543624161073824
The Reader.txt,0.29559748427672955,0.20754716981132076,0.1069182389937107,0.0,0.03773584905660377,0.006289308176100629,0.0,0.34591194968553457
El cielo y tú.txt,0.20512820512820512,0.2564102564102564,0.05128205128205128,0.0,0.1794871794871795,0.0,0.0,0.3076923076923077
"América, América (película).txt",0.37012987012987014,0.09740259740259741,0.08441558441558442,0.0,0.14285714285714285,0.0,0.0,0.3051948051948052
Fugitivos (película de 1958).txt,0.3448275862068966,0.1724137931034483,0.07758620689655173,0.0,0.05172413793103448,0.008620689655172414,0.0,0.3448275862068966
Jerry Maguire.txt,0.30666666666666664,0.12666666666666668,0.08666666666666667,0.0,0.12,0.006666666666666667,0.006666666666666667,0.3466666666666667
Sense and Sensibility (película).txt,0.2702702702702703,0.24324324324324326,0.05405405405405406,0.0,0.10810810810810811,0.0,0.0,0.32432432432432434
El orgullo de los Yanquis.txt,0.35526315789473684,0.20394736842105263,0.039473684210526314,0.006578947368421052,0.09868421052631579,0.0,0.0,0.29605263157894735
El séptimo cielo (película).txt,0.3310810810810811,0.12837837837837837,0.07432432432432433,0.0,0.05405405405405406,0.0,0.0,0.41216216216216217
El Señor de los Anillos: el retorno del Rey.txt,0.3055555555555556,0.2222222222222222,0.041666666666666664,0.006944444444444444,0.034722222222222224,0.0,0.0,0.3888888888888889
War Horse.txt,0.3630573248407643,0.21019108280254778,0.07006369426751592,0.006369426751592357,0.044585987261146494,0.0,0.006369426751592357,0.29936305732484075
The Towering Inferno.txt,0.34265734265734266,0.06293706293706294,0.1258741258741259,0.0,0.1048951048951049,0.006993006993006993,0.0,0.35664335664335667
In Old Chicago.txt,0.34459459459459457,0.10810810810810811,0.06756756756756757,0.0,0.060810810810810814,0.0,0.0,0.4189189189189189
Mr. Smith Goes to Washington.txt,0.2727272727272727,0.22727272727272727,0.045454545454545456,0.0,0.13636363636363635,0.0,0.0,0.3181818181818182
Midnight Cowboy.txt,0.24489795918367346,0.16326530612244897,0.04081632653061224,0.0,0.16326530612244897,0.0,0.02040816326530612,0.3673469387755102
La fuerza del cariño.txt,0.30303030303030304,0.21212121212121213,0.09090909090909091,0.0,0.13131313131313133,0.0,0.0,0.26262626262626265
"Zorba, el griego (película).txt",0.30612244897959184,0.16326530612244897,0.061224489795918366,0.0,0.1360544217687075,0.006802721088435374,0.0,0.32653061224489793
