,N,J,V
Los emigrantes.txt,0.18655097613882862,0.02386117136659436,0.11496746203904555
La canción de Bernadette.txt,0.23893805309734514,0.022123893805309734,0.1415929203539823
El halcón maltés (película de 1941).txt,0.30327868852459017,0.036885245901639344,0.11885245901639344
Atonement (película).txt,0.2363013698630137,0.02054794520547945,0.1095890410958904
Picnic (película).txt,0.2457627118644068,0.05084745762711865,0.11864406779661017
Barry Lyndon.txt,0.0446927374301676,0.00558659217877095,0.023362112747587607
La forma del agua.txt,0.12884333821376281,0.021961932650073207,0.07027818448023426
Espejismo de amor.txt,0.3783783783783784,0.10810810810810811,0.10810810810810811
Fuego en la nieve (película).txt,0.21212121212121213,0.04377104377104377,0.14814814814814814
Hugo (película).txt,0.069,0.012,0.053
"Three Billboards Outside Ebbing, Missouri.txt",0.10709838107098381,0.0136986301369863,0.05105853051058531
Cat on a Hot Tin Roof (película).txt,0.27358490566037735,0.04716981132075472,0.1320754716981132
Gladiator.txt,0.054993678887484194,0.009481668773704172,0.02970922882427307
The Reader.txt,0.08591674047829938,0.006200177147918512,0.048715677590788306
El cielo y tú.txt,0.24390243902439024,0.08536585365853659,0.14634146341463414
"América, América (película).txt",0.14604810996563575,0.037800687285223365,0.08075601374570447
Fugitivos (película de 1958).txt,0.23793103448275862,0.02413793103448276,0.13793103448275862
Jerry Maguire.txt,0.12400635930047695,0.03179650238473768,0.08267090620031796
Sense and Sensibility (película).txt,0.22826086956521738,0.043478260869565216,0.13043478260869565
El orgullo de los Yanquis.txt,0.2658959537572254,0.04335260115606936,0.13005780346820808
El séptimo cielo (película).txt,0.18544600938967137,0.018779342723004695,0.1431924882629108
El Señor de los Anillos: el retorno del Rey.txt,0.035806729939603106,0.0021570319240724763,0.024158757549611734
War Horse.txt,0.05964912280701754,0.004678362573099415,0.027485380116959064
The Towering Inferno.txt,0.19437340153452684,0.04092071611253197,0.13043478260869565
In Old Chicago.txt,0.1119186046511628,0.01308139534883721,0.09011627906976744
Mr. Smith Goes to Washington.txt,0.2727272727272727,0.06818181818181818,0.1590909090909091
Midnight Cowboy.txt,0.2222222222222222,0.09090909090909091,0.18181818181818182
La fuerza del cariño.txt,0.22988505747126436,0.04980842911877394,0.09961685823754789
"Zorba, el griego (película).txt",0.06295399515738499,0.01694915254237288,0.0387409200968523
Pasaje a la India.txt,0.18410852713178294,0.023255813953488372,0.07364341085271318
The Magnificent Ambersons.txt,0.19730941704035873,0.04484304932735426,0.1210762331838565
Minari.txt,0.25,0.175,0.1
Dunkerque (película).txt,0.07627711686494051,0.00979706088173548,0.03358992302309307
"Hello, Dolly! (película).txt",0.2018348623853211,0.009174311926605505,0.12844036697247707
Of Mice and Men (película de 1939).txt,0.4186046511627907,0.13953488372093023,0.06976744186046512
Melodías de Broadway.txt,0.26666666666666666,0.03333333333333333,0.13333333333333333
Field of Dreams.txt,0.08040201005025126,0.008040201005025126,0.05527638190954774
Doctor Dolittle (película de 1967).txt,0.3698630136986301,0.0684931506849315,0.1095890410958904
Historia de un soldado (película de 1984).txt,0.3508771929824561,0.03508771929824561,0.07017543859649122
Kramer vs. Kramer.txt,0.1986754966887417,0.06622516556291391,0.152317880794702
Patton (película).txt,0.1421121251629726,0.014341590612777053,0.05867014341590613
District 9.txt,0.05201916495550993,0.007529089664613279,0.03490759753593429
La diligencia.txt,0.141287284144427,0.01098901098901099,0.07378335949764521
Midnight Express.txt,0.20224719101123595,0.02247191011235955,0.12808988764044943
Alas (película).txt,0.2100456621004566,0.0319634703196347,0.12557077625570776
Gigi.txt,0.19504643962848298,0.058823529411764705,0.10835913312693499
Philomena.txt,0.11773049645390071,0.018439716312056736,0.0851063829787234
The Shawshank Redemption.txt,0.1078107810781078,0.014301430143014302,0.047304730473047306
"E.T., el extraterrestre.txt",0.1239766081871345,0.00935672514619883,0.05730994152046784
Jezabel (película de 1938).txt,0.23104693140794225,0.05415162454873646,0.1552346570397112
Wò hǔ cáng lóng.txt,0.19080459770114944,0.029885057471264367,0.11954022988505747
On Golden Pond.txt,0.24615384615384617,0.046153846153846156,0.09230769230769231
Friendly Persuasion.txt,0.425531914893617,0.0425531914893617,0.10638297872340426
Bugsy (película de 1991).txt,0.1296043656207367,0.027285129604365622,0.05593451568894952
Silver Linings Playbook.txt,0.2839506172839506,0.043209876543209874,0.1419753086419753
Desde que te fuiste.txt,0.3953488372093023,0.023255813953488372,0.16279069767441862
Winter's Bone.txt,0.2736842105263158,0.05263157894736842,0.12631578947368421
Enrique V (película de 1944).txt,0.175,0.0203125,0.065625
Forja de hombres.txt,0.2647058823529412,0.049019607843137254,0.16666666666666666
El príncipe de las mareas.txt,0.23214285714285715,0.03571428571428571,0.11160714285714286
Judgment at Nuremberg.txt,0.2826086956521739,0.057971014492753624,0.07971014492753623
Double Indemnity.txt,0.06734534064212999,0.006264682850430697,0.03680501174628034
Adiós a las armas (película de 1932).txt,0.4166666666666667,0.05555555555555555,0.08333333333333333
Cabaret (película).txt,0.12406576980568013,0.025411061285500747,0.09566517189835576
Disraeli (película).txt,0.4418604651162791,0.06976744186046512,0.09302325581395349
El amor llamó dos veces.txt,0.09182209469153516,0.015781922525107604,0.08034433285509325
Spellbound.txt,0.22123893805309736,0.061946902654867256,0.17699115044247787
A Serious Man.txt,0.30434782608695654,0.03260869565217391,0.14130434782608695
Frost:Nixon.txt,0.2915129151291513,0.01107011070110701,0.11070110701107011
Dangerous Liaisons.txt,0.22112211221122113,0.0429042904290429,0.09570957095709572
Sounder (película de 1972).txt,0.2028301886792453,0.03773584905660377,0.14150943396226415
