;Damaging and destroying;Fixing and mending;Suitability;Suitable;Caution;Chance, luck;Lucky;Generally kinds, groups, examples;"Particular/general; detail";Detailed;General;Evaluation: Good/bad;"Getting and giving; possession";Getting and possession;Giving;"Open/closed; Hiding/Hidden; Finding; Showing";"Open; Finding; Showing";"Closed; Hiding/Hidden";Safety/Danger;Safe;Danger;Anatomy and physiology;Health and disease;Healthy;Disease;Medicines and medical treatment;Without medical treatment;Cleaning and personal care;Clean;Dirty;Clothes and personal belongings;Arts and crafts;Emotional Actions, States And Processes General;Emotional;Calm/Violent/Angry;Calm;Violent/Angry;Happiness and Contentment;Happy/sad;Happy;Sad;Contentment;Content;Discontent;Bravery and Fear;Bravery;Fear/shock;Worry and confidence;Confident;Worry;Food;Abundance of food;Lack of food;Drinks and alcohol;Excessive drinking;Smoking and non-medical drugs;Smoking and drugs abuse;Non-smoking / no use of drugs;Farming & Horticulture;Government and Politics;Government;Politics;Crime, law and order;Law and order;Lawful;Crime;General ethics;Ethical;Unethical;"Warfare, defence and the army; weapons";Anti-war;Architecture, houses and buildings;Parts of buildings;Areas around or near houses;Residence;Furniture and household fittings;Money generally;Money: Cost and price;Business;Non-commercial;Work and employment;Work and employment: Professionalism;Professional;Industry;Entertainment generally;Music and related activities;Drama, the theatre and show business;Sports and games generally;Sports;Games;Children’s games and toys;Life and living things;Dead;Living creatures: animals, birds, etc.;No living creatures;Plants;Moving, coming and going;Putting, pulling, pushing, transporting;Vehicles and transport on land;Sailing, swimming, etc.;Flying and aircraft;Places;General appearance and physical properties;Judgement of appearance;Judgement of appearance: Beautiful;Judgement of appearance: Ugly;Education in general;"Linguistic Actions, States And Processes; Communication";Paper documents and writing;Telecommunications;The Media;The Media: Books;The Media: Newspapers etc.;The Media: TV, Radio and Cinema;Personality traits;Approachability and Friendliness;Informal/Friendly;Formal/Unfriendly;Avarice;Greedy;Generous;Egoism;Selfish;Politeness;Polite;"Toughness; strong/weak";Tough/strong;Weak;Common sense;Sensible;Foolish;People;People: Female;Not feminine;People: Male;Relationship;Relationship: Intimacy and sex;Relationship: Sexual;Relationship: Asexual;Kin;Groups and affiliation;Belonging to a group;Not part of a group;Obligation and necessity;Power relationship;Power, organizing;In power;Respect;Respected;Competition;Permission;Allowed;Helping/hindering;Helping;Hindering;Religion and the supernatural;Non-religious;The universe;Light;Darkness;Geographical terms;Weather;Green issues;Psychological Actions, States And Processes;Mental actions and processes;Thought, belief;Knowledge;Knowledgeable;Learn;Investigate, examine, test, search;Understand;Expect;Sensory;Interest/boredom/excited/energetic;"Wanting; planning; choosing";Ability and intelligence;Success and failure;Success;Failure;Science and technology in general;Anti-scientific;Information technology and computing;Low-tech;Geographical names
Los emigrantes.txt;0.0;0.0;0.0;0.004464285714285714;0.0;0.0;0.004464285714285714;0.04017857142857143;0.0;0.0;0.0;0.0;0.0;0.13839285714285715;0.008928571428571428;0.0;0.0;0.0;0.004464285714285714;0.0;0.004464285714285714;0.0;0.0;0.0;0.0;0.004464285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004464285714285714;0.004464285714285714;0.0;0.008928571428571428;0.0;0.0;0.0;0.0;0.0;0.0;0.004464285714285714;0.0;0.0;0.004464285714285714;0.008928571428571428;0.0;0.0;0.004464285714285714;0.0;0.0;0.0;0.0;0.0;0.008928571428571428;0.0;0.0;0.0;0.017857142857142856;0.0;0.0;0.0;0.0;0.008928571428571428;0.0;0.0;0.022321428571428572;0.0;0.0;0.013392857142857142;0.0;0.008928571428571428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008928571428571428;0.004464285714285714;0.0;0.0;0.0;0.004464285714285714;0.0;0.0;0.013392857142857142;0.0;0.0;0.0;0.05357142857142857;0.004464285714285714;0.0;0.0;0.008928571428571428;0.03125;0.0;0.0;0.0;0.0;0.03125;0.0;0.008928571428571428;0.0;0.0;0.026785714285714284;0.0;0.0;0.0;0.0;0.017857142857142856;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017857142857142856;0.017857142857142856;0.0;0.004464285714285714;0.04017857142857143;0.0;0.0;0.004464285714285714;0.004464285714285714;0.05357142857142857;0.013392857142857142;0.013392857142857142;0.008928571428571428;0.026785714285714284;0.004464285714285714;0.0;0.004464285714285714;0.0;0.0;0.0;0.008928571428571428;0.0;0.004464285714285714;0.022321428571428572;0.004464285714285714;0.004464285714285714;0.004464285714285714;0.0;0.0;0.008928571428571428;0.008928571428571428;0.0;0.0;0.008928571428571428;0.017857142857142856;0.004464285714285714;0.0;0.0;0.004464285714285714;0.008928571428571428;0.0;0.0;0.0;0.0;0.004464285714285714;0.0;0.008928571428571428;0.004464285714285714;0.0;0.0;0.004464285714285714;0.0;0.10714285714285714
La canción de Bernadette.txt;0.0070921985815602835;0.0;0.0;0.0070921985815602835;0.0;0.0;0.0;0.028368794326241134;0.0;0.0070921985815602835;0.0;0.0;0.0;0.05673758865248227;0.0070921985815602835;0.0;0.0;0.0;0.0;0.0;0.0;0.02127659574468085;0.0;0.0;0.028368794326241134;0.0;0.0;0.0;0.0;0.0;0.0070921985815602835;0.0;0.0070921985815602835;0.0;0.0;0.0070921985815602835;0.0;0.0;0.0;0.0;0.028368794326241134;0.0;0.0;0.0;0.0;0.0070921985815602835;0.0;0.0;0.0;0.0;0.0070921985815602835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014184397163120567;0.0;0.0;0.0;0.02127659574468085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014184397163120567;0.0;0.0070921985815602835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02127659574468085;0.0;0.0070921985815602835;0.03546099290780142;0.0;0.014184397163120567;0.014184397163120567;0.02127659574468085;0.0;0.0;0.04964539007092199;0.0;0.0;0.0;0.0;0.014184397163120567;0.0;0.0;0.0;0.0;0.02127659574468085;0.0;0.0070921985815602835;0.0;0.014184397163120567;0.0;0.0;0.014184397163120567;0.0;0.0;0.0;0.0;0.0;0.0;0.0070921985815602835;0.0;0.0;0.0;0.0070921985815602835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014184397163120567;0.0;0.0070921985815602835;0.0;0.0425531914893617;0.0;0.0070921985815602835;0.0;0.0070921985815602835;0.0;0.02127659574468085;0.0;0.0070921985815602835;0.0;0.0070921985815602835;0.0;0.0;0.0;0.0;0.03546099290780142;0.0070921985815602835;0.02127659574468085;0.02127659574468085;0.07092198581560284;0.0;0.0;0.0;0.0;0.014184397163120567;0.0;0.0070921985815602835;0.0;0.02127659574468085;0.0425531914893617;0.014184397163120567;0.0070921985815602835;0.0;0.0070921985815602835;0.0;0.0;0.05673758865248227;0.0;0.0;0.0;0.0;0.0070921985815602835;0.0;0.0;0.0;0.0;0.0;0.02127659574468085
El halcón maltés (película de 1941).txt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02857142857142857;0.0;0.0;0.0;0.0;0.0;0.18095238095238095;0.009523809523809525;0.0;0.0;0.0;0.0;0.0;0.009523809523809525;0.009523809523809525;0.0;0.0;0.0;0.0380952380952381;0.0;0.0;0.0;0.0;0.0;0.01904761904761905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009523809523809525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.009523809523809525;0.0;0.0;0.0;0.0;0.02857142857142857;0.009523809523809525;0.0;0.009523809523809525;0.0;0.009523809523809525;0.0;0.009523809523809525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009523809523809525;0.0;0.0;0.0;0.009523809523809525;0.0;0.0;0.0;0.0761904761904762;0.0;0.0;0.0;0.0;0.0380952380952381;0.0;0.0;0.0;0.0;0.0380952380952381;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01904761904761905;0.0;0.0;0.0;0.0;0.05714285714285714;0.0;0.0;0.02857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.009523809523809525;0.009523809523809525;0.0;0.047619047619047616;0.0;0.02857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.01904761904761905;0.009523809523809525;0.02857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02857142857142857;0.0380952380952381;0.009523809523809525;0.0;0.0;0.0;0.009523809523809525;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0761904761904762
Atonement (película).txt;0.0;0.0;0.0;0.0;0.0;0.006024096385542169;0.0;0.030120481927710843;0.0;0.0;0.0;0.0;0.0;0.09036144578313253;0.018072289156626505;0.0;0.0;0.0;0.006024096385542169;0.0;0.0;0.0;0.006024096385542169;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006024096385542169;0.018072289156626505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012048192771084338;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024096385542168676;0.0;0.0;0.0;0.018072289156626505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04216867469879518;0.018072289156626505;0.0;0.024096385542168676;0.0;0.04216867469879518;0.006024096385542169;0.0;0.0;0.0;0.0;0.0;0.0;0.024096385542168676;0.0;0.006024096385542169;0.0;0.0;0.012048192771084338;0.0;0.0;0.0;0.012048192771084338;0.0;0.012048192771084338;0.060240963855421686;0.012048192771084338;0.018072289156626505;0.018072289156626505;0.024096385542168676;0.03614457831325301;0.0;0.0;0.006024096385542169;0.0;0.030120481927710843;0.0;0.018072289156626505;0.0;0.006024096385542169;0.018072289156626505;0.0;0.0;0.0;0.0;0.012048192771084338;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.018072289156626505;0.012048192771084338;0.0;0.012048192771084338;0.04819277108433735;0.012048192771084338;0.0;0.0;0.018072289156626505;0.018072289156626505;0.024096385542168676;0.0;0.0;0.024096385542168676;0.0;0.006024096385542169;0.0;0.0;0.0;0.006024096385542169;0.0;0.0;0.006024096385542169;0.0;0.0;0.0;0.0;0.0;0.0;0.012048192771084338;0.0;0.0;0.006024096385542169;0.006024096385542169;0.012048192771084338;0.0;0.0;0.0;0.012048192771084338;0.0;0.0;0.012048192771084338;0.0;0.0;0.0;0.0;0.024096385542168676;0.0;0.0;0.0;0.0;0.0;0.018072289156626505
Picnic (película).txt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013888888888888888;0.0;0.0;0.0;0.0;0.0;0.09722222222222222;0.0;0.0;0.0;0.0;0.013888888888888888;0.0;0.0;0.0;0.006944444444444444;0.0;0.0;0.0;0.0;0.013888888888888888;0.0;0.0;0.013888888888888888;0.0;0.020833333333333332;0.006944444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013888888888888888;0.0;0.0;0.006944444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034722222222222224;0.0;0.0;0.0;0.0;0.0;0.0;0.006944444444444444;0.0;0.0;0.0;0.0;0.013888888888888888;0.0;0.0;0.006944444444444444;0.0;0.013888888888888888;0.006944444444444444;0.013888888888888888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006944444444444444;0.0;0.0;0.013888888888888888;0.0;0.006944444444444444;0.0;0.013888888888888888;0.06944444444444445;0.0;0.0;0.0;0.0;0.034722222222222224;0.0;0.0;0.013888888888888888;0.0;0.0625;0.0;0.0;0.0;0.0;0.041666666666666664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006944444444444444;0.0;0.06944444444444445;0.006944444444444444;0.0;0.020833333333333332;0.006944444444444444;0.0;0.0;0.006944444444444444;0.034722222222222224;0.05555555555555555;0.0;0.020833333333333332;0.0;0.0625;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006944444444444444;0.0;0.0;0.013888888888888888;0.013888888888888888;0.020833333333333332;0.013888888888888888;0.0;0.027777777777777776;0.0;0.0;0.0;0.006944444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.013888888888888888;0.0;0.0;0.0;0.020833333333333332
Barry Lyndon.txt;0.015906680805938492;0.0;0.0;0.0;0.0010604453870625664;0.0010604453870625664;0.006362672322375398;0.04559915164369035;0.0;0.007423117709437964;0.0;0.0042417815482502655;0.0;0.08271474019088017;0.015906680805938492;0.0;0.0;0.0;0.007423117709437964;0.0;0.0;0.018027571580063628;0.0021208907741251328;0.0;0.010604453870625663;0.007423117709437964;0.0;0.0;0.0;0.0;0.0010604453870625664;0.0042417815482502655;0.0010604453870625664;0.0010604453870625664;0.0010604453870625664;0.007423117709437964;0.012725344644750796;0.0010604453870625664;0.0;0.003181336161187699;0.006362672322375398;0.0;0.0021208907741251328;0.0;0.0010604453870625664;0.0;0.003181336161187699;0.0;0.0010604453870625664;0.005302226935312832;0.009544008483563097;0.0;0.0;0.0042417815482502655;0.0;0.0;0.0;0.0;0.0010604453870625664;0.01166489925768823;0.0010604453870625664;0.008483563096500531;0.0042417815482502655;0.018027571580063628;0.0021208907741251328;0.0010604453870625664;0.0;0.0;0.0010604453870625664;0.0;0.0;0.0021208907741251328;0.003181336161187699;0.0;0.0021208907741251328;0.0;0.029692470837751856;0.0010604453870625664;0.003181336161187699;0.0;0.0;0.0;0.0010604453870625664;0.0;0.007423117709437964;0.0010604453870625664;0.0042417815482502655;0.0;0.007423117709437964;0.005302226935312832;0.0;0.006362672322375398;0.018027571580063628;0.007423117709437964;0.0;0.0;0.051961823966065745;0.0042417815482502655;0.0042417815482502655;0.0021208907741251328;0.005302226935312832;0.014846235418875928;0.006362672322375398;0.0;0.0021208907741251328;0.0010604453870625664;0.036055143160127257;0.0;0.013785790031813362;0.0;0.0;0.007423117709437964;0.0;0.0021208907741251328;0.005302226935312832;0.0;0.008483563096500531;0.0;0.0;0.0;0.003181336161187699;0.0;0.0;0.0;0.0;0.0;0.0021208907741251328;0.0;0.0;0.0010604453870625664;0.0010604453870625664;0.03499469777306469;0.006362672322375398;0.0;0.0021208907741251328;0.030752916224814422;0.013785790031813362;0.0;0.0010604453870625664;0.033934252386002124;0.015906680805938492;0.006362672322375398;0.0042417815482502655;0.008483563096500531;0.03499469777306469;0.0042417815482502655;0.010604453870625663;0.0;0.0010604453870625664;0.0010604453870625664;0.003181336161187699;0.005302226935312832;0.0;0.008483563096500531;0.006362672322375398;0.015906680805938492;0.0;0.003181336161187699;0.0;0.0;0.009544008483563097;0.0;0.0010604453870625664;0.0010604453870625664;0.013785790031813362;0.022269353128313893;0.005302226935312832;0.006362672322375398;0.0010604453870625664;0.007423117709437964;0.0;0.0;0.0042417815482502655;0.0;0.0;0.0;0.0;0.007423117709437964;0.0010604453870625664;0.0021208907741251328;0.0;0.0042417815482502655;0.0;0.04772004241781548
La forma del agua.txt;0.012539184952978056;0.0;0.0;0.003134796238244514;0.003134796238244514;0.0;0.0;0.0219435736677116;0.0;0.003134796238244514;0.0;0.0;0.0;0.08150470219435736;0.018808777429467086;0.0;0.0;0.0;0.018808777429467086;0.0;0.006269592476489028;0.06269592476489028;0.003134796238244514;0.0;0.012539184952978056;0.003134796238244514;0.0;0.0;0.0;0.0;0.0;0.006269592476489028;0.01567398119122257;0.003134796238244514;0.0;0.003134796238244514;0.006269592476489028;0.0;0.0;0.009404388714733543;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003134796238244514;0.009404388714733543;0.0;0.0;0.0;0.0;0.006269592476489028;0.0;0.0;0.0;0.0219435736677116;0.003134796238244514;0.003134796238244514;0.003134796238244514;0.003134796238244514;0.0;0.003134796238244514;0.0;0.0;0.0;0.0;0.0;0.01567398119122257;0.012539184952978056;0.0;0.006269592476489028;0.0;0.0;0.0;0.003134796238244514;0.0;0.0;0.0;0.0;0.0;0.006269592476489028;0.0;0.009404388714733543;0.0;0.009404388714733543;0.006269592476489028;0.0;0.009404388714733543;0.006269592476489028;0.006269592476489028;0.0;0.0;0.08463949843260188;0.0;0.006269592476489028;0.0;0.0;0.0219435736677116;0.01567398119122257;0.0;0.0;0.0;0.07836990595611286;0.0;0.012539184952978056;0.006269592476489028;0.0;0.018808777429467086;0.0;0.006269592476489028;0.006269592476489028;0.0;0.009404388714733543;0.0;0.0;0.0;0.0;0.0;0.0;0.003134796238244514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.06583072100313479;0.006269592476489028;0.0;0.003134796238244514;0.009404388714733543;0.009404388714733543;0.003134796238244514;0.0;0.012539184952978056;0.003134796238244514;0.006269592476489028;0.003134796238244514;0.0;0.003134796238244514;0.0;0.003134796238244514;0.003134796238244514;0.0;0.0;0.009404388714733543;0.0;0.0;0.006269592476489028;0.006269592476489028;0.012539184952978056;0.0;0.0;0.0;0.0;0.0;0.003134796238244514;0.0;0.047021943573667714;0.012539184952978056;0.018808777429467086;0.003134796238244514;0.003134796238244514;0.003134796238244514;0.003134796238244514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006269592476489028;0.0;0.003134796238244514;0.0;0.0;0.0;0.018808777429467086
Espejismo de amor.txt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285
Fuego en la nieve (película).txt;0.015384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0.0;0.05384615384615385;0.007692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007692307692307693;0.007692307692307693;0.0;0.0;0.015384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038461538461538464;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007692307692307693;0.0;0.023076923076923078;0.0;0.0;0.0;0.0;0.0;0.007692307692307693;0.0;0.0;0.0;0.007692307692307693;0.015384615384615385;0.0;0.015384615384615385;0.03076923076923077;0.0;0.0;0.0;0.046153846153846156;0.0;0.007692307692307693;0.0;0.007692307692307693;0.03076923076923077;0.007692307692307693;0.0;0.007692307692307693;0.0;0.03076923076923077;0.0;0.0;0.0;0.0;0.0;0.015384615384615385;0.0;0.0;0.007692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023076923076923078;0.0;0.0;0.0;0.0;0.023076923076923078;0.0;0.0;0.0;0.023076923076923078;0.015384615384615385;0.0;0.0;0.0;0.015384615384615385;0.09230769230769231;0.007692307692307693;0.007692307692307693;0.06153846153846154;0.0;0.023076923076923078;0.007692307692307693;0.0;0.0;0.0;0.0;0.0;0.023076923076923078;0.007692307692307693;0.015384615384615385;0.0;0.0;0.0;0.0;0.0;0.007692307692307693;0.0;0.023076923076923078;0.007692307692307693;0.023076923076923078;0.0;0.007692307692307693;0.007692307692307693;0.0;0.0;0.0;0.007692307692307693;0.0;0.0;0.0;0.0;0.023076923076923078;0.0;0.0;0.0;0.007692307692307693;0.0;0.08461538461538462
Hugo (película).txt;0.00865051903114187;0.0;0.0;0.0034602076124567475;0.0;0.0017301038062283738;0.0017301038062283738;0.025951557093425604;0.0;0.005190311418685121;0.0;0.005190311418685121;0.0;0.10207612456747404;0.00865051903114187;0.0;0.0;0.0;0.0017301038062283738;0.0;0.0;0.01384083044982699;0.0;0.0017301038062283738;0.005190311418685121;0.00865051903114187;0.0;0.0;0.0;0.0;0.0;0.01384083044982699;0.006920415224913495;0.010380622837370242;0.00865051903114187;0.0034602076124567475;0.005190311418685121;0.0;0.0;0.0;0.0017301038062283738;0.0;0.0;0.0;0.0;0.0;0.0;0.0017301038062283738;0.0034602076124567475;0.00865051903114187;0.0017301038062283738;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01384083044982699;0.0017301038062283738;0.0034602076124567475;0.005190311418685121;0.005190311418685121;0.0017301038062283738;0.005190311418685121;0.0;0.0017301038062283738;0.0034602076124567475;0.0;0.0;0.04498269896193772;0.006920415224913495;0.0;0.015570934256055362;0.0;0.02249134948096886;0.0017301038062283738;0.0;0.0;0.0;0.0;0.0;0.0;0.00865051903114187;0.0;0.05190311418685121;0.0;0.0034602076124567475;0.006920415224913495;0.0;0.0034602076124567475;0.00865051903114187;0.0017301038062283738;0.0;0.0017301038062283738;0.04498269896193772;0.005190311418685121;0.0034602076124567475;0.0;0.005190311418685121;0.0328719723183391;0.0;0.0;0.0;0.0;0.08131487889273356;0.0;0.020761245674740483;0.0;0.005190311418685121;0.015570934256055362;0.005190311418685121;0.012110726643598616;0.0;0.0;0.0034602076124567475;0.0;0.0;0.0;0.0;0.0;0.0;0.005190311418685121;0.0;0.0;0.0;0.0;0.0;0.0017301038062283738;0.0;0.020761245674740483;0.01384083044982699;0.0;0.006920415224913495;0.00865051903114187;0.006920415224913495;0.0;0.0;0.006920415224913495;0.025951557093425604;0.0017301038062283738;0.0;0.0;0.025951557093425604;0.0034602076124567475;0.006920415224913495;0.0017301038062283738;0.0;0.0;0.0017301038062283738;0.005190311418685121;0.0;0.01384083044982699;0.006920415224913495;0.006920415224913495;0.0;0.0017301038062283738;0.0;0.0;0.00865051903114187;0.0;0.0;0.010380622837370242;0.012110726643598616;0.02422145328719723;0.0;0.005190311418685121;0.0017301038062283738;0.005190311418685121;0.0;0.0;0.006920415224913495;0.0;0.0;0.0;0.0;0.012110726643598616;0.0034602076124567475;0.0017301038062283738;0.0;0.0034602076124567475;0.0;0.01730103806228374
