,NN,NNP,NNS,NNPS,JJ,JJR,JJS,V
Quo Vadis (1951).txt,0.3185840707964602,0.1592920353982301,0.07079646017699115,0.0,0.09734513274336283,0.008849557522123894,0.0,0.34513274336283184
A Room with a View.txt,0.1875,0.21875,0.0,0.0,0.1875,0.0,0.0,0.40625
A Divorciada.txt,0.4375,0.0,0.0,0.0,0.1875,0.0,0.0625,0.3125
Spotlight (filme).txt,0.25,0.21323529411764705,0.10294117647058823,0.0,0.051470588235294115,0.007352941176470588,0.0,0.375
All the President's Men.txt,0.29545454545454547,0.12121212121212122,0.09848484848484848,0.0,0.16666666666666666,0.007575757575757576,0.0,0.3106060606060606
Barry Lyndon.txt,0.2916666666666667,0.10833333333333334,0.075,0.0,0.14166666666666666,0.0,0.0,0.38333333333333336
A Lista de Schindler.txt,0.2624113475177305,0.18439716312056736,0.14184397163120568,0.0070921985815602835,0.06382978723404255,0.0070921985815602835,0.0,0.3333333333333333
Por Quem os Sinos Dobram (filme).txt,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.25,0.0,0.0,0.25
Moulin Rouge (1952).txt,0.3017241379310345,0.28448275862068967,0.08620689655172414,0.0,0.08620689655172414,0.0,0.0,0.2413793103448276
"Three Billboards Outside Ebbing, Missouri.txt",0.3235294117647059,0.23529411764705882,0.08823529411764706,0.0,0.11764705882352941,0.0,0.0,0.23529411764705882
Hacksaw Ridge.txt,0.3546099290780142,0.15602836879432624,0.06382978723404255,0.0,0.07801418439716312,0.0,0.0,0.3475177304964539
Nicholas and Alexandra.txt,0.27450980392156865,0.1437908496732026,0.1111111111111111,0.0,0.16993464052287582,0.0,0.0,0.3006535947712418
Jerry Maguire.txt,0.42857142857142855,0.07936507936507936,0.015873015873015872,0.0,0.15873015873015872,0.0,0.0,0.31746031746031744
Bugsy.txt,0.3448275862068966,0.3103448275862069,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.2413793103448276
Munique (filme).txt,0.24050632911392406,0.33544303797468356,0.12658227848101267,0.0,0.06329113924050633,0.0,0.0,0.23417721518987342
O Senhor dos Anéis: As Duas Torres.txt,0.19008264462809918,0.36363636363636365,0.049586776859504134,0.024793388429752067,0.06611570247933884,0.0,0.0,0.30578512396694213
