,N,J,V
Quo Vadis (1951).txt,0.21160409556313994,0.040955631399317405,0.13310580204778158
A Room with a View.txt,0.22033898305084745,0.1016949152542373,0.22033898305084745
A Divorciada.txt,0.23333333333333334,0.13333333333333333,0.16666666666666666
Spotlight (filme).txt,0.19743589743589743,0.020512820512820513,0.13076923076923078
All the President's Men.txt,0.2118380062305296,0.07165109034267912,0.1277258566978193
Barry Lyndon.txt,0.19322033898305085,0.0576271186440678,0.15593220338983052
A Lista de Schindler.txt,0.08832807570977919,0.010515247108307046,0.04942166140904311
Por Quem os Sinos Dobram (filme).txt,0.35294117647058826,0.17647058823529413,0.17647058823529413
Moulin Rouge (1952).txt,0.29545454545454547,0.03787878787878788,0.10606060606060606
"Three Billboards Outside Ebbing, Missouri.txt",0.34375,0.0625,0.125
Hacksaw Ridge.txt,0.0983009708737864,0.013349514563106795,0.05946601941747573
Nicholas and Alexandra.txt,0.11376404494382023,0.03651685393258427,0.06460674157303371
Jerry Maguire.txt,0.22,0.06666666666666667,0.13333333333333333
Bugsy.txt,0.39215686274509803,0.0392156862745098,0.13725490196078433
Munique (filme).txt,0.21936758893280633,0.019762845849802372,0.07312252964426877
O Senhor dos Anéis: As Duas Torres.txt,0.11968503937007874,0.012598425196850394,0.05826771653543307
Five Star Final.txt,0.24528301886792453,0.03773584905660377,0.20754716981132076
The Towering Inferno.txt,0.3087248322147651,0.04697986577181208,0.15436241610738255
In Old Chicago.txt,0.2074468085106383,0.026595744680851064,0.15425531914893617
Mr. Smith Goes to Washington.txt,0.2987012987012987,0.03896103896103896,0.14285714285714285
Midnight Cowboy.txt,0.29850746268656714,0.07462686567164178,0.16417910447761194
Laços de Ternura.txt,0.22641509433962265,0.05660377358490566,0.16981132075471697
The Godfather Part II.txt,0.2899628252788104,0.03717472118959108,0.13382899628252787
Minari.txt,0.2558139534883721,0.13953488372093023,0.046511627906976744
Um Sonho Possível.txt,0.13590844062947066,0.01430615164520744,0.07725321888412018
The Broadway Melody.txt,0.4411764705882353,0.08823529411764706,0.11764705882352941
Hamlet (filme de 1948).txt,0.1807511737089202,0.014084507042253521,0.12206572769953052
Field of Dreams.txt,0.18811881188118812,0.052805280528052806,0.15841584158415842
East Lynne (1931).txt,0.30303030303030304,0.09090909090909091,0.12121212121212122
Kramer vs. Kramer.txt,0.25609756097560976,0.024390243902439025,0.15853658536585366
To Kill a Mockingbird (filme).txt,0.3055555555555556,0.09259259259259259,0.12037037037037036
Um Lugar no Coração.txt,0.3,0.016666666666666666,0.18333333333333332
12 Angry Men.txt,0.17777777777777778,0.05555555555555555,0.2111111111111111
As Quatro Irmãs.txt,0.3333333333333333,0.06060606060606061,0.18181818181818182
Os Emigrantes.txt,0.4,0.04,0.08
From Here to Eternity.txt,0.26900584795321636,0.04093567251461988,0.1111111111111111
The Yearling.txt,0.22916666666666666,0.020833333333333332,0.1875
Gone with the Wind.txt,0.06610878661087866,0.005857740585774059,0.042677824267782424
Seven Brides for Seven Brothers.txt,0.26153846153846155,0.038461538461538464,0.13846153846153847
Philomena.txt,0.2711864406779661,0.0423728813559322,0.1440677966101695
The Shawshank Redemption.txt,0.10869565217391304,0.015345268542199489,0.07033248081841433
"All This, and Heaven Too.txt",0.3,0.03333333333333333,0.1111111111111111
On Golden Pond.txt,0.2987012987012987,0.05194805194805195,0.11688311688311688
Uma Mente Brilhante.txt,0.275,0.05,0.15
O Turista Acidental.txt,0.26666666666666666,0.11666666666666667,0.1
Friendly Persuasion.txt,0.32142857142857145,0.03571428571428571,0.08928571428571429
Silver Linings Playbook.txt,0.22727272727272727,0.045454545454545456,0.2727272727272727
Winter's Bone.txt,0.13774597495527727,0.016100178890876567,0.10912343470483005
JFK (filme).txt,0.4,0.13333333333333333,0.13333333333333333
Lilies of the Field (1963).txt,0.2972972972972973,0.05405405405405406,0.21621621621621623
Elvis (filme de 2022).txt,0.3333333333333333,0.06896551724137931,0.05747126436781609
Judgment at Nuremberg.txt,0.30434782608695654,0.043478260869565216,0.18840579710144928
Double Indemnity.txt,0.2,0.046153846153846156,0.18461538461538463
Prizzi's Honor.txt,0.24,0.04,0.18
Julia (filme).txt,0.2366412213740458,0.03816793893129771,0.19083969465648856
Capitão Phillips.txt,0.12376933895921238,0.014064697609001406,0.07032348804500703
Green Book.txt,0.14480408858603067,0.03236797274275979,0.08347529812606473
The Big House.txt,0.27692307692307694,0.046153846153846156,0.23076923076923078
Little Women (2019).txt,0.12563667232597622,0.030560271646859084,0.07979626485568761
Mank (filme).txt,0.4262295081967213,0.04918032786885246,0.04918032786885246
Arrival (filme).txt,0.3253968253968254,0.031746031746031744,0.12698412698412698
Rain Man.txt,0.20481927710843373,0.024096385542168676,0.20481927710843373
Erin Brockovich (filme).txt,0.38,0.02,0.18
Perfume de Mulher (1992).txt,0.3333333333333333,0.1111111111111111,0.1388888888888889
The Hurt Locker.txt,0.34615384615384615,0.05128205128205128,0.07692307692307693
Heaven Can Wait (1943).txt,0.23214285714285715,0.03571428571428571,0.19642857142857142
Out of Africa.txt,0.1206896551724138,0.03761755485893417,0.06426332288401254
Goodfellas.txt,0.41818181818181815,0.05454545454545454,0.12727272727272726
No Country for Old Men (filme).txt,0.10133630289532294,0.005567928730512249,0.052338530066815145
Gosford Park.txt,0.3523809523809524,0.047619047619047616,0.10476190476190476
The Cider House Rules.txt,0.16987179487179488,0.03205128205128205,0.15384615384615385
The Godfather.txt,0.1019036954087346,0.012318029115341545,0.051511758118701005
O Segredo de Brokeback Mountain.txt,0.05386949924127466,0.007587253414264037,0.0417298937784522
The Sound of Music.txt,0.2222222222222222,0.040740740740740744,0.15185185185185185
Guess Who's Coming to Dinner.txt,0.2826086956521739,0.05434782608695652,0.11956521739130435
Giant (filme).txt,0.27472527472527475,0.01098901098901099,0.15384615384615385
Era uma Vez em... Hollywood.txt,0.15021459227467812,0.01430615164520744,0.07582260371959942
Chocolate (filme).txt,0.2727272727272727,0.09090909090909091,0.18181818181818182
How Green Was My Valley.txt,0.27007299270072993,0.043795620437956206,0.145985401459854
O Diário de Anne Frank.txt,0.22297297297297297,0.033783783783783786,0.14189189189189189
A Forma da Água.txt,0.4166666666666667,0.08333333333333333,0.13333333333333333
Up (filme).txt,0.08958566629339305,0.010078387458006719,0.06159014557670773
A Star Is Born (1937).txt,0.18089430894308944,0.042682926829268296,0.10772357723577236
Quatro Casamentos e Um Funeral.txt,0.25,0.0,0.1388888888888889
O Resgate do Soldado Ryan.txt,0.0935430463576159,0.005794701986754967,0.0380794701986755
Roman Holiday.txt,0.1568627450980392,0.058823529411764705,0.23529411764705882
The Snake Pit.txt,0.22560975609756098,0.04878048780487805,0.15853658536585366
Hold Back the Dawn.txt,0.2805755395683453,0.06474820143884892,0.12949640287769784
Dunkirk (filme).txt,0.06797116374871266,0.007209062821833162,0.055612770339855816
Gravidade (filme).txt,0.1035548686244204,0.013910355486862442,0.08346213292117466
O Leitor.txt,0.13114754098360656,0.006830601092896175,0.07377049180327869
Meia-Noite em Paris.txt,0.3082706766917293,0.06015037593984962,0.11278195488721804
The Wizard of Oz (1939).txt,0.10824742268041238,0.014175257731958763,0.06443298969072164
O Veredicto.txt,0.225,0.125,0.175
The Barretts of Wimpole Street.txt,0.29411764705882354,0.0196078431372549,0.17647058823529413
Asas (filme).txt,0.3684210526315789,0.02631578947368421,0.15789473684210525
Viskningar och rop.txt,0.34782608695652173,0.07246376811594203,0.10144927536231885
Slumdog Millionaire.txt,0.19256756756756757,0.016891891891891893,0.12837837837837837
Marty.txt,0.2,0.06153846153846154,0.13846153846153847
Cimarron (1931).txt,0.3333333333333333,0.037037037037037035,0.037037037037037035
Missing - O Desaparecido.txt,0.28286852589641437,0.027888446215139442,0.11952191235059761
