;Damaging and destroying;Fixing and mending;Suitability;Suitable;Caution;Chance, luck;Lucky;Generally kinds, groups, examples;"Particular/general; detail";Detailed;General;Evaluation: Good/bad;"Getting and giving; possession";Getting and possession;Giving;"Open/closed; Hiding/Hidden; Finding; Showing";"Open; Finding; Showing";"Closed; Hiding/Hidden";Safety/Danger;Safe;Danger;Anatomy and physiology;Health and disease;Healthy;Disease;Medicines and medical treatment;Without medical treatment;Cleaning and personal care;Clean;Dirty;Clothes and personal belongings;Arts and crafts;Emotional Actions, States And Processes General;Emotional;Calm/Violent/Angry;Calm;Violent/Angry;Happiness and Contentment;Happy/sad;Happy;Sad;Contentment;Content;Discontent;Bravery and Fear;Bravery;Fear/shock;Worry and confidence;Confident;Worry;Food;Abundance of food;Lack of food;Drinks and alcohol;Excessive drinking;Smoking and non-medical drugs;Smoking and drugs abuse;Non-smoking / no use of drugs;Farming & Horticulture;Government and Politics;Government;Politics;Crime, law and order;Law and order;Lawful;Crime;General ethics;Ethical;Unethical;"Warfare, defence and the army; weapons";Anti-war;Architecture, houses and buildings;Parts of buildings;Areas around or near houses;Residence;Furniture and household fittings;Money generally;Money: Cost and price;Business;Non-commercial;Work and employment;Work and employment: Professionalism;Professional;Industry;Entertainment generally;Music and related activities;Drama, the theatre and show business;Sports and games generally;Sports;Games;Children’s games and toys;Life and living things;Dead;Living creatures: animals, birds, etc.;No living creatures;Plants;Moving, coming and going;Putting, pulling, pushing, transporting;Vehicles and transport on land;Sailing, swimming, etc.;Flying and aircraft;Places;General appearance and physical properties;Judgement of appearance;Judgement of appearance: Beautiful;Judgement of appearance: Ugly;Education in general;"Linguistic Actions, States And Processes; Communication";Paper documents and writing;Telecommunications;The Media;The Media: Books;The Media: Newspapers etc.;The Media: TV, Radio and Cinema;Personality traits;Approachability and Friendliness;Informal/Friendly;Formal/Unfriendly;Avarice;Greedy;Generous;Egoism;Selfish;Politeness;Polite;"Toughness; strong/weak";Tough/strong;Weak;Common sense;Sensible;Foolish;People;People: Female;Not feminine;People: Male;Relationship;Relationship: Intimacy and sex;Relationship: Sexual;Relationship: Asexual;Kin;Groups and affiliation;Belonging to a group;Not part of a group;Obligation and necessity;Power relationship;Power, organizing;In power;Respect;Respected;Competition;Permission;Allowed;Helping/hindering;Helping;Hindering;Religion and the supernatural;Non-religious;The universe;Light;Darkness;Geographical terms;Weather;Green issues;Psychological Actions, States And Processes;Mental actions and processes;Thought, belief;Knowledge;Knowledgeable;Learn;Investigate, examine, test, search;Understand;Expect;Sensory;Interest/boredom/excited/energetic;"Wanting; planning; choosing";Ability and intelligence;Success and failure;Success;Failure;Science and technology in general;Anti-scientific;Information technology and computing;Low-tech;Geographical names
Quo Vadis (1951).txt;0.007936507936507936;0.0;0.0;0.007936507936507936;0.0;0.007936507936507936;0.0;0.023809523809523808;0.0;0.023809523809523808;0.0;0.0;0.0;0.023809523809523808;0.023809523809523808;0.0;0.0;0.0;0.0;0.0;0.007936507936507936;0.015873015873015872;0.0;0.0;0.007936507936507936;0.023809523809523808;0.0;0.031746031746031744;0.0;0.0;0.007936507936507936;0.03968253968253968;0.007936507936507936;0.0;0.0;0.0;0.031746031746031744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.031746031746031744;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007936507936507936;0.0;0.007936507936507936;0.0;0.015873015873015872;0.015873015873015872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007936507936507936;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007936507936507936;0.015873015873015872;0.047619047619047616;0.007936507936507936;0.015873015873015872;0.0;0.0;0.0;0.0;0.015873015873015872;0.0;0.0;0.0;0.015873015873015872;0.007936507936507936;0.0;0.0;0.03968253968253968;0.031746031746031744;0.0;0.031746031746031744;0.0;0.023809523809523808;0.0;0.007936507936507936;0.007936507936507936;0.015873015873015872;0.007936507936507936;0.0;0.007936507936507936;0.015873015873015872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007936507936507936;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023809523809523808;0.0;0.007936507936507936;0.007936507936507936;0.0;0.0;0.015873015873015872;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05555555555555555;0.031746031746031744;0.023809523809523808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015873015873015872;0.0;0.0;0.0;0.007936507936507936;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015873015873015872;0.0;0.007936507936507936;0.0;0.007936507936507936;0.0;0.06349206349206349
A Room with a View.txt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024390243902439025;0.024390243902439025;0.0;0.0;0.0;0.0;0.0;0.0;0.024390243902439025;0.0;0.0;0.024390243902439025;0.0;0.0;0.0;0.0;0.0;0.024390243902439025;0.0;0.024390243902439025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024390243902439025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024390243902439025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024390243902439025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04878048780487805;0.04878048780487805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.024390243902439025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04878048780487805;0.0;0.0;0.0;0.0;0.0;0.0;0.0975609756097561;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07317073170731707;0.0;0.0;0.0;0.024390243902439025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04878048780487805;0.0;0.024390243902439025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04878048780487805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04878048780487805;0.0;0.0;0.0;0.0;0.0;0.24390243902439024
A Divorciada.txt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0
Spotlight (filme).txt;0.004672897196261682;0.0;0.0;0.0;0.0;0.0;0.0;0.014018691588785047;0.0;0.0;0.0;0.018691588785046728;0.0;0.02336448598130841;0.009345794392523364;0.0;0.0;0.0;0.0;0.0;0.009345794392523364;0.009345794392523364;0.018691588785046728;0.0;0.009345794392523364;0.018691588785046728;0.0;0.0;0.0;0.0;0.004672897196261682;0.037383177570093455;0.0;0.0;0.0;0.004672897196261682;0.018691588785046728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014018691588785047;0.0;0.004672897196261682;0.0;0.009345794392523364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009345794392523364;0.009345794392523364;0.0;0.04205607476635514;0.0;0.0;0.004672897196261682;0.018691588785046728;0.009345794392523364;0.0;0.0;0.0;0.014018691588785047;0.0;0.0;0.014018691588785047;0.018691588785046728;0.018691588785046728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009345794392523364;0.004672897196261682;0.014018691588785047;0.009345794392523364;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03271028037383177;0.009345794392523364;0.004672897196261682;0.009345794392523364;0.0;0.018691588785046728;0.004672897196261682;0.0;0.02336448598130841;0.0;0.037383177570093455;0.0;0.06542056074766354;0.018691588785046728;0.03271028037383177;0.009345794392523364;0.037383177570093455;0.0;0.004672897196261682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014018691588785047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009345794392523364;0.0;0.0;0.0;0.0;0.018691588785046728;0.004672897196261682;0.0;0.0;0.0;0.014018691588785047;0.0;0.004672897196261682;0.0;0.0;0.0;0.0;0.037383177570093455;0.009345794392523364;0.004672897196261682;0.0;0.0;0.0;0.0;0.0;0.004672897196261682;0.0;0.0;0.0;0.004672897196261682;0.004672897196261682;0.03271028037383177;0.0;0.028037383177570093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009345794392523364;0.0;0.0;0.0;0.06542056074766354;0.0;0.0
All the President's Men.txt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01951219512195122;0.0;0.01951219512195122;0.0;0.0;0.0;0.04878048780487805;0.004878048780487805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004878048780487805;0.004878048780487805;0.004878048780487805;0.03902439024390244;0.0;0.0;0.0;0.0;0.0;0.01951219512195122;0.0;0.004878048780487805;0.0;0.0;0.024390243902439025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01951219512195122;0.0;0.0;0.0;0.014634146341463415;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004878048780487805;0.0;0.00975609756097561;0.024390243902439025;0.0;0.05853658536585366;0.0;0.004878048780487805;0.0;0.024390243902439025;0.00975609756097561;0.0;0.0;0.00975609756097561;0.0;0.0;0.0;0.0;0.00975609756097561;0.004878048780487805;0.004878048780487805;0.0;0.0;0.0;0.0;0.0;0.0;0.014634146341463415;0.00975609756097561;0.014634146341463415;0.004878048780487805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014634146341463415;0.014634146341463415;0.004878048780487805;0.0;0.0;0.01951219512195122;0.02926829268292683;0.0;0.01951219512195122;0.004878048780487805;0.014634146341463415;0.0;0.03414634146341464;0.00975609756097561;0.024390243902439025;0.0;0.014634146341463415;0.03902439024390244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014634146341463415;0.0;0.0;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004878048780487805;0.024390243902439025;0.0;0.0;0.004878048780487805;0.0;0.00975609756097561;0.0;0.0;0.0;0.004878048780487805;0.02926829268292683;0.0;0.0;0.0;0.0;0.00975609756097561;0.0;0.03414634146341464;0.014634146341463415;0.0;0.0;0.0;0.0;0.0;0.004878048780487805;0.00975609756097561;0.0;0.0;0.004878048780487805;0.07804878048780488;0.014634146341463415;0.0;0.0;0.01951219512195122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02926829268292683;0.0;0.0
Barry Lyndon.txt;0.012269938650306749;0.0;0.0;0.0;0.0;0.0;0.0;0.006134969325153374;0.0;0.012269938650306749;0.006134969325153374;0.012269938650306749;0.0;0.012269938650306749;0.024539877300613498;0.0;0.0;0.0;0.0;0.0;0.0;0.012269938650306749;0.0;0.018404907975460124;0.03067484662576687;0.018404907975460124;0.0;0.0;0.0;0.0;0.012269938650306749;0.0;0.0;0.006134969325153374;0.0;0.006134969325153374;0.049079754601226995;0.0;0.0;0.0;0.012269938650306749;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04294478527607362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006134969325153374;0.006134969325153374;0.0;0.0;0.0;0.006134969325153374;0.0;0.024539877300613498;0.0;0.0;0.0;0.006134969325153374;0.0;0.0;0.012269938650306749;0.0;0.006134969325153374;0.006134969325153374;0.0;0.0;0.0;0.0;0.0;0.0;0.012269938650306749;0.024539877300613498;0.012269938650306749;0.012269938650306749;0.006134969325153374;0.0;0.0;0.0;0.0;0.006134969325153374;0.0;0.0;0.018404907975460124;0.012269938650306749;0.006134969325153374;0.0;0.0;0.018404907975460124;0.012269938650306749;0.0;0.018404907975460124;0.012269938650306749;0.006134969325153374;0.0;0.03067484662576687;0.0;0.0;0.0;0.0;0.024539877300613498;0.0;0.0;0.04294478527607362;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006134969325153374;0.0;0.0;0.0;0.0;0.03680981595092025;0.0;0.0;0.006134969325153374;0.0;0.012269938650306749;0.006134969325153374;0.0;0.0;0.0;0.012269938650306749;0.0;0.0;0.0;0.0;0.012269938650306749;0.0;0.06748466257668712;0.006134969325153374;0.006134969325153374;0.0;0.0;0.0;0.0;0.018404907975460124;0.012269938650306749;0.0;0.0;0.006134969325153374;0.04294478527607362;0.0;0.012269938650306749;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012269938650306749;0.0;0.0;0.0;0.012269938650306749;0.0;0.06748466257668712
A Lista de Schindler.txt;0.010852713178294573;0.0;0.0;0.0;0.0015503875968992248;0.010852713178294573;0.0;0.018604651162790697;0.0;0.007751937984496124;0.0;0.0015503875968992248;0.0;0.02635658914728682;0.020155038759689922;0.0;0.0;0.0;0.0;0.0015503875968992248;0.0;0.021705426356589147;0.0;0.0;0.004651162790697674;0.017054263565891473;0.0;0.0;0.0;0.0;0.009302325581395349;0.013953488372093023;0.0031007751937984496;0.0;0.0;0.0031007751937984496;0.012403100775193798;0.0;0.0;0.0015503875968992248;0.0031007751937984496;0.0;0.0015503875968992248;0.0;0.0;0.0;0.004651162790697674;0.0;0.0031007751937984496;0.004651162790697674;0.006201550387596899;0.0;0.0;0.0031007751937984496;0.0;0.0015503875968992248;0.0;0.0;0.006201550387596899;0.0;0.0015503875968992248;0.0015503875968992248;0.0031007751937984496;0.013953488372093023;0.0015503875968992248;0.0;0.0;0.021705426356589147;0.004651162790697674;0.0;0.0;0.007751937984496124;0.004651162790697674;0.031007751937984496;0.0;0.0015503875968992248;0.010852713178294573;0.004651162790697674;0.0;0.0;0.0;0.0;0.0;0.0;0.004651162790697674;0.02635658914728682;0.015503875968992248;0.0031007751937984496;0.023255813953488372;0.006201550387596899;0.0;0.0;0.017054263565891473;0.0;0.0;0.010852713178294573;0.018604651162790697;0.018604651162790697;0.009302325581395349;0.006201550387596899;0.0;0.04961240310077519;0.0031007751937984496;0.0;0.031007751937984496;0.0;0.006201550387596899;0.0;0.018604651162790697;0.0015503875968992248;0.017054263565891473;0.031007751937984496;0.0015503875968992248;0.012403100775193798;0.004651162790697674;0.0;0.0015503875968992248;0.0;0.0;0.0;0.0;0.0;0.018604651162790697;0.0;0.004651162790697674;0.0;0.0031007751937984496;0.0;0.0;0.0;0.0;0.0;0.009302325581395349;0.0;0.0;0.0;0.004651162790697674;0.0;0.0;0.0;0.0;0.015503875968992248;0.013953488372093023;0.0;0.0;0.0015503875968992248;0.007751937984496124;0.0;0.0;0.013953488372093023;0.0;0.013953488372093023;0.0;0.08217054263565891;0.007751937984496124;0.018604651162790697;0.0;0.007751937984496124;0.0015503875968992248;0.0015503875968992248;0.017054263565891473;0.009302325581395349;0.0;0.0;0.0;0.010852713178294573;0.0015503875968992248;0.009302325581395349;0.0;0.006201550387596899;0.0;0.0;0.0;0.0;0.0;0.0;0.013953488372093023;0.013953488372093023;0.0031007751937984496;0.0;0.0;0.009302325581395349;0.0;0.012403100775193798
Por Quem os Sinos Dobram (filme).txt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.21739130434782608;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13043478260869565;0.0;0.043478260869565216;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043478260869565216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.17391304347826086
Moulin Rouge (1952).txt;0.006578947368421052;0.0;0.0;0.0;0.0;0.013157894736842105;0.0;0.013157894736842105;0.0;0.0;0.0;0.013157894736842105;0.0;0.019736842105263157;0.019736842105263157;0.0;0.0;0.0;0.0;0.0;0.0;0.019736842105263157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03289473684210526;0.039473684210526314;0.0;0.0;0.0;0.006578947368421052;0.0;0.0;0.0;0.006578947368421052;0.0;0.0;0.0;0.0;0.0;0.006578947368421052;0.0;0.0;0.006578947368421052;0.0;0.0;0.0;0.0;0.013157894736842105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013157894736842105;0.013157894736842105;0.006578947368421052;0.0;0.039473684210526314;0.006578947368421052;0.0;0.0;0.07894736842105263;0.0;0.0;0.0;0.0;0.013157894736842105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03289473684210526;0.019736842105263157;0.013157894736842105;0.0;0.006578947368421052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.019736842105263157;0.02631578947368421;0.013157894736842105;0.0;0.0;0.006578947368421052;0.03289473684210526;0.0;0.06578947368421052;0.0;0.0;0.0;0.019736842105263157;0.0;0.0;0.02631578947368421;0.0;0.006578947368421052;0.0;0.0;0.006578947368421052;0.0;0.0;0.0;0.0;0.0;0.02631578947368421;0.0;0.0;0.0;0.013157894736842105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006578947368421052;0.019736842105263157;0.0;0.0;0.013157894736842105;0.0;0.0;0.02631578947368421;0.0;0.0;0.006578947368421052;0.013157894736842105;0.0;0.0;0.0;0.0;0.006578947368421052;0.0;0.02631578947368421;0.006578947368421052;0.013157894736842105;0.0;0.0;0.0;0.0;0.019736842105263157;0.0;0.0;0.0;0.0;0.006578947368421052;0.0;0.039473684210526314;0.0;0.013157894736842105;0.0;0.0;0.006578947368421052;0.0;0.0;0.0;0.0;0.019736842105263157;0.0;0.0;0.0;0.019736842105263157;0.0;0.013157894736842105
Three Billboards Outside Ebbing, Missouri.txt;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;0.025;0.0;0.0;0.0;0.025;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.025;0.0;0.075;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.025;0.0;0.025;0.0;0.0;0.075;0.0;0.0;0.075;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.0;0.0;0.05;0.0;0.0;0.025;0.025;0.0;0.0;0.0;0.0;0.025;0.0;0.05;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.0;0.0;0.0
