NOME;LINKS;REFERENCES;CONTENT
Wings (1927 film);324;67;23075
The Racket (1928 film);130;14;3710
7th Heaven (1927 film);160;22;8680
The Broadway Melody;320;20;11527
In Old Arizona;152;15;4173
The Hollywood Revue;210;12;7886
The Patriot (1928 film);92;15;3023
Alibi (1929 film);37;7;2673
All Quiet on the Western Front (1930 film);254;39;13861
The Big House (1930 film);161;13;7716
Disraeli (1929 film);151;17;6347
The Divorcee;231;8;4010
The Love Parade;100;18;4224
Cimarron (1931 film);253;31;10743
East Lynne (1931 film);142;14;3095
The Front Page (1931 film);193;18;6563
Skippy (film);111;7;3815
Trader Horn (1931 film);216;11;3813
Grand Hotel (1932 film);287;22;11336
Arrowsmith (film);263;7;6346
Bad Girl (1931 film);144;19;11591
The Champ (1931 film);214;16;9527
Five Star Final;124;13;6829
One Hour with You;115;10;3463
Shanghai Express (film);76;19;6932
The Smiling Lieutenant;110;7;5289
Cavalcade (1933 film);386;23;9607
A Farewell to Arms (1932 film);294;29;8840
42nd Street (film);392;28;10451
I Am a Fugitive from a Chain Gang;248;38;12604
Lady for a Day;145;12;9941
Little Men (1934 film);53;3;3408
The Private Life of Henry VIII;241;33;10277
She Done Him Wrong;71;29;8197
Smilin' Through (1932 film);167;10;6305
State Fair (1933 film);153;18;2513
It Happened One Night;396;88;17203
The Barretts of Wimpole Street (1934 film);241;18;6874
Cleopatra (1934 film);184;25;8894
Flirtation Walk;168;7;4540
The Gay Divorcee;91;20;7536
Here Comes the Navy;135;11;2995
The House of Rothschild;138;8;8315
Imitation of Life (1934 film);165;30;15058
One Night of Love;169;15;5257
The Thin Man (film);198;46;14895
Viva Villa!;306;15;6629
The White Parade;95;4;1586
Mutiny on the Bounty (1935 film);445;19;15432
Broadway Melody of 1936;119;12;4606
Captain Blood (1935 film);295;34;11972
David Copperfield (1935 film);214;13;7463
Alice Adams (1935 film);119;7;6326
The Informer (1935 film);414;18;7790
Les Misérables (1935 film);249;15;6827
The Lives of a Bengal Lancer (film);177;25;14621
A Midsummer Night's Dream (1935 film);242;28;16664
Naughty Marietta (film);264;14;6691
Ruggles of Red Gap;86;20;7232
Top Hat;257;54;29175
The Great Ziegfeld;407;67;30432
Anthony Adverse;169;19;11772
Libeled Lady;147;15;4629
Dodsworth (film);198;26;9981
Mr. Deeds Goes to Town;327;26;10009
Romeo and Juliet (1936 film);393;21;10118
San Francisco (1936 film);244;21;7439
The Story of Louis Pasteur;148;10;7256
A Tale of Two Cities (1935 film);181;16;9198
Three Smart Girls;88;9;3350
The Life of Emile Zola;401;14;12830
The Awful Truth;199;59;41070
Captains Courageous (1937 film);117;9;7403
Dead End (1937 film);186;14;7961
The Good Earth (film);243;23;9725
In Old Chicago;323;14;7976
Lost Horizon (1937 film);245;51;19636
One Hundred Men and a Girl;92;10;7733
Stage Door;100;17;7680
A Star Is Born (1937 film);277;47;13986
You Can't Take It with You (film);290;21;8598
The Adventures of Robin Hood;534;45;21016
Alexander's Ragtime Band (film);462;15;5462
Boys Town (film);152;12;7628
The Citadel (1938 film);280;25;3817
Four Daughters;229;12;9385
La Grande Illusion;315;69;23127
Jezebel (1938 film);121;23;7230
Pygmalion (1938 film);183;10;9642
Test Pilot (film);108;13;5259
Gone with the Wind (film);613;236;56091
Dark Victory;148;25;11291
Goodbye, Mr. Chips (1939 film);233;29;7851
Love Affair (1939 film);201;71;19071
Mr. Smith Goes to Washington;275;60;20374
Ninotchka;136;29;9754
Of Mice and Men (1939 film);155;14;6016
Stagecoach (1939 film);392;46;15977
The Wizard of Oz (1939 film);783;238;56108
Wuthering Heights (1939 film);397;26;14263
Rebecca (1940 film);348;41;11807
All This and Heaven Too;87;12;6043
Foreign Correspondent (film);275;25;12815
The Grapes of Wrath (film);729;44;14260
The Great Dictator;311;74;29736
Kitty Foyle (film);146;20;7007
The Letter (1940 film);111;19;8363
The Long Voyage Home;374;16;7527
Our Town (1940 film);171;14;3043
The Philadelphia Story (film);162;60;13287
How Green Was My Valley (film);481;49;9980
Blossoms in the Dust;186;10;5586
Citizen Kane;871;386;108806
Here Comes Mr. Jordan;148;34;10252
Hold Back the Dawn;105;15;6596
The Little Foxes (film);234;22;12957
The Maltese Falcon (1941 film);198;51;17624
One Foot in Heaven;88;19;7600
Sergeant York (film);128;34;6068
Suspicion (1941 film);216;28;14462
Mrs. Miniver;292;53;14087
49th Parallel (film);164;35;13276
Kings Row;208;18;17384
The Magnificent Ambersons (film);249;63;21266
The Pride of the Yankees;609;32;14576
The Pied Piper (1942 film);81;10;4063
Random Harvest (film);208;22;11179
Wake Island (film);150;21;9365
Yankee Doodle Dandy;333;24;14639
Casablanca (film);647;196;52075
For Whom the Bell Tolls (film);355;33;8512
Heaven Can Wait (1943 film);131;27;5656
The Human Comedy (film);125;22;6859
In Which We Serve;360;31;12742
The More the Merrier;117;26;10547
The Ox-Bow Incident;540;28;7539
Madame Curie (film);152;18;6331
The Song of Bernadette (film);311;27;9152
Watch on the Rhine;205;26;11164
Going My Way;518;31;10938
Double Indemnity;268;66;43632
Gaslight (1944 film);164;27;9385
Wilson (1944 film);485;15;6922
Since You Went Away;173;12;7563
The Lost Weekend;393;28;12420
Anchors Aweigh (film);185;12;9255
The Bells of St. Mary's;155;22;10158
Mildred Pierce (film);306;57;16274
Spellbound (1945 film);411;45;16318
The Best Years of Our Lives;486;44;14416
Henry V (1944 film);286;29;15657
It's a Wonderful Life;724;130;46699
The Razor's Edge (1946 film);277;13;14220
The Yearling (1946 film);138;23;8794
Gentleman's Agreement;435;30;9442
The Bishop's Wife;219;33;6148
Crossfire (film);217;28;8273
Great Expectations (1946 film);128;19;12040
Miracle on 34th Street;193;64;15781
Hamlet (1948 film);528;26;22473
Johnny Belinda (1948 film);221;31;7886
The Red Shoes (1948 film);370;68;31468
The Treasure of the Sierra Madre (film);308;42;18195
The Snake Pit;268;27;11091
All the King's Men (1949 film);315;35;12827
Battleground (film);173;21;9062
The Heiress;129;25;9415
A Letter to Three Wives;90;17;9849
All About Eve;688;73;26423
Born Yesterday (1950 film);183;29;12498
Sunset Boulevard (film);658;91;39555
Father of the Bride (1950 film);119;16;8422
King Solomon's Mines (1950 film);140;20;7298
An American in Paris (film);424;38;13620
Decision Before Dawn;81;11;5079
A Place in the Sun (1951 film);285;30;6833
A Streetcar Named Desire (1951 film);350;32;14111
Quo Vadis (1951 film);256;29;22500
The Greatest Show on Earth (film);386;31;14487
High Noon;435;59;23519
Ivanhoe (1952 film);273;17;13917
The Quiet Man;370;48;16410
Moulin Rouge (1952 film);191;27;8322
From Here to Eternity;371;45;14366
The Robe (film);259;45;14659
Roman Holiday;196;70;12500
Shane (film);143;44;13207
William Shakespeare's Julius Caesar;377;24;9160
On the Waterfront;435;56;15321
The Caine Mutiny (film);209;42;17472
The Country Girl (1954 film);120;21;4774
Seven Brides for Seven Brothers;211;36;22300
Three Coins in the Fountain (film);111;17;9372
Marty (film);507;22;7417
Love Is a Many-Splendored Thing (film);196;21;6948
Mister Roberts (1955 film);307;27;10194
Picnic (1955 film);138;27;12060
The Rose Tattoo (film);134;9;5559
Around the World in 80 Days (1956 film);884;39;23611
Friendly Persuasion (1956 film);264;26;13499
The King and I (1956 film);497;33;13176
Giant (1956 film);188;52;14851
The Ten Commandments (1956 film);590;126;39753
The Bridge on the River Kwai;530;132;26645
Peyton Place (film);159;31;12176
Sayonara;172;29;9430
12 Angry Men (1957 film);379;69;19445
Witness for the Prosecution (1957 film);431;17;9289
Gigi (1958 film);428;26;20336
Auntie Mame (film);210;29;10784
Cat on a Hot Tin Roof (1958 film);116;36;10544
The Defiant Ones;300;32;9706
Separate Tables (film);213;15;7354
Ben-Hur (1959 film);634;165;52182
Anatomy of a Murder;364;78;16784
The Diary of Anne Frank (1959 film);198;33;11206
The Nun's Story (film);329;45;14674
Room at the Top (1959 film);236;23;7626
The Apartment;433;54;13517
The Alamo (1960 film);419;33;22559
Elmer Gantry (film);121;14;7907
Sons and Lovers (film);251;27;6562
The Sundowners (1960 film);173;20;8151
West Side Story (1961 film);727;87;20540
Fanny (1961 film);94;21;9741
The Guns of Navarone (film);453;28;15080
The Hustler;237;43;17988
Judgment at Nuremberg;354;51;14844
Lawrence of Arabia (film);620;149;50357
The Longest Day (film);803;53;20366
The Music Man (1962 film);201;38;11015
Mutiny on the Bounty (1962 film);250;51;19495
To Kill a Mockingbird (film);400;82;15145
Tom Jones (1963 film);667;28;7533
America America;168;17;8358
Cleopatra (1963 film);417;95;40243
How the West Was Won (film);494;53;18620
Lilies of the Field (1963 film);163;17;11452
My Fair Lady (film);578;69;17956
Dr. Strangelove;484;173;39919
Becket (1964 film);301;23;10523
Mary Poppins (film);656;140;30693
Zorba the Greek (film);136;32;15099
The Sound of Music (film);570;159;47304
Doctor Zhivago (film);549;103;19242
Ship of Fools (film);142;23;9032
Darling (1965 film);248;33;7250
A Thousand Clowns;74;18;4788
A Man for All Seasons (1966 film);497;35;13106
Alfie (1966 film);256;29;10217
The Russians Are Coming, the Russians Are Coming;242;31;14173
The Sand Pebbles (film);194;40;13720
Who's Afraid of Virginia Woolf? (film);242;65;17321
In the Heat of the Night (film);415;65;18542
Bonnie and Clyde (film);252;107;20794
Doctor Dolittle (1967 film);271;80;25308
The Graduate;441;149;22384
Guess Who's Coming to Dinner;262;83;21103
Oliver! (film);389;45;13960
Funny Girl (film);234;86;18748
The Lion in Winter (1968 film);352;34;12248
Rachel, Rachel;79;9;6212
Romeo and Juliet (1968 film);414;42;11484
Midnight Cowboy;376;79;13589
Anne of the Thousand Days;250;22;11053
Butch Cassidy and the Sundance Kid;539;71;14021
Hello, Dolly! (film);186;38;14098
Z (1969 film);594;44;12724
Patton (film);491;73;21087
Airport (1970 film);210;45;13732
M*A*S*H (film);489;83;20633
Five Easy Pieces;216;55;8020
Love Story (1970 film);616;82;13369
The French Connection (film);433;111;21891
A Clockwork Orange (film);406;167;34938
Fiddler on the Roof (film);382;46;22602
The Last Picture Show;166;36;17036
Nicholas and Alexandra;255;26;11118
The Godfather;660;365;49511
Cabaret (1972 film);581;102;27879
Deliverance;229;56;14711
The Emigrants (film);296;23;11205
Sounder (film);127;29;9975
The Sting;465;98;16438
American Graffiti;539;107;35363
Cries and Whispers;517;97;28249
The Exorcist;835;341;81733
A Touch of Class (film);97;28;7585
The Godfather Part II;404;127;24080
Chinatown (1974 film);347;109;24883
The Conversation;335;50;11238
Lenny (film);155;23;2562
The Towering Inferno;322;78;16486
One Flew Over the Cuckoo's Nest (film);453;68;16843
Barry Lyndon;396;85;25455
Dog Day Afternoon;382;99;36596
Jaws (film);525;320;64467
Nashville (film);483;52;29775
Rocky;595;162;27353
All the President's Men (film);774;99;24987
Bound for Glory (1976 film);140;30;11707
Network (1976 film);350;71;23284
Taxi Driver;528;189;27337
Annie Hall;526;160;38962
The Goodbye Girl;274;26;10856
Julia (1977 film);251;20;9165
Star Wars (film);1266;593;104559
The Turning Point (1977 film);308;20;12356
The Deer Hunter;551;129;52492
Coming Home (1978 film);233;38;11193
Heaven Can Wait (1978 film);362;28;9518
Midnight Express (film);409;60;15621
An Unmarried Woman;113;31;5742
Kramer vs. Kramer;557;45;12226
All That Jazz (film);285;52;14049
Apocalypse Now;776;209;57258
Breaking Away;256;36;11730
Norma Rae;117;30;9614
Ordinary People;355;46;8276
Coal Miner's Daughter (film);396;34;12246
The Elephant Man (film);353;57;17129
Raging Bull;423;140;28974
Tess (1979 film);294;25;8283
Chariots of Fire;625;116;31804
Atlantic City (1980 film);328;36;9343
On Golden Pond (1981 film);224;44;14029
Raiders of the Lost Ark;908;466;72148
Reds (film);410;21;16274
Gandhi (film);702;101;17001
E.T. the Extra-Terrestrial;799;270;48417
Missing (1982 film);328;27;7626
Tootsie;337;52;11988
The Verdict;195;23;11221
Terms of Endearment;415;49;7565
The Big Chill (film);244;26;12952
The Dresser (1983 film);249;19;7063
The Right Stuff (film);390;66;26016
Tender Mercies;243;46;49690
Amadeus (film);608;79;17781
The Killing Fields (film);275;27;10796
A Passage to India (film);557;47;19044
Places in the Heart;167;44;8531
A Soldier's Story;295;14;9053
Out of Africa (film);633;36;16687
The Color Purple (1985 film);539;64;21228
Kiss of the Spider Woman (film);133;22;12503
Prizzi's Honor;310;30;6451
Witness (1985 film);216;33;17341
Platoon (film);420;91;18203
Children of a Lesser God (film);82;28;8786
Hannah and Her Sisters;444;58;14529
The Mission (1986 film);257;55;10810
A Room with a View (1985 film);466;37;14080
The Last Emperor;587;59;15828
Broadcast News (film);263;51;9720
Fatal Attraction;180;119;16405
Hope and Glory (film);340;36;7673
Moonstruck;161;66;8111
Rain Man;626;95;19541
The Accidental Tourist (film);169;25;5565
Dangerous Liaisons;316;79;12133
Mississippi Burning;420;197;34289
Working Girl;243;54;13554
Driving Miss Daisy;428;73;9357
Born on the Fourth of July (film);410;160;24384
Dead Poets Society;382;94;13953
Field of Dreams;762;99;19934
My Left Foot;236;48;5584
Dances with Wolves;421;56;19171
Awakenings;158;62;11260
