ANO;TITULO;VENCEDOR;LINK WIKIPEDIA;LINK ESPANHOL;LINK PORTUGUÊS
1929;Wings (1927 film);Sim;https://en.wikipedia.org/wiki/Wings_(1927_film);https://es.wikipedia.org/wiki/Alas_(pel%C3%ADcula);https://pt.wikipedia.org/wiki/Asas_(filme)
1929;The Racket (1928 film);Não;https://en.wikipedia.org/wiki/The_Racket_(1928_film);https://es.wikipedia.org/wiki/La_horda;https://pt.wikipedia.org/wiki/The_Racket_(1928)
1929;7th Heaven (1927 film);Não;https://en.wikipedia.org/wiki/7th_Heaven_(1927_film);https://es.wikipedia.org/wiki/El_s%C3%A9ptimo_cielo_(pel%C3%ADcula);https://pt.wikipedia.org/wiki/7th_Heaven_(1927)
1930;The Broadway Melody;Sim;https://en.wikipedia.org/wiki/The_Broadway_Melody;https://es.wikipedia.org/wiki/Melod%C3%ADas_de_Broadway;https://pt.wikipedia.org/wiki/The_Broadway_Melody
1930;In Old Arizona;Não;https://en.wikipedia.org/wiki/In_Old_Arizona;https://es.wikipedia.org/wiki/En_el_viejo_Arizona;https://pt.wikipedia.org/wiki/In_Old_Arizona
1930;The Hollywood Revue;Não;https://en.wikipedia.org/wiki/The_Hollywood_Revue;https://es.wikipedia.org/wiki/The_Hollywood_Revue_of_1929;https://pt.wikipedia.org/wiki/The_Hollywood_Revue_of_1929
1930;The Patriot (1928 film);Não;https://en.wikipedia.org/wiki/The_Patriot_(1928_film);https://es.wikipedia.org/wiki/El_patriota_(pel%C3%ADcula_de_1928);https://pt.wikipedia.org/wiki/The_Patriot_(filme_de_1928)
1930;Alibi (1929 film);Não;https://en.wikipedia.org/wiki/Alibi_(1929_film);;https://pt.wikipedia.org/wiki/Alibi_(1929)
1931;All Quiet on the Western Front (1930 film);Sim;https://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film);https://es.wikipedia.org/wiki/Sin_novedad_en_el_frente_(pel%C3%ADcula_de_1930);https://pt.wikipedia.org/wiki/All_Quiet_on_the_Western_Front
1931;The Big House (1930 film);Não;https://en.wikipedia.org/wiki/The_Big_House_(1930_film);https://es.wikipedia.org/wiki/El_presidio;https://pt.wikipedia.org/wiki/The_Big_House
1931;Disraeli (1929 film);Não;https://en.wikipedia.org/wiki/Disraeli_(1929_film);https://es.wikipedia.org/wiki/Disraeli_(pel%C3%ADcula);https://pt.wikipedia.org/wiki/Disraeli_(1929)
1931;The Divorcee;Não;https://en.wikipedia.org/wiki/The_Divorcee;https://es.wikipedia.org/wiki/La_divorciada;https://pt.wikipedia.org/wiki/A_Divorciada
1931;The Love Parade;Não;https://en.wikipedia.org/wiki/The_Love_Parade;https://es.wikipedia.org/wiki/El_desfile_del_amor;https://pt.wikipedia.org/wiki/The_Love_Parade
1932;Cimarron (1931 film);Sim;https://en.wikipedia.org/wiki/Cimarron_(1931_film);https://es.wikipedia.org/wiki/Cimarr%C3%B3n_(pel%C3%ADcula_de_1931);https://pt.wikipedia.org/wiki/Cimarron_(1931)
1932;East Lynne (1931 film);Não;https://en.wikipedia.org/wiki/East_Lynne_(1931_film);https://es.wikipedia.org/wiki/Vidas_truncadas_(pel%C3%ADcula);https://pt.wikipedia.org/wiki/East_Lynne_(1931)
1932;The Front Page (1931 film);Não;https://en.wikipedia.org/wiki/The_Front_Page_(1931_film);https://es.wikipedia.org/wiki/Un_gran_reportaje;https://pt.wikipedia.org/wiki/The_Front_Page_(1931)
1932;Skippy (film);Não;https://en.wikipedia.org/wiki/Skippy_(film);https://es.wikipedia.org/wiki/Skippy;https://pt.wikipedia.org/wiki/Skippy
1932;Trader Horn (1931 film);Não;https://en.wikipedia.org/wiki/Trader_Horn_(1931_film);https://es.wikipedia.org/wiki/Trader_Horn;https://pt.wikipedia.org/wiki/Trader_Horn
1933;Grand Hotel (1932 film);Sim;https://en.wikipedia.org/wiki/Grand_Hotel_(1932_film);https://es.wikipedia.org/wiki/Grand_Hotel_(pel%C3%ADcula_de_1932);https://pt.wikipedia.org/wiki/Grande_Hotel_(filme)
1933;Arrowsmith (film);Não;https://en.wikipedia.org/wiki/Arrowsmith_(film);https://es.wikipedia.org/wiki/Arrowsmith_(pel%C3%ADcula);https://pt.wikipedia.org/wiki/Arrowsmith_(filme)
1933;Bad Girl;Não;;;
1933;The Champ (1931 film);Não;https://en.wikipedia.org/wiki/The_Champ_(1931_film);https://es.wikipedia.org/wiki/El_campe%C3%B3n_(pel%C3%ADcula_de_1931);https://pt.wikipedia.org/wiki/O_Campe%C3%A3o_(filme_de_1931)
