,Topic,Name,Representation
0,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
1,-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']"
2,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
3,-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']"
4,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
5,2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']"
6,-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']"
7,2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']"
8,2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']"
9,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
10,2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']"
11,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
12,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
13,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
14,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
15,2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']"
16,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
17,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
18,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
19,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
20,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
21,-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']"
22,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
23,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
